,username,comments,timestamp,postUrl,pubDate,description
0,_ctjqx,Yay,2020-11-30T18:47:20.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
1,gogo331812,Thank you for being so thoughtful and care for all.😍😍😍 👍👍👍😘😘😘👏👏👏,2020-12-01T01:55:53.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
2,angmokent,👏🏻Great 😷 👍👍thanks again,2020-12-01T03:50:49.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
3,pattangk,"Temasek Foundation given masks the 3rd time! Singaporeans are truly blessed, even masks also being taken care of. At a point I was telling myself what good have I done in my previous life to be able to be borned here! Thank you Temasek Foundation and my Govt!",2020-12-01T04:10:53.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
4,jingjajingja,Thank you Temasek Foundation for the mask ❤️,2020-12-01T07:16:40.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
5,ding4139,👍🏿🙌😄❤️,2020-12-01T07:20:19.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
6,hewittsusan,👍PM🇸🇬,2020-12-01T09:27:48.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
7,madhavalosa,👍❤️🙏,2020-12-01T22:52:45.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
8,choykokkee,Thanks🙏😊,2020-12-02T00:18:01.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
9,littlewokeeeee,Have you considered the alternative scientific view that masks don’t work and are bad for you?,2020-12-04T07:58:17.000Z,https://www.instagram.com/p/CINX6U_AnXK/,2020-11-30T08:55:56.000Z,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL"
