,username,comments,timestamp,postUrl,pubDate,description
0,meiliana_lauw,@julianne_fan_3107 check this video on how to redeem the voucher 😉,2020-12-04T10:32:39.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
1,shunmario,@auyiling,2020-12-04T11:25:46.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
2,irrilivint,Can use it with my friends???,2020-12-05T08:00:42.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
3,ughlypotahtoes,@ngotoungorzhor @krn.spamz @yay_9402,2020-12-05T12:10:37.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
4,_adelinx,@baijiaqing,2020-12-07T08:52:49.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
5,nxxrx_,@fizcheese_,2020-12-07T10:37:53.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
6,ni.coleee,@emil.yyyyy_ THIS ONE,2020-12-07T16:17:05.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
7,themagicsauce1,Thanks for the subtitles! 😉,2020-12-09T06:31:23.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
8,hanabananamuffin,@sitti_nn,2020-12-09T06:56:37.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
9,daryl.jl,@dexxterong,2020-12-09T14:10:49.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
10,irkin_ermes,I am a Singaporean but I live in the US so how can I redeem it,2020-12-10T07:43:40.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
11,fionnefifi,@hey.carissa you were asking right hahahaah,2020-12-21T18:49:28.000Z,https://www.instagram.com/p/CISzKdIhO8C/,2020-12-02T11:30:26.000Z,"If you’re still blur on how to redeem your SingapoRediscovers vouchers, this is how you do it."
0,feejeewatah,shes more level minded than any american politician or any american analyst,2020-10-28T13:51:07.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
1,_firseconds,"come on, the US just scared that China overtake them in terms of Technology and Economy.",2020-10-28T15:09:49.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
2,angerooooo,i thought s.e.a =sea aquarium,2020-10-28T15:24:19.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
3,icchamp,"As of this morning, how is she feeling about “Operation Fox Hunt”",2020-10-28T15:35:33.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
4,exactambiguity,ok tru but who cares if tiktok is gone tho.,2020-10-28T15:46:27.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
5,geniusjacob,Yay no more Tiktok!,2020-10-29T03:09:55.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
6,szeelinn,@takkoballz,2020-10-29T05:04:58.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
7,isabellarose3886,I’m glad Tik Tok will be gone.,2020-10-29T06:00:35.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
8,cheeki_breekimemes,"i dont care if biden wins, i just want trump to lose",2020-10-29T10:09:34.000Z,https://www.instagram.com/p/CG45FOAgEr2/,2020-10-28T13:31:03.000Z,"The U.S. presidential election is coming up on Nov. 3. Dun dun dun.

How will the election results affect Singapore and the rest of Southeast Asia? Will U.S. tensions with China be intensified and affect the economy? We find out from an expert."
