Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
43,https://www.instagram.com/p/CLiyNF6n1Nv/,"He had reportedly spent three hours on the cliff with his wife, waiting for a moment when people were not around, a court indictment noted. #linkinbio 

Photo from Unsplash",168,2021-02-21T06:03:41.000Z,mothershipsg,2.51e+18
83,https://www.instagram.com/p/CLWieWxnkQ6/,"This brings the total number of cases to 59,810. #linkinbio

Photo from Josephine Teo / FB",22,2021-02-16T11:55:20.000Z,mothershipsg,2.51e+18
403,https://www.instagram.com/p/CKThSa4gUd6/,"“Very happy to be working with him”.  

Gan Kim Yong and Lawrence Wong took a moment to show appreciation to one another. Awwwww.",61,2021-01-21T11:16:49.000Z,mothershipsg,2.49e+18
532,https://www.instagram.com/p/CJ290xoHK_4/,"Y'all better step up your game. #linkinbio 

Photos via momothedinoo/Twitter.",601,2021-01-10T09:07:14.000Z,mothershipsg,2.48e+18
630,https://www.instagram.com/p/CJhz0genBEG/,"Was there a moment where it wasn’t raining? #linkinbio

Photo courtesy of Pearlyn Pang",122,2021-01-02T03:55:46.000Z,mothershipsg,2.48e+18
817,https://www.instagram.com/p/CIz4xOrncVF/,"The locally-transmitted case resides in a dormitory.

Based on MOH's investigations so far, there are no new cases in the community. #linkinbio 

Photo from Clean and Green Singapore/FB.",32,2020-12-15T07:53:57.000Z,mothershipsg,2.46e+18
855,https://www.instagram.com/p/CIpsL77H_FZ/,"There is one new case of locally-transmitted Covid-19 infection, residing in a dormitory. #linkinbio

Photo from Sungei Tengah Lodge website",23,2020-12-11T08:51:36.000Z,mothershipsg,2.46e+18
911,https://www.instagram.com/p/CIdZAo4nZdC/,"The accident involved a car colliding into a bus carrying 21 male passengers who are believed to be foreign workers. #linkinbio 

Image by Adrian Tan.",68,2020-12-06T14:13:08.000Z,mothershipsg,2.46e+18
1272,https://www.instagram.com/p/CHZzZmpnBKK/,"There are two new cases of locally-transmitted Covid-19 infection. One is in the community, and one resides in a dormitory. #linkinbio

Photo from Clean & Green Singapore / FB",45,2020-11-10T08:15:23.000Z,mothershipsg,2.44e+18
1305,https://www.instagram.com/p/CHS-3NiHKg1/,"Historic moment. CNN called the win for Biden at around 12:27am Singapore time. #linkinbio

Photo from JIM WATSON/AFP via Getty Images",576,2020-11-07T16:40:52.000Z,mothershipsg,2.44e+18
1431,https://www.instagram.com/p/CG9dsJOnHGl/,"There are two new cases of locally transmitted Covid-19 infection. Based on investigations so far, one is in the community, and one resides in a dormitory.

There are also seven imported cases. #linkinbio

Photo from dreamstime.com",65,2020-10-30T08:06:56.000Z,mothershipsg,2.43e+18
1464,https://www.instagram.com/p/CG4ecDSHbWy/,"According to MOH, out of the seven new cases, none of them are from the community or the dormitories. Instead, they are all imported cases. #linkinbio

Photo from NUH / FB",73,2020-10-28T09:37:17.000Z,mothershipsg,2.43e+18
1477,https://www.instagram.com/p/CG1vpYnHGhF/,"There are seven new cases, one of them is in the community.

There are no new cases in the dormitories. In addition, there are six imported cases. #linkinbio

Photo from Unsplash",35,2020-10-27T08:09:56.000Z,mothershipsg,2.43e+18
1489,https://www.instagram.com/p/CGzbJL0HNMe/,"Omg we can’t even. #linkinbio

Photos from Hajun_mommy / IG",248,2020-10-26T10:32:17.000Z,mothershipsg,2.43e+18
1493,https://www.instagram.com/p/CGzMzujHe9z/,"The new cases include one case of locally transmitted Covid-19 infection, who resided in a dormitory.

In addition, there are two imported cases. #linkinbio

Photo from Pixabay",60,2020-10-26T08:27:01.000Z,mothershipsg,2.43e+18
1606,https://www.instagram.com/p/CGeySdlHlrh/,"“Sometimes I think it would be great if we have alarms to remind us to sleep instead of to wake up.

Amidst our hectic schedule, perhaps we should take a moment to reflect on whether we are experiencing our lives consciously with passion and meaning, or if we are merely surviving, unconsciously and dispassionately.” #linkinbio 

Image via The Birthday Collective.",114,2020-10-18T10:10:29.000Z,mothershipsg,2.42e+18
1607,https://www.instagram.com/p/CGef_x-nzEh/,"There are two new cases of locally transmitted Covid-19 infection. One in the community and one in a dormitory.

In addition, there are five imported cases who have been placed on Stay-Home Notice upon arrival in Singapore. #linkinbio

Photo from JurongHealth Campus / FB",24,2020-10-18T07:30:38.000Z,mothershipsg,2.42e+18
1612,https://www.instagram.com/p/CGcpTtInJBw/,"Error 404: Mom not found 😔 #linkinbio 

Image via POWER 98 Love Songs/FB.",260,2020-10-17T14:13:31.000Z,mothershipsg,2.42e+18
1675,https://www.instagram.com/p/CGRqMXKHWKJ/,"This brings the total number of cases in Singapore to 57,884.

This is the first time no dormitory cases were reported since cases in migrant worker dormitories started spiking earlier this year. #linkinbio

Photo Kingsley Yang / Unsplash",44,2020-10-13T07:49:37.000Z,mothershipsg,2.42e+18
1779,https://www.instagram.com/p/CF9RZrHHnUe/,"Of the 6 locally transmitted cases, 1 is in the community and 5 reside in dormitories.

In addition, there is one imported case, who had been place on stay-home notice upon arrival in singapore. #linkinbio

Photo from Lauryn Ishak/Bloomberg via Getty Images",43,2020-10-05T09:48:10.000Z,mothershipsg,2.41e+18
1835,https://www.instagram.com/p/CF05dh6AWgK/,"Is living with HIV a death sentence? 24-year-old Calvin, who contracted HIV at 19, walked us through the moment he discovered he had the virus, the dark place he descended to, and how he plans to live his life from now on. Click the #linkinbio to hear the full episode.

Timestamps in case you wish to skip to the segments:
 - Introduction (0:34)
 - Family and Friends, The first few years into HIV (11:11)
 - Changes in life, Challenges and living with HIV (19:30)",24,2020-10-02T03:45:17.000Z,mothershipsg,2.41e+18
1861,https://www.instagram.com/p/CFtwscRnCu9/,"There is only one case — a work pass holder — in the community.

There are also nine imported cases, who had all been placed on Stay-Home Notice upon arrival in Singapore. #linkinbio

Photo from MOM / FB",22,2020-09-29T09:13:46.000Z,mothershipsg,2.41e+18
1982,https://www.instagram.com/p/CFXE2Cmnrl5/,"Several rooms at Jurong Penjuru Dormitory 1 had no laundry facilities.

Two rooms had no fans.

Several shower points had no doors or curtains.

Faulty toilet bowls, damaged partition walls or missing or damaged lights were found in 12 rooms. #linkinbio

Photo from Google Maps",139,2020-09-20T13:47:18.000Z,mothershipsg,2.4e+18
2086,https://www.instagram.com/p/CFB86KZHwMB/,"This brings the total number of cases in Singapore to 57,271. #linkinbio

Photo from Josephine Teo/FB.",43,2020-09-12T08:53:55.000Z,mothershipsg,2.4e+18
2089,https://www.instagram.com/p/CFAKQEXnMjc/,"Boon Keng residents don’t need to bat an eyelid anymore. #linkinbio

Photo from Josephine Teo / FB and Andrew Morffew / Flickr",109,2020-09-11T16:12:01.000Z,mothershipsg,2.4e+18
2185,https://www.instagram.com/p/CEtr4dchwVY/,"""Shag.""
""Intense.""
""Fascinating.""
""Life-changing.""

... were some of the answers when we asked new parliamentarians @carrietancares, @leong.munwai, @destankm and @fahmialimansg to describe their GE2020 experience in 3 words. They also shared what their most memorable moment during the election was.",6,2020-09-04T12:00:43.000Z,mothershipsg,2.39e+18
2190,https://www.instagram.com/p/CEtBAUzhmJR/,"""There's no doubt that at this very moment, such a policy may not be ideal, but let us come together and agree that this is a principle that we want to roll out.""

Jamus Lim gave clarifications on WP's minimum wage idea in Parliament, after he delivered his maiden speech and was met with questions from PAP MPs.",166,2020-09-04T05:45:54.000Z,mothershipsg,2.39e+18
2219,https://www.instagram.com/p/CEo7TK1nTpZ/,"The newly-elected Jamus Lim rose to seek a clarification from Manpower Minister Josephine Teo after the end of her speech. #linkinbio 

Image via CNA.",67,2020-09-02T15:38:50.000Z,mothershipsg,2.39e+18
2239,https://www.instagram.com/p/CEmMzKHn1i6/,Sengkang GRC MP Jamus Lim sought clarification from Manpower Minister Josephine Teo on the effectiveness of the recent Employment and S Pass measures.,208,2020-09-01T14:15:13.000Z,mothershipsg,2.39e+18
2240,https://www.instagram.com/p/CEmEZwyHdU3/,"There will be no physical National Day Rally this year due to Covid-19, and PM Lee will make his ""major speech"" in Parliament instead. 

From Lee Kuan Yew ranking his leaders, to Goh Chok Tong telling Phua Chu Kang to speak proper English, and Lee Hsien Loong's fishball stick story, here are some of the most iconic moments from previous rallies' speeches by our PMs.",30,2020-09-01T13:01:47.000Z,mothershipsg,2.39e+18
2241,https://www.instagram.com/p/CEmBFKznqGw/,Minister for Manpower Josephine Teo turned emotional while wrapping up a speech on job anxieties among Singaporeans in Parliament on Sept. 1. She said the government understood the concerns about fair treatment and opportunities of PMETs in their 40s and 50s.,164,2020-09-01T12:36:14.000Z,mothershipsg,2.39e+18
