Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
119,https://www.instagram.com/p/CLRIOCvHNoV/,"13 of the imported cases were placed on Stay-Home Notice upon arrival in Singapore.

The remaining imported case tested negative for Covid-19 upon arrival in Singapore on Feb. 10 for a work project here, and was on a controlled itinerary during his stay.

He subsequently tested positive for Covid-19 infection on Feb. 12 as part of MOH's regular testing of such travellers. #linkinbio 

Photo from Getty Images.",26,2021-02-14T09:29:43.000Z,mothershipsg,2.51e+18
133,https://www.instagram.com/p/CLOKZ-DnvRW/,"At around 5.40am on Feb. 13, the Singapore Civil Defence Force (SCDF) was alerted to a fire at 37 Tanjong Pagar Road.

Five were pronounced dead at the scene. Another person was sent to Singapore General Hospital for burn injuries.

The lady who was sent to the Singapore General Hospital for burn injuries sustained them while reportedly trying to save her fiancé from the burning vehicle, The Straits Times reported.

#linkinbio to the first article

Photos from Song Seng Wun / Facebook",538,2021-02-13T05:51:06.000Z,mothershipsg,2.51e+18
135,https://www.instagram.com/p/CLOEpprnnI6/,"Do you miss hearing the sounds of drums, cymbals and gongs from the lion dance troupes this year? Because of Covid-19 regulations, lion dances are not allowed to be held at coffee shops, food centres and markets, as well as residential homes.

We sat down with Stella and Jun Le of Shi Long Dragon & Lion Dance Troupe to find out more about what lion dance is, their experiences as lion dancers, and the impact of Covid-19 on the lion dance industry.",9,2021-02-13T05:01:41.000Z,mothershipsg,2.51e+18
158,https://www.instagram.com/p/CLJPp2PDicH/,"We hear you like men with a sense of humour. Here's three of them: Henry Thia, 18, Jack Neo, 16, and Mark Lee, 14. 

Catch ""Diam Diam Era Two"" in theatres from February 11, 2021. 

#mothershipinstagramasks",71,2021-02-11T08:01:35.000Z,mothershipsg,2.51e+18
169,https://www.instagram.com/p/CLG7zq2nVLf/,"The police said that they were alerted to the stabbing incident at about 6:30am on Feb. 10.

Upon arrival, police officers found a 42-year-old woman injured with slash wounds to the neck and lying motionless at the void deck of the said block.

A 45-year-old man, who is believed to be the assailant and known to the woman, was subsequently found lying motionless at about 9:10am at the foot of his flat at Block 205A Punggol Field.

Both the woman and the man were unconscious when separately conveyed to hospitals. They subsequently passed away.

Police investigations into the unnatural deaths are ongoing. #linkinbio 

Photos from Facebook & Google Streetview.",400,2021-02-10T10:28:51.000Z,mothershipsg,2.51e+18
215,https://www.instagram.com/p/CK-t9xqn84v/,"The girl, nicknamed Little Ying Ying, passed away after suffering from a bloated stomach. She died on the way to the hospital at 5am on Feb. 5. #linkinbio

Photos from China Press",247,2021-02-07T05:53:58.000Z,mothershipsg,2.5e+18
247,https://www.instagram.com/p/CK303zWHvjX/,The Covid-19 pandemic first arrived in Singapore about a year ago. Here's a look at the key events that have happened since then.,27,2021-02-04T13:40:06.000Z,mothershipsg,2.5e+18
274,https://www.instagram.com/p/CKyf841A4xO/,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",122,2021-02-02T12:01:47.000Z,mothershipsg,2.5e+18
286,https://www.instagram.com/p/CKv9YEtnFcJ/,"At the age of 20, Selvaganeshamoorthi Balakrishnan decided to embark on a journey to Montreal, Canada, the long way by stopping in places such as North Korea, Turkmenistan and Iran along the way. 

He hitchhiked and couchsurfed his way through Asia to Europe, and was almost kidnapped in the process. #linkinbio

Image courtesy of Selvaganeshamoorthi Balakrishnan.",226,2021-02-01T12:20:02.000Z,mothershipsg,2.5e+18
296,https://www.instagram.com/p/CKtJOZwHnry/,"Responding to Mothership's queries, the police said that they received a call for assistance along South Bridge Road on Jan. 30 at 11:25am.

The body of a 83-year-old woman was found floating in the waters and was retrieved by SCDF.

She was unconscious when conveyed to the hospital, where she was subsequently pronounced dead. #linkinbio 

Photo from Google Streetview.",164,2021-01-31T10:05:51.000Z,mothershipsg,2.5e+18
