Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
39,https://www.instagram.com/p/CLjUwEzniyc/,"This brings the total number of cases to 59,869. #linkinbio

Photo from Lawrence Wong / FB",36,2021-02-21T11:05:33.000Z,mothershipsg,2.51e+18
187,https://www.instagram.com/p/CLEF4OlH21j/,"The cockroaches will be served as an ""enrichment treat"" to animals at the San Antonio Zoo in Texas. #linkinbio

Follow @mothershiponearth for more environment-related stuff.

Photo by San Antonio Facebook and Unsplash",311,2021-02-09T07:59:08.000Z,mothershipsg,2.51e+18
274,https://www.instagram.com/p/CKyf841A4xO/,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",122,2021-02-02T12:01:47.000Z,mothershipsg,2.5e+18
283,https://www.instagram.com/p/CKxeaA-AoRU/,"Responding to a parliamentary question on Feb. 1, Minister for Education Lawrence Wong warned that issues of gender identity have become ""bitterly contested sources of division in the culture wars in some Western countries and societies"".

He added, ""We should not import these culture wars into Singapore, or allow issues of gender identity to divide our society.""

Schools can exercise flexibility if there are valid medical grounds and work out practical arrangements for transgender students who may face difficulty with certain rules.",412,2021-02-02T02:28:18.000Z,mothershipsg,2.5e+18
346,https://www.instagram.com/p/CKgmVP-otdX/,"Answering a question from Warren Fernandez, editor-in-chief of The Straits Times, Minister for Education and Co-chair of the Multi Ministry Taskforce (MTF) Lawrence Wong reflects on decision making during Covid-19 and his experiences from the past year.",8,2021-01-26T13:11:05.000Z,mothershipsg,2.5e+18
386,https://www.instagram.com/p/CKYGzfkoA3h/,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",97,2021-01-23T06:02:02.000Z,mothershipsg,2.49e+18
387,https://www.instagram.com/p/CKX_5lOBh_1/,We hit the streets to find out what people think about the use of TraceTogether data for criminal investigations.,50,2021-01-23T05:01:38.000Z,mothershipsg,2.49e+18
403,https://www.instagram.com/p/CKThSa4gUd6/,"“Very happy to be working with him”.  

Gan Kim Yong and Lawrence Wong took a moment to show appreciation to one another. Awwwww.",61,2021-01-21T11:16:49.000Z,mothershipsg,2.49e+18
404,https://www.instagram.com/p/CKTekiGpP6a/,"MTF co-chair Lawrence Wong said: “So for those who chose not to take up, it’s your choice, but we will roll out and push out the vaccines regardless. And if you want to wait, you must accept the consequence that perhaps if you wait later, if the vaccine supply has been taken up, you may- and you want to take it up later on, you may not have the ready supply.”",72,2021-01-21T10:52:31.000Z,mothershipsg,2.49e+18
435,https://www.instagram.com/p/CKMDBvSHwA0/,"Trace(criminals)Together? 🚨🏃🚨

In this week’s podcast episode, we speak to a lawyer to find out what the CPC (Criminal Procedure Code) is, and how concerned you should be about your data being used.

Click the #linkinbio to listen to the full episode.",17,2021-01-18T13:45:45.000Z,mothershipsg,2.49e+18
584,https://www.instagram.com/p/CJqtiZEAaaX/,"Let’s say there is a murder, and [the] victim, victim’s family...and information is available on the TraceTogether tokens. If [the] police chose not to seek that information, you can imagine how the victim’s family, and indeed the rest of Singapore, might react to that situation.”

Home affairs minister K Shanmugam also added that the Police will restrict use of TraceTogether data to ""very serious offences""",174,2021-01-05T14:54:26.000Z,mothershipsg,2.48e+18
585,https://www.instagram.com/p/CJqqVn2ghVj/,"""Once Covid-19 pandemic is over, and there is no longer a need for contact tracing, we will most happily and cheerfully stand the [TraceTogether] programme down.""

At a Parliament session on Jan. 5 2021, Minister Vivian Balakrishnan addressed questions on privacy concerns regarding the use of TraceTogether in criminal investigations. He added that he had not thought of the application of the Criminal Procedure Code (CPC) to TraceTogether data in an earlier statement about the matter.",130,2021-01-05T14:27:19.000Z,mothershipsg,2.48e+18
600,https://www.instagram.com/p/CJpiviAneTu/,"In response to NCMP Leong Mun Wai's question on how Singapore can reopen its borders to foreigners, Minister Lawrence Wong said that every time a measure is relaxed, there is increased risk and ""all of the risks do add up"".

He added that one factor which would let Singapore open up more would be vaccinations, but expects that a ""significant number of people"" would be vaccinated only by the third quarter of the year.",52,2021-01-05T04:01:17.000Z,mothershipsg,2.48e+18
603,https://www.instagram.com/p/CJoGDQ4oYBR/,"It was a different first day of school for 3,500 Kindergarten 1 students and 40,000 Primary 1 students in Singapore.

Minister for Education Lawrence Wong visited Waterway Primary School on the morning of Jan. 4 to observe the implementation of safe management measures and to greet students and their parents.",66,2021-01-04T14:30:46.000Z,mothershipsg,2.48e+18
806,https://www.instagram.com/p/CI2t8nFnb1W/,"🐶 Dog daycare sessions giveaway 🐶

We're giving away 3 daycare passes from @muttsnmittens to 3 lucky dog owners! Each pass includes 6 daycare sessions. This means that the winners will get 6 daycare sessions involving a 1-hour swim & playtime in the pool as well as other fun enrichment exercises.

Here's how to take part:

1) Follow us @mothershipsg and @muttsnmittens 
2) Like this post
3) Tell us a funny story of your dog

We will pick 3 winners from the comments section of this post.

Please note:
- The winners will be announced in THIS comments section only
- The announcement of winners will only be on this IG page
- Please beware of scam accounts impersonating us

Giveaway ends 20 December, 11pm. Good luck!",170,2020-12-16T10:17:06.000Z,mothershipsg,2.47e+18
854,https://www.instagram.com/p/CIpz_qUH6fX/,"According to the Criminal Procedure Code, a death sentence must not be passed or recorded against someone below the age of 18 years old.

Life imprisonment, on the other hand, is allowed. #linkinbio 

Photo from Google Maps.",514,2020-12-11T09:59:49.000Z,mothershipsg,2.46e+18
1175,https://www.instagram.com/p/CHpUd2JnGe9/,"The total number of cases in Singapore is now 58,124. #linkinbio

Photo from Lawrence Wong/FB.",12,2020-11-16T08:52:56.000Z,mothershipsg,2.44e+18
1482,https://www.instagram.com/p/CG1pViindOQ/,"Time to flex your tokens. #linkinbio 

Photos by Guan Zhen Tan.",113,2020-10-27T07:14:47.000Z,mothershipsg,2.43e+18
1586,https://www.instagram.com/p/CGjOcJ6nab_/,"Patrons will not be allowed to enter the cinemas if they do not have TraceTogether token or its app. #linkinbio 

Photos via Gov Tech & Google Maps.",245,2020-10-20T03:33:26.000Z,mothershipsg,2.42e+18
2113,https://www.instagram.com/p/CE6mzOPnTYX/,"Speaking at a press conference, Multi-ministry taskforce Co-chairperson Lawrence Wong said: ""We really need to have a good part of workers travelling in the off-peak hours after 9.30am.""",37,2020-09-09T12:26:33.000Z,mothershipsg,2.39e+18
2114,https://www.instagram.com/p/CE6lbnaH1hQ/,"SMS alerts will now also be sent to a smaller group of individuals who were at locations assessed to pose a higher risk of transmission at the same time as Covid-19 cases.

However, the government previously said that people do not need to avoid venues visited by confirmed cases. Minister-in-charge of the Smart Nation Initiative Vivian Balakrishnan also emphasised that the government will still notify those at risk and advise on the precautions to take.",14,2020-09-09T12:15:13.000Z,mothershipsg,2.39e+18
2115,https://www.instagram.com/p/CE6k791HGnZ/,"The token is available for free for all residents in Singapore, and every resident in Singapore is encouraged to either download the TraceTogether app or to collect a TraceTogether Token. These updates were announced by Minister-in-charge of the Smart Nation Initiative Vivian Balakrishnan in a virtual press conference by the the Multi-Ministry Taskforce (MTF) on Wednesday (Sep. 9).

This round of distribution will begin in the Jalan Besar and Tanjong Pagar regions, where there is a higher concentration of elderly individuals, and the nextended throughout Singapore progressively.",28,2020-09-09T12:11:10.000Z,mothershipsg,2.39e+18
2116,https://www.instagram.com/p/CE6kRSnnEvx/,"Speaking to the press on Sept. 9, Minister Lawrence Wong said that to date, there are still people flouting safe distancing measures, especially when they dine out.

""I would say our ability to continue on this path of progressive resumption of activities rests largely on two factors— one, we have to control the infection and keep numbers down... But secondly, it also depends on our ability to comply with existing measures.""

""It's also not fair for the majority of operators who are complying with the rules, and yet these few are taking their chances and breaching the rules. So our enforcement agencies will be stepping up spot checks, as well as enforcement actions.""",109,2020-09-09T12:05:34.000Z,mothershipsg,2.39e+18
2117,https://www.instagram.com/p/CE6kAyaHZ_v/,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",128,2020-09-09T12:01:41.000Z,mothershipsg,2.39e+18
2379,https://www.instagram.com/p/CELI8a5pkIU/,"From Aug. 29, Lucky Plaza and Peninsula Plaza will implement odd and even date entry restrictions on weekends, based on the last digit of an individual’s National Registration Identification Card (NRIC) or Foreign Identification Number (FIN).

Large crowds and long queues to enter the two malls every weekend have made crowd management and safe distancing a challenge for mall managers.

Other premises that face similar crowd management issues may also be required to adopt these entry restrictions.",18,2020-08-22T02:01:05.000Z,mothershipsg,2.38e+18
2524,https://www.instagram.com/p/CDv5AGPD8c-/,"Did you know that elephants are keystone species? Keystone species are species whose survival is critical to the survival of others in the ecosystem. In this case, elephant poop has a pretty important role in it.

Have an up-close and personal experience with these majestic beasts from the comfort of your own home.

Note: Some footage in the video shows an earlier elephant presentation format that has been revamped by Singapore Zoo from 2018. According to Singapore Zoo, this is done in line with animal welfare guidelines and best practices for safety, where animals and keepers are not placed in a shared space. Activities which the elephants are involved in now are voluntary and enrichment-based.",24,2020-08-11T12:02:30.000Z,mothershipsg,2.37e+18
2587,https://www.instagram.com/p/CDjBj9mnwpm/,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",32,2020-08-06T12:08:19.000Z,mothershipsg,2.37e+18
2756,https://www.instagram.com/p/CDGC3bVD7vG/,"Minister for Foreign Affairs, Vivian Balakrishnan spoke to the media at a doorstop on Jul. 26 regarding the implementation of Reciprocal Green Lane (RGL) and Periodic Commuting Arrangement (PCA). 

These 2 schemes are implemented to facilitate cross-border travel for essential business and official purposes. The application will be opened on Aug. 10, 2020.",137,2020-07-26T06:00:59.000Z,mothershipsg,2.36e+18
2757,https://www.instagram.com/p/CDF_yN3JcEw/,"In response to the media on the implications of the reshuffle on leadership renewal, Vivian Balakrishnan said that the 4G leaders are in ""complete unity"" behind DPM Heng's leadership.",7,2020-07-26T05:33:26.000Z,mothershipsg,2.36e+18
2762,https://www.instagram.com/p/CDD-2jVHgcq/,"Lawrence Wong has been given a new appointment as Minister for Education.

Although this wasn't exactly a promotion, as Wong was a full Cabinet Minister already, it does represent something of a step up.

#linkinbio",119,2020-07-25T10:46:35.000Z,mothershipsg,2.36e+18
2763,https://www.instagram.com/p/CDD3OwlHOV6/,"Two of the cases are outside of dormitories, both of which are Work Pass holders.

There are also six new imported cases who had been placed on Stay-Home Notice upon arriving in Singapore.

#linkinbio

Photo from Lawrence Wong / FB",71,2020-07-25T09:39:59.000Z,mothershipsg,2.36e+18
