Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
52,https://www.instagram.com/p/CLeXrwNH0r-/,"Opened on Feb. 18, Jalan Besar Community Club is Singapore’s third vaccination center. 31 vaccination centers are expected to be in operation by mid March.

Addressing the incident of the 72-year-old man who suffered a cardiac arrest after receiving the vaccine, Health Minister Gan Kim Yong said vaccinated patients will be monitored via thorough questionnaires on their wellbeing and a 30-minute post-vaccination observation period.",6,2021-02-19T12:55:23.000Z,mothershipsg,2.51e+18
345,https://www.instagram.com/p/CKgvfa7pkgv/,"Along with Teck Ghee CC in Ang Mo Kio, this vaccination centre in Tanjong Pagar CC is part of the first two facilities that have been set up to cater vaccinations to residents aged 70 and above.

Trade and Industry Minister Chan Chun Sing, who visited the centre today (Jan. 26) said: “Our aim is targeting to have one community vaccination centre in every town by the end of March.""",8,2021-01-26T14:31:40.000Z,mothershipsg,2.5e+18
404,https://www.instagram.com/p/CKTekiGpP6a/,"MTF co-chair Lawrence Wong said: “So for those who chose not to take up, it’s your choice, but we will roll out and push out the vaccines regardless. And if you want to wait, you must accept the consequence that perhaps if you wait later, if the vaccine supply has been taken up, you may- and you want to take it up later on, you may not have the ready supply.”",72,2021-01-21T10:52:31.000Z,mothershipsg,2.49e+18
550,https://www.instagram.com/p/CJxp0T-AJ7x/,PM Lee and Dr Kenneth Mak received the Covid-19 vaccination at Singapore General Hospital today (Jan. 8).,62,2021-01-08T07:36:31.000Z,mothershipsg,2.48e+18
552,https://www.instagram.com/p/CJxWDAQnhpU/,"A second dose of the vaccine will be administered in the next few weeks. #linkinbio

Photo from Ministry of Communications and Information",132,2021-01-08T04:43:27.000Z,mothershipsg,2.48e+18
600,https://www.instagram.com/p/CJpiviAneTu/,"In response to NCMP Leong Mun Wai's question on how Singapore can reopen its borders to foreigners, Minister Lawrence Wong said that every time a measure is relaxed, there is increased risk and ""all of the risks do add up"".

He added that one factor which would let Singapore open up more would be vaccinations, but expects that a ""significant number of people"" would be vaccinated only by the third quarter of the year.",52,2021-01-05T04:01:17.000Z,mothershipsg,2.48e+18
683,https://www.instagram.com/p/CJVW1unHjXm/,"💉💉 We spoke to Dr Leong Hoe Nam, an Infectious Disease Specialist at Mount Elizabeth Novena Hospital, to help us understand how a vaccine works, if the Covid-19 vaccine is safe, and why you should get vaccinated.

Click the #linkinbio to listen to the full episode!",20,2020-12-28T07:53:12.000Z,mothershipsg,2.47e+18
819,https://www.instagram.com/p/CIzRfmfgkbH/,"On Dec. 14, the Multi-Ministry Taskforce announced that Covid-19 vaccination will be voluntary. However, the government will be strongly encouraging everyone to get vaccinated when the vaccine is offered to you.",231,2020-12-15T02:11:32.000Z,mothershipsg,2.46e+18
821,https://www.instagram.com/p/CIxrZAuH1ja/,"📢This is a PSA:

While the Pfizer-BioNTech vaccine has been shown to protect the user against infection caused by the SARS-CoV-2 virus, there is not enough evidence that the vaccine protects against transmission of the virus. #linkinbio

Photo from Unsplash",236,2020-12-14T11:18:34.000Z,mothershipsg,2.46e+18
823,https://www.instagram.com/p/CIxiAZwHCAn/,"During his nationwide address on Dec. 14, PM Lee announced that Singapore will be one of the first countries to obtain the vaccines, and that there would be enough vaccines for everyone in Singapore by 3Q2021.

Priority will be given to healthcare workers and frontline personnel, as well as the elderly and vulnerable.",124,2020-12-14T09:57:31.000Z,mothershipsg,2.46e+18
1266,https://www.instagram.com/p/CHabKXKngMy/,"In the Covid-19 MTF Press Conference, on Nov. 10, Minister for Health Gan Kim Yong talked about the factors they will take into account when applying the vaccine.",70,2020-11-10T14:04:05.000Z,mothershipsg,2.44e+18
2569,https://www.instagram.com/p/CDnh0QgHt9v/,"The vaccine, Lunar-Cov19, is developed by Duke-NUS Medical School and U.S. pharmeceutical company Arcturus Therapeutics Holdings.",419,2020-08-08T06:05:32.000Z,mothershipsg,2.37e+18
2783,https://www.instagram.com/p/CDBiFdqjS7h/,"In a press conference on Jul. 24, Minister for Health Gan Kim Yong mentioned that the Covid-19 vaccine will most probably be available next year.",64,2020-07-24T11:57:36.000Z,mothershipsg,2.36e+18
3756,https://www.instagram.com/p/CAXuRJlnEgE/,"The final phase of the end of CB will be a safe and ""sustainable state"", but with some measures still in place, possibly until a Covid-19 vaccine is found. It's a new normal for Singapore.",33,2020-05-19T13:13:36.000Z,mothershipsg,2.31e+18
4084,https://www.instagram.com/p/B_pQIzcnxVx/,"Vaccines are commonly thought of as the magical solution to pandemics like Covid-19, but they also take a very long time to develop. We speak to an assistant professor from Duke-NUS to find out what exactly goes into developing a vaccine, and whether we should rely on one.

#MSReports",41,2020-05-01T12:05:19.000Z,mothershipsg,2.3e+18
