,username,comments,timestamp,postUrl,pubDate,description
0,iamyiapyewmun,"Congratulations! I’m going to be a parent in December. So 4,5  years later she would do the same thing 😁",2020-11-23T06:29:27.000Z,https://www.instagram.com/p/CH37VWGhSBy/,2020-11-22T01:01:55.000Z,"Kindergarten graduation ceremonies are a joy to look forward to at this time of the year — seeing the enthusiasm of the graduating children and sharing in the excitement of their parents and teachers.

This year, with the pandemic, the year-end concerts and graduation ceremonies turned into hybrid events, with the children at school and attendees watching online. I joined two virtual kindergarten graduation ceremonies in my constituency this month — My First Skool at Bedok South Blk 1 and @pcf.sg Sparkletots at Bedok Blk 30.

Despite the challenging school year, our children have adjusted well, thanks to the dedication of teachers and parents. Our little ones have been resilient and adapted to new norms, not only in their own lives but accepting changes in their parents’ routines as well.

To our graduating K2 students — congratulations! I hope you continue to enjoy your learning journey as you embark on a new adventure in primary school. Keep learning and keep growing. 🎓

([1] Photo from My First Skool; [2] Photo from @pcf.sg)"
0,cindylim1156,👏👏👏👏👏💪💪💪🙏🙏🙏❤️❤️❤️❤️❤️❤️,2020-09-04T03:53:11.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
1,chiochiotan,👍👍👍,2020-09-04T05:15:20.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
2,jb_tien,🇨🇳😂,2020-09-04T05:56:37.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
3,lucasjonastitusmom,Happy Teachers Day.,2020-09-04T09:27:15.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
4,dianapuichun,Very Good! The Teachers are important in shaping our young! A lot of Hardwork to mould a student and bring out the best in the student.,2020-09-04T17:24:00.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
5,loveforfoodntravels,Deeply grateful to our teachers! They deserve every praise and appreciation 👏👏👏,2020-09-05T01:12:23.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
6,johnjktan,😍❤️🙌👍👍👍👏👏👏👏👏👏👏👏❤️😍👏🙌👏👏👏👏👏👏👏👏,2020-09-05T01:23:56.000Z,https://www.instagram.com/p/CEsnSWeB_cI/,2020-09-04T02:00:55.000Z,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!"
0,martinst_jourlist,👏👏👏👏👏,2020-07-05T07:06:10.000Z,https://www.instagram.com/p/CCQEpyQHPqv/,2020-07-05T06:57:52.000Z,"Happy Youth Day!⁣
⁣
I know this is a difficult time to come of age. But I am glad you are taking this in your stride.⁣
⁣
For those of you who are studying, I am glad you adjusted well to home-based learning and not seeing your friends during the circuit breaker.⁣
⁣
I have heard and read many stories of how our youth are volunteering their time to help the vulnerable among us during this period, like the four individuals featured in this @gov.sg video.⁣
⁣
Do not let the challenges you are facing deter you. You can turn anxiety into action. And you have my assurance that we will not allow a lost generation in Singapore.⁣
⁣
Stay safe and enjoy the school holiday tomorrow (for those of you who are studying)!⁣
⁣
#SingaporeTogether"
1,jiaglen,"Semoga Berjaya, vote for Mr Heng and vote for PAP",2020-07-05T07:31:27.000Z,https://www.instagram.com/p/CCQEpyQHPqv/,2020-07-05T06:57:52.000Z,"Happy Youth Day!⁣
⁣
I know this is a difficult time to come of age. But I am glad you are taking this in your stride.⁣
⁣
For those of you who are studying, I am glad you adjusted well to home-based learning and not seeing your friends during the circuit breaker.⁣
⁣
I have heard and read many stories of how our youth are volunteering their time to help the vulnerable among us during this period, like the four individuals featured in this @gov.sg video.⁣
⁣
Do not let the challenges you are facing deter you. You can turn anxiety into action. And you have my assurance that we will not allow a lost generation in Singapore.⁣
⁣
Stay safe and enjoy the school holiday tomorrow (for those of you who are studying)!⁣
⁣
#SingaporeTogether"
