,username,comments,timestamp,postUrl,pubDate,description
0,dianapuichun,Very Good!,2020-05-15T19:40:17.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
1,martinst_jourlist,Thank sir..but monitoring dormitory sir..critical to monitor at everyone responsible as together at SG United sir,2020-05-15T20:01:04.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
2,oh_gim_hock,❤️❤️❤️幸苦了你🇸🇬🇸🇬🇸🇬,2020-05-15T23:37:55.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
3,phan.loomeng,👏👏👏👍👍👍🇸🇬🇸🇬🇸🇬,2020-05-16T00:50:16.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
4,lemongrass_pine,We have landed and grounded;but we definitely take off to be higher and stronger; proud to be Singaporean!,2020-05-16T02:23:58.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
5,chiewharong,👏,2020-05-16T02:47:04.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
6,angelene6104,SGUnited 👍💪🇸🇬,2020-05-16T03:53:04.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
7,amy.fong.98031,🙏🙏,2020-05-16T08:09:56.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
8,857544angela,👏👏🏼👏👏👏辛苦你们❤️❤️,2020-05-16T12:28:42.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
9,jo.wong.301017,👏👍😀,2020-05-17T03:30:00.000Z,https://www.instagram.com/p/CANtenOH2f-/,2020-05-15T15:53:00.000Z,"As we move into the last quarter of the circuit breaker period, our priority is on how we can gradually re-open our society and economy. This will not be easy. If we open up too quickly or without the necessary safeguards, we risk facing a new wave of infections. The experience of other countries opening up shows how agile the virus is.⠀
⠀
We have seen a large number of cases in our migrant worker dormitories. In the coming months, we will need to systematically and progressively recover all dormitories by testing and clearing all the residents. We will also be putting in Safe Working and Safe Living measures to protect the well-being of everyone.⠀
⠀
Our agencies and the Inter-agency Task Force have responded swiftly and systemically, and made good progress in managing the situation in our dormitories. A big thank you to our frontline workers, NGOs and companies for your commitment.⠀
⠀
We have been able to respond to this crisis because of the deep capabilities that we have invested and built up over the years — in the SAF, in our biotech sector, in our engineering and infrastructure sectors, in our healthcare sector and many more. These capabilities have been quickly mobilised and adapted to respond to the situation.⠀
⠀
As we shift into the next phase of our fight against COVID-19, we must continue to plan and invest ahead. We must stay highly vigilant as we progressively resume more activities and have more people return to work. Businesses, workers and the community must continue to adapt as the pandemic evolves. The road to recovery will be long, but we can and we will overcome this together. ⠀
⠀
#SGUnited⠀
#SingaporeTogether⠀
⠀
(Photo courtesy of @mindefsg)"
