,username,comments,timestamp,postUrl,pubDate,description
0,igniteous,ayyo wtf whats with singapore and all these cases recently,2021-02-23T09:55:32.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
1,trentloh,that sounds so wrong...,2021-02-23T09:29:51.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
2,timlee1038,"My advice : Parents to watch out . I have a close friend who had encountered of a molest case in his teenage years . Despite after marriage with kids , he still struggling with his sex orientation moods . Psychology impacts are something , we parents need watch out . 😢",2021-02-23T09:35:52.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
3,myaozm,Poor child. 😢,2021-02-23T09:39:02.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
4,___subha,Get him help and a sentence to jail. Is the child okay? Get the child help as well.,2021-02-23T09:49:51.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
5,criz_error_404,Let me guess he graduate from NTU?,2021-02-23T11:45:29.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
6,jomacsing,Sadly lots of paedophiles groom parents and like the children they chose they often choose vunerable and lonely parents .,2021-02-23T10:54:45.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
7,d.dread_ful.l,that's called sexual grooming lmao,2021-02-23T11:10:53.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
8,alvfng,Where is the boy's FATHER?,2021-02-23T09:38:07.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
9,psalm_23.d,Sick,2021-02-23T10:23:47.000Z,https://www.instagram.com/p/CLoS9mNhytM/,2021-02-23T09:26:07.000Z,"The boy’s mother returned home from work one day and saw her son sitting on the teacher’s lap in their living room. She felt that something was amiss. 

“At that moment, I already don’t feel good,” the mother said while sobbing, “because my supervisor had ever told me she saw (my son) sitting on (the man’s) lap at the void deck and he was hugging and kissing at, like, his neck, ears, cheek and mouth.”

But she didn’t say anything, because her 12-year-old son’s primary school teacher had grown to be like a family member, lending her money on several occasions and even taking on the role as the boy’s guardian.

Then came the day she allowed the boy to go over to the man’s place for a sleepover...

Read on, when u click on the link in bio @todayonline 

#teacher #student #sgnews #singaporenews #sgeducation #sgeducator #education #crime #court #courtcase #motherandson #mother #son #sgkids #sgfamily #sgeducation #protectourkids #protectourchildren"
