,username,comments,timestamp,postUrl,pubDate,description
0,cats_balls,"Now boomers can only complain ""gAhmEn tRacKinG u"" while using it",2020-10-21T10:18:30.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
1,scp507,why are they forcing us to use two different systems,2020-10-21T10:24:26.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
2,_rheiyana_,"Make Trace Together user-friendly 1st please just like singpass mobile app.. i do not have to scan QR code, i just need to search for location... I do not wish to stand and block others way just because I have to scan in.. work on that before you would like to implement it.. Thank You!",2020-10-21T10:26:18.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
3,domi._.tang,what but i don’t bring phone to school then how ah,2020-10-21T11:23:05.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
4,es_in_tokyo,1984. The monitor which is always in your house is now mobile. Good grief. The G is watching you 24/7🥶,2020-10-21T11:59:32.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
5,charyan2108,Where’s my tolen then haha,2020-10-21T12:22:58.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
6,charyan2108,Token,2020-10-21T12:23:01.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
7,calledeerrrr,@rachdiary no more singpasssss...,2020-10-21T12:40:51.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
8,truthfulgirl_away,*goverment wants to know your location*,2020-10-21T13:07:02.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
9,fekyou_imkerone,No pass,2020-10-21T15:40:15.000Z,https://www.instagram.com/p/CGmgu3thfOW/,2020-10-21T10:11:00.000Z,"Not long now! 

By December, it will be compulsory to use the TraceTogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the Government's plan to further reopen the economy.

At these venues, people will not be able to check in by scanning their identification cards or SafeEntry QR codes with their phones, the Smart Nation and Digital Government Office said in a statement yesterday.

Instead, they will have to either use the TraceTogether app to scan a QR code at the premises or have the staff there scan the QR code found on their token.

Currently, only the use of SafeEntry is compulsory.

Read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app"
