,username,comments,timestamp,postUrl,pubDate,description
0,hazette1,Bad times,2021-02-22T00:23:41.000Z,https://www.instagram.com/p/CLjmNmWBC1e/,2021-02-21T13:38:08.000Z,"“I hope [my court] case doesn’t affect business”, says veteran actor Terence Cao, who started a mee siam delivery business with fellow stars Dawn Yeoh, Shane Pow and Vincent Ng.

By ‘’case’’, Cao is referring to the private gathering in his home for 13 people, which breached Covid-19 safe distancing guidelines. He’s expected to be charged in court on March 2.

Called Sibay Shiok, Terence’s two-week-old biz currently offers just two dishes: dry mee siam with sambal prawns, and abalone fried rice...

Read on, when u click on the link in bio @todayonline 

@sibayshiok @terencecao_guohui @iamdawnyeoh @shanepowxp @vincentwqh 
#sgfood #sgeats #sgfoodies #celebrity #singapore #meesiam #yummy #sibayshiok #supportlocal #supportlocalsg #supportsmallbusiness #sgfarms #fooddelivery #fooddeliverysg"
1,jerliejames,"I did my research properly Tiwase Kariet i must confess nobody handles my business like you do, l'm privileged to work with you ... you're indeed one of the best traders ever thank so much Ma’ma for your good works, keep it up 👍 https://www.facebook.com/tiwasekarietfxtrade@earn_with_tiwase_fx",2021-02-21T14:52:30.000Z,https://www.instagram.com/p/CLjmNmWBC1e/,2021-02-21T13:38:08.000Z,"“I hope [my court] case doesn’t affect business”, says veteran actor Terence Cao, who started a mee siam delivery business with fellow stars Dawn Yeoh, Shane Pow and Vincent Ng.

By ‘’case’’, Cao is referring to the private gathering in his home for 13 people, which breached Covid-19 safe distancing guidelines. He’s expected to be charged in court on March 2.

Called Sibay Shiok, Terence’s two-week-old biz currently offers just two dishes: dry mee siam with sambal prawns, and abalone fried rice...

Read on, when u click on the link in bio @todayonline 

@sibayshiok @terencecao_guohui @iamdawnyeoh @shanepowxp @vincentwqh 
#sgfood #sgeats #sgfoodies #celebrity #singapore #meesiam #yummy #sibayshiok #supportlocal #supportlocalsg #supportsmallbusiness #sgfarms #fooddelivery #fooddeliverysg"
0,tbosheng_spartan,Rest In Peace to all the people that passed on in the past few days...,2021-02-19T12:59:33.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
1,jaisequel,2021 has too many sudden and shocking deaths...,2021-02-19T13:40:59.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
2,veramark07,Condolences. MOM are responsible because of lack of Safety Officer on site. So far there seem no improvement in our safety management. Too many foreigners in construction site without a valid safety licence to ensure safety of workers. All contractors n sub-Contractors don’t see the importance of a life.,2021-02-19T13:22:33.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
3,isaaclyh,Deepest condolences to mr Koh family,2021-02-19T13:17:10.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
4,caramelhugs,4.7m?!,2021-02-19T13:22:00.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
5,adiba.azhani,"4th fatal accident since February ?? this is only middle of Feb. . management should really look into safety& health issue seriously.. poor their family to receive news like this.. plus, i thought after fatality case, authority will issue SWO. ?",2021-02-20T00:26:04.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
6,adiba.azhani,"4th fatal accident since February ?? this is only middle of Feb. . management should really look into safety& health issue seriously.. poor their family to receive news like this.. plus, i thought after fatality case, authority will issue SWO. ?",2021-02-20T00:24:25.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
7,sashti90,"Hmm, this also means that the many construction workers on site could have also suffered the same fate?",2021-02-19T14:05:25.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
8,sand_artist_lawrence_koh,Om Mani Padme Hum.... rip,2021-02-19T13:03:23.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
9,potatocoffeepot,Rest in peace,2021-02-19T13:44:08.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
10,belmarladran,😢😢😢,2021-02-19T14:12:53.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
11,janey.wong.94,😢阿弥陀佛!🙏🙏🙏,2021-02-20T03:56:26.000Z,https://www.instagram.com/p/CLeX_TqB5iD/,2021-02-19T12:57:38.000Z,"While overseeing alteration works at a house, Mr Koh Kok Heng, 53, fell through a floor opening and landed on a staircase about 4.7m below.

His sons rushed to the hospital when they heard the news, but by the time they arrived, it was too late. Their father had already died.

MOM said that the accident is the fourth fatal workplace incident here since the start of February. 

Read on, when u click on the link in bio @todayonline 

#workplaceaccident #accident #construction #workplacesafety #constructionlife #cny2021 #reuniondinner #chinesenewyear #family #rip"
0,rustyhunters,Singapore should have one too. Maybe orchard road.,2021-02-16T14:32:28.000Z,https://www.instagram.com/p/CLWQMvXsBSf/,2021-02-16T09:15:45.000Z,"🔥 Incredi-bull, isn't it. 

To celebrate the Year of the Ox, Pavilion KL debuted a unique 3D animation clip of a golden bull that looks like it is charging out of a giant LED screen. 

Said to be the first of its kind in Malaysia, the video shows the bull getting spray painted a glimmering gold before it ""smashes"" the screen, a symbolic gesture of chasing away the Covid-19 blues and bringing wealth and health to the nation.

Watch the video, save / like / share it, and click on the link in bio @todayonline for more. 

#pavilionkl #kualalumpur #giantscreen #3d #3dtechnology #electronics #shoppingmall #chinesenewyear #cny2021 #yearoftheox #goldenbull #goldenbullpavilion #goldenbullpavilionkl
Video: Pavilion KL"
1,melrasidi,Superficial ethos and still we are surrounded by covid19. BUT visual quality superbly undeniable.,2021-02-16T12:02:58.000Z,https://www.instagram.com/p/CLWQMvXsBSf/,2021-02-16T09:15:45.000Z,"🔥 Incredi-bull, isn't it. 

To celebrate the Year of the Ox, Pavilion KL debuted a unique 3D animation clip of a golden bull that looks like it is charging out of a giant LED screen. 

Said to be the first of its kind in Malaysia, the video shows the bull getting spray painted a glimmering gold before it ""smashes"" the screen, a symbolic gesture of chasing away the Covid-19 blues and bringing wealth and health to the nation.

Watch the video, save / like / share it, and click on the link in bio @todayonline for more. 

#pavilionkl #kualalumpur #giantscreen #3d #3dtechnology #electronics #shoppingmall #chinesenewyear #cny2021 #yearoftheox #goldenbull #goldenbullpavilion #goldenbullpavilionkl
Video: Pavilion KL"
2,ledither910,Only this msia can be proud of,2021-02-16T11:48:06.000Z,https://www.instagram.com/p/CLWQMvXsBSf/,2021-02-16T09:15:45.000Z,"🔥 Incredi-bull, isn't it. 

To celebrate the Year of the Ox, Pavilion KL debuted a unique 3D animation clip of a golden bull that looks like it is charging out of a giant LED screen. 

Said to be the first of its kind in Malaysia, the video shows the bull getting spray painted a glimmering gold before it ""smashes"" the screen, a symbolic gesture of chasing away the Covid-19 blues and bringing wealth and health to the nation.

Watch the video, save / like / share it, and click on the link in bio @todayonline for more. 

#pavilionkl #kualalumpur #giantscreen #3d #3dtechnology #electronics #shoppingmall #chinesenewyear #cny2021 #yearoftheox #goldenbull #goldenbullpavilion #goldenbullpavilionkl
Video: Pavilion KL"
