,username,comments,timestamp,postUrl,pubDate,description
0,laoniangstagram,if this one not death sentence then irdk what to say le,2021-02-24T04:24:08.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
1,asdspecialist,"This news is so saddening. She came to work to seek better life for her 3 yo son, only to be abused & died under the hands of a pair of mother & daughter.",2021-02-24T04:48:18.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
2,caramelhugs,Catch the husband also pls,2021-02-24T04:32:13.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
3,muazzahalkaff,"There should be a campaign here in Singapore on the rights of domestic helpers. They need our trust and respect. The more we trust them, the more loyalty and good service we get back from them. Shame that we have these kind of employers in this country. Why not every agent employ adhoc officers to do random check on each and every one of their domestic helpers biweekly for the first 6 months. Make a checklist and private interviews with them. So they have a space to express themselves. Do medical checkups or anything such.",2021-02-24T05:29:07.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
4,life_warrruuuppp,"This heartless woman robbed the helper of her dignity, her rights as fellow human and her right to live.... and I must say the people living with her are all in cahoots.... Let the highest level of justice be shown upon her and whoever are involved!!!",2021-02-24T04:30:03.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
5,brendaongmeiling,"She, her mom and her husband needs to paraded in public so that people can throw rotten eggs & stones at them!!!😠Her husband watched these extremely cruelty & did not lift a finger to help. He deserved as much punishment as this henious sow!",2021-02-24T04:30:26.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
6,aiwanderr,i just don’t understand this kind people. Like yes you pay them but you “DON’T OWN THEM”.,2021-02-24T04:33:36.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
7,ivettezfotos,"🤬 If one has time to torture a person, they have time to do their own housework.  Disgusting and inhumane behaviour.",2021-02-24T04:28:19.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
8,brendaongmeiling,"Woman are not allowed to be caned under SG law. But wow I guess this case warrants an exception!If she is not sentenced to death, the most deserving punishment will be life imprisonment plus canning 😠",2021-02-24T05:02:11.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
9,ooyen,That entire family needs to face the full force of the law and then go straight to hell. My heart is aching for Piang and her family.,2021-02-24T06:10:45.000Z,https://www.instagram.com/p/CLqU3YzB82J/,2021-02-24T04:21:14.000Z,"Domestic helper Piang Ngaih Don, 24, weighed just 24kg when she died. An autopsy uncovered 31 recent scars and 47 external injuries scattered all over Piang's body. 

Over 9 months, Gaiyathiri Murugayan, 40, repeatedly abused Piang. The latter was deprived of food and water and lost 15 kg in the process. She had no privacy, being forced to shower or relieve herself with the toilet door open while Gaiyathiri and her mother Prema S Naraynasamy watched.

She had to wear many layers of face masks as she went about her work in the house, because Gaiyathiri found her unhygienic and did not want to look at her face.

On the day Piang died, Gaiyathiri had rained blows on her, bashed her head with a detergent bottle, and Prema allegedly punched the worker’s neck and choked her. 

Piang was so weak that she could barely get up from the toilet floor, but the women did not stop their abuse...

Read on. Click on the link in bio @todayonline"
