,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,M&B,2364428990803939359,2020-07-30 04:05:21,madaboutbananas,"Photo by M&B on July 29, 2020.",Banana bread with chocolate chip topping 🍌,,26,5
1,M&B,2364425583376646814,2020-07-30 03:58:35,madaboutbananas,"Photo by M&B on July 29, 2020.",Banana bread with chocolate chip topping 🍌,,28,1
2,Semua Malay,2365734359469837773,2020-07-31 23:18:53,semuamalay,"Photo by Semua Malay on July 31, 2020. May be an image of 1 person.","Me after #circuitbreaker 😅
.
.
.
.
👉Follow us on IG & FB!
@semuamalay
@semuamalay
@semuamalay
#semuamalay
.
.
.
#hhwt
#malay
#halalmemes
#halaljokes
#halalbanter
#muslimjokes
#halalhumour
#halalmeme
#muslimfunny
#funnymuslim
#singaporean
#hijabsingapore
#muslimahsg
#singaporemuslimah
#muslimahsingapore
#kucing 
#catsofinstagram 
#meowga 
#meowstagram 
#catmemesdaily 
#catmemes #circuitbreakersg",,15,0
3,tHe Super Blessed (est. 2013),2365617226609705287,2020-07-31 19:26:10,thesuperblessed,"Photo by tHe Super Blessed (est. 2013) on July 31, 2020.","Let the rainbow keep our Focus on God’s promises, and always know that He loves us no matter what ... 
“I praise you because I am fearfully and wonderfully made; your works are wonderful, I know that full well.” ~ Psalm 139:14

.
.
.
.
.
.
.
.
#christiangifts #christianapparels #christiantshirts #superblessed #amen #pray #bibleverse #ptl #hypebeast #hypebeaststyle #possible #thesuperblessed #jesus #cbphase2 #circuitbreakersg #motivate #sgblogger #sginfluencer #sgshopping #sgunited🇸🇬 #rainbow #supportlocal",,25,1
4,Destinie Wong,2365553221075878151,2020-07-31 17:19:00,destinie2435,"Photo by Destinie Wong on July 31, 2020.","Saw so many friends shared the BBC video for cooking fried rice, here to go my version of healthier fried rice prepared using calrose rice, tri-colour quiona, corn with “black hole” egg and fried ikan bilis. It served with store bought archar with crushed peanut topping.

#circuitbreakersg #homecooking #chinesefriedrice #calroserice #tricolourquiona #corn #luncheonmeat #egg #archar #炒饭",,56,1
5,Group Buys Sg,2365501118961718616,2020-07-31 15:35:29,groupbuyssg,"Photo shared by Group Buys Sg on July 31, 2020 tagging @elixr.inc. May be an image of text that says 'ELIX freshly brewed vchee mint kombuch ELIXR Freshly brewed anilla chai cinnamo kombucha ELIXR freshly brewed cucumber mint kombucha ©elixr.in'.","[Sharing Good Stuff] Giving a Big Shout Out to the good People over @elixr.inc! Heartfelt appreciation for sending the Kombucha over! 

The Vanilla Chai Cinnamon packs a punch with the aromatic fragrance of Spices! Lychee Mint is refreshing and Cucumber Mint is right between the two! There's a Kombucha for Everyone! 

Kombucha is a product of fermentation is full of probiotics (good gut bacteria). These probiotics in kombucha help with detoxification and regulate gut bacteria, helping to maintain a healthier digestive system. A healthy digestive system allows you to absorb more nutrients from your food, more regular bowel movement, reduce bloating and helps general wellness! Kombucha also has high amounts of antioxidants, helping to boost overall immunity.

Can't wait to finish up our current batch and trying out their new flavours like apple cinnamon and mango vanilla basil! 🥰

#elixrinc #freshbrew #kombucha #smallbatch #fermentation #scoby #fermentedfoods #sgfermfriends #sgbased #probiotics #fermentation #guthealth #kombuchatea #detox #supportlocal #circuitbreakersg #supportlocalsg #kombuchasg #teasg #sgigfoodies #sgfoodlover #sgigfoodie #foodsg #singaporeanfood #sglocalfood #sgfoodie",Pije Kombuche,9,0
6,Online Wine Shop 🍷🇸🇬 Singapore,2365499656845951906,2020-07-31 15:32:35,thewinemonk,"Photo by Online Wine Shop 🍷🇸🇬 Singapore on July 31, 2020.","Magnums for Magnum weekends.

Think it is ok
To demand a bit more from your bottle
To demand a bit more from your wine
To pamper yourself a bit more
To enjoy that shopping luxury just a little bit more
To lie in bed for that hr you didn't have before
To say for once with love what you never said before

You know it's ok
To demand a little bit more from your husband (not wife)
And also ok to demand a little bit more from life (life not wife meh)
A little gesture from LTA for one more month of no ERP
And maybe from URA to step in to also make parking free
From corporates to now pay for fibre broadband and aircons
Because there is merit in our claim that,
on our own, we rarely stream Spotify or play games on our iphones!

It's also OK to call up your boss and demand a bit more,
But let me remind you once again, here, you are really drunk and on your own
After all it's just wine. It's a whole lot of fun but no new super power ok?

DM/WhatsApp 91089395 for special prices on a range of magnums for these two long weekends.",Singapore,91,4
7,Phoebe 피비,2365484249747941883,2020-07-31 15:01:58,megumi_piano,Photo by Phoebe 피비 in Singapore. May be an image of text that says 'Turnon Origin Sound @megumi piano Speaker View Mute SpVideo Security Participants Chat Screen Record Reactions End'.,"Zoom concert was a success! Well done to all students who have participated. Here's a group photo from last Sunday's concert.
.
#piano #concert #recital #homeconcert #livingroom #sgmusicians #zoommusician #circuitbreakersg #onlinelessons #pianorecital #onlineconcert #pianostagram #pianoteacher #instapiano #pianists #musician #musicians #instamusic #pianiste #pianista #instamusician #instrumental #instrumentalist #singapore #sg2020 #钢琴 #演奏 #피아노선생님 #피아노연주 #피아노",Singapore,91,0
8,,2365474244606608254,2020-07-31 14:42:05,makanwarrior,"Photo shared by @makanwarrior on July 31, 2020 tagging @singaporefoodlisting, @sgfoodtrend, @singaporeinsiders, @tastesocietysg, @sg.foodbuzz, @dabao_singapore, @aquiver_singapore, @kiasuscom, @dineathomesg, @homebakersofsg, @homebakers_sg, and @lovetowhisk.","@lovetowhisk 
Are you are fan of the current trending Basque Burn Cheesecake or our beloved Ondeh Ondeh cake? Well, if you are a fan like me, who adores both types of cakes, then you would not want to miss this Ondeh Ondeh Basque Cheese Cake by @lovetowhisk !
🔻
The Ondeh Ondeh flavor is subtle yet strong enough to give this cheese cake a different vibe and what I like is that you can customized the flavor with the separate desiccated Coconut and their home made Gula Melaka syrup! With the addition of these 2 ingredients, the flavor of the Ondeh Ondeh is brought up front and it’s overall taste is elevated! I thoroughly enjoy this!
🔻
Instructions are provided on the many ways on how you can enjoy the cake like eating it cold or even popping the cake into the microwave oven for a extra gooey texture!
🔻
If you are really a fan of both cakes then you definitely have to try this Ondeh Ondeh Burnt Cheesecake from @lovetowhisk ! 
*Other flavors are available too! 
Refer last page for pricing and flavors!
🚚DM @lovetowhisk to order or head over to @lovetowhisk to place your orders
🔹
🔹
🔹
Thanks to @lovetowhisk for dropping these delicious cake!
🔹
🔹
🔹
#lovetowhisk#burntcheesecake#lovetowhisksg#ondehondehcake#foodie#eatsg#whenwedineagain#sgunited#takeawaysg#stayhomesg#sgfoodporn#circuitbreakersg#sgfoodtrend#sgfood#foodsg#foodporn#makanwarrior#instasg#foodpics#foodgasm#instasg#sgfoodies#openrice#mediadrop#sgmakandiary#savefnbsg#STFoodtrending",Stay Home - Stay Safe,434,31
9,LIVFIT WITH LAILA ✨,2365462333302494058,2020-07-31 14:19:00,laila_izyan,,"HEALTHY RECIPE! 
Healthy chocolate 🍫 ice cream! Okay sangat nak buat during cheat day! #stayhomesg 😁
.
📝 Ingredients:
FrozenBanana 
Coco powder
Vanilla extract 
Almond milk
📝 Step by step as per video 🤸🏻‍♀️
.
🎥 fit foodie find
.
.
JOM AUGUST INTAKE!🔥
💋 Coach Laila +6594740557
💋 Program link in bio
.
📍Share & Tag your diet partners
#lailadietclass101 #teamlailaizyan",Waterway Point,4,1
10,LIVFIT WITH LAILA ✨,2365458939238051306,2020-07-31 14:12:06,laila_izyan,,"🧚🏼‍♀️AUGUST SPECIAL EDITION 🧚🏼‍♀️
Puasa dah sebulan.. berat masih tak turun.. Tak sempat burn weight Raya Puasa.. Raya Haji pulak gain lagi 3kg pulak..😱
. 
No worries! 😉 .
Boleh je join August Intake.. 3rd August ni start! Jom burn semula calories lemang ketupat rendang combo raya tempoh hari.. 5-6 kali makan dengan complete meal plan from pagi sampai malam dah ready. Your job easy jerr.. follow2 me jerr..
.
Easyyyy kan.. potential kurus 3- 5kg in 2 weeks.. kalau sebulan commit potential turun 10kg.. best ke best? hehehe
.
LIMITED AUGUST SLOTS!🔥
💋 Coach Laila +6594740557
💋 Program link in bio
.
🧚🏼‍♀️The advantage plan 👇🏼
.
💋 Latest meal plan + recipes
💋 Workout combo
💋 Dieting topics
💋 1-On-1 Coaching with Coach Laila
💋 Support group
.
📍Share & Tag your diet partners
#lailadietclass101 #teamlailaizyan",Masjid Al-Mawaddah,5,1
11,LIVFIT WITH LAILA ✨,2365453342920827479,2020-07-31 14:00:34,laila_izyan,Photo by LIVFIT WITH LAILA ✨ in ArtScience Museum. May be an image of 1 person.,"Salam Aidul Adha to all muslim muslimah ❤️
.
Share calories tau! 😇
#lailadietclass101 #teamlailaizyan",ArtScience Museum,31,2
12,Pharaoh The Corgi 🐶♂,2365428268911197236,2020-07-31 13:10:45,pharaohthecorgi,,"Check my eyes out woof woof 🐶
#PharaohTheCorgi
•
•
#sgcorgination #sgcorgi #sgpets
#corgisofinstagram #corgination #corgicommunity #corgilove  #corgipuppy  #corgistagram #welshcorgi #pembrokewelshcorgi #corgis #instacorgicorgigram  #corgiplanet  #corgiaddict  #instacorgi #corgilife  #corgigram_ #corgi_of_instagram #myfavcorgi  #corgiworld #corgibutt #corgilover #pemboke #stayhomestaysafe #circuitbreakersg #stayhomesg #stayhomewithST",Singapore,58,6
13,Ivy Yee,2365419376607312565,2020-07-31 12:53:05,ivyyee,"Photo shared by Ivy Yee on July 31, 2020 tagging @josephineyee.","🐥嚟返碗辛拉面🍜
#辛拉面 #dinnertime #instantnoodles #myfav #nomnom#yummylicious #homecookfoodisthebest #instacook#instafood #instafollow #followforfollow #followforfollowback#lunchtime #homecookisthebest #homemade#itsfriday #tgif#friyay #circuitbreakersg #day116 #sisters",,11,0
14,Engagement Rings | Fine Jewels,2365411440690550564,2020-07-31 12:37:19,brilliantopals,"Photo by Engagement Rings | Fine Jewels on July 31, 2020.",Happy long weekend! 🥳,Singapore,16,1
15,The Lol-down,2365395535664677385,2020-07-31 12:05:43,theloldown,"Photo by The Lol-down on July 31, 2020. May be an image of 1 person and text that says 'Covid 19 has led to botanic boom in Singapore asme people people become plant parentsto parents relieve stress stress Me:'.",Stressful times calls for stress-fool measures,,11,1
16,#SGB • All About Singapore,2365394242777383426,2020-07-31 12:03:08,singaporeguidebook,Photo by #SGB • All About Singapore in Masjid Sultan with @annalystics.,"🌙 4 Wisata Dekat Masjid Sultan! (Catat untuk trip kamu selanjutnya!) 🤩
.
👉🏻Kawasan Bugis dan Kampong Glam, dua lingkungan dengan beragam wisata mulai dari arsitektur, perbelanjaan, dan kuliner! Bugis dan Kampong Glam nggak boleh dilewatkan oleh pengunjung di sudut Singapura!😜
.
1️⃣ Masjid Sultan
Masjid Sultan adalah masjid terbesar di Singapura dan dapat ditemukan di dekat North Bridge Road. Dihiasi kubah emasnya yang besar, masjid ini bisa menampung hingga 5.000 jemaah sekaligus.

2️⃣ Haji Lane
Jalan sempit nan cantik ini sangat menyenangkan untuk dilewati. Haji Lane telah menjadi tempat nongkrong favorit, dengan mural berwarna-warni dan toko serta cafe. Hanya jalan kaki sebentar dari MRT Bugis.

3️⃣ Arab Street
Kamu mencari beberapa makanan halal terbaik di kota? atau ingin mendapatkan kain eksotis berkualitas? atau hanya ingin menjelajahi salah satu jalan tercantik di Singapura? Arab Street jawabannya. Berdekatan dengan Haji lane, hanya jalan kaki dari stasiun MRT Bugis.

4️⃣ Bugis Street Market
Nikmati pengalaman berbelanja yang luar biasa di daerah Bugis dan Kampong Glam. Mulai dari kaus murah hingga pernak-pernik! Ini juga tempat yang menyenangkan untuk menghabiskan sore, terutama di akhir pekan.  
.
👉🏻Apalagi yang kamu mau kunjungi sekitar Masjid Sultan? Share dong! Anyway, Happy Eid Adha, #SGB_Family yang merayakan!💗
.
Photo by: @annalystics
.
#TravelWithSGB
#HaveFunWithSGB",Masjid Sultan,1559,59
17,Tea Pulse (Kombucha x BBT),2365384725526121974,2020-07-31 11:44:14,teapulse,Photo by Tea Pulse (Kombucha x BBT) in Teapulse with @teapulse.,"Long weekend surprise! Thank you once again for supporting our initiative in fermenting new flavours of #kombucha every week.
-
For all who wish to tickle their palette and boost their gut health at the same time, @Teapulse will be bringing back 2 popular flavours and launching 2 new ones on Teapulse.sg this weekend at staggered timings. Don’t miss it! #teapulse",Teapulse,124,3
18,Foodie Goodie,2365379537446969762,2020-07-31 11:33:55,wiwianwuan,"Photo by Foodie Goodie on July 31, 2020. May be an image of text that says '2Messi RE: Internship- Final COMPAN docs.google.com Dear Vivian, Hope Analyse and the Mighty Velo team are As conduct research fulfill brief produce products my colleague Liong's sent Company Assessment both Dionne the respective well COMPANY ASSESSMENT formance gle/L Able conduct research Guidelines the COMPANY ASSES research Assessment (Reminder Please Passing satisfactorily Able manually Nicole Google score research supervision Only research complete assessment before receive 'receipt') Google successful completion Please orward digital purpose. should alsoprint conduct produce nlease Write, and'.","Relieved that our interns were able to step up despite being in a lockdown, unable to go to a physical office to learn office skills, interpersonal communication skills and technical skills. They are going to complete their 22-week internship soon, most of which was conducted at home. They are definitely industry ready, and I am glad I helped them get ready. 
🖨
⌨️
💻
#ngeeannpoly #ngeeannpolytechnic #internships #intern #industryready #sgunited #phase2 #circuitbreaker #circuitbreakersg #mightyvelo #workfromhome #lifelonglearning #upskilling #upgrading #xtragoodvibes",,8,0
19,,2365376582242982580,2020-07-31 11:28:03,thesometimeschef,"Photo by @thesometimeschef on July 31, 2020. May be an image of 1 person.",#homecooked #homecooking #homecookedmeals #foodporn #foodstagram #simple #dinner #oishi #a5wagyu #miyazaki #wagyu #sirloin #sukiyaki cooked in homemade #shoyubroth #niigatakoshihikari #rice #63degreeegg #kale #sauteedmushrooms #crackedblackpepper #stayhome #staysafe #circuitbreakersg,,11,0
20,La Petite Cuisine,2365374262104839500,2020-07-31 11:23:27,lapetite_cuisine.sg,"Photo by La Petite Cuisine on July 31, 2020.","Yes, we are OPEN! Lunch (11:30am - 2:15pm) and dinner (5:30pm - 9:15pm) from Tuesday to Sunday.
.
Call 6314 3173 for reservation
.
Located at No. 10 Jalan Serene #01-02 Serene Centre Singapore 258748
.
Looking forward to welcome all of you and of course with safe distancing measures in place.
.
Takeaway is still available 🙂
.
À bientôt!
.
.
#frenchfood #instafood #restaurant #frenchcuisine #foodstagram #foodphotography #frenchrestaurant #foodlover #foodblogger #gastronomy #gourmet #fooddelivery #lapetitesingapore #frenchbistro #takeaway #menubento #bentoboxlunch #takeawayfood #islandwidedelivery #circuitbreakersg #foodsofinstagram #foodpicsdaily #delicious #foodgasm #foodie #yummy #instafoodgram #foodpornsg",,6,0
21,Susenji | Naked Blend,2365368089834366784,2020-07-31 11:11:11,halcostal,"Photo by Susenji | Naked Blend on July 31, 2020.","Do you know how convenient our Slimming Gel Jr is as compared to Slimming Gel Sr?
- With the newly added medical grade stainless steel roller balls, you do not need to trouble your hands to massage the gel in! Which means you literally can roll anytime anywhere while doing other things like watching tv😳

-Also there’s 24K Gold added in, which is why it’s named as 24K Gold🤩 The gold flakes helps in absorption and is also known for antioxidant & anti inflammatory benefits!

#susenjidrinkorangemofa #Susenji #susenjisg #SusenjiSingapore #susenjimofa #susenjigel #susenjiorangemofa #SusenjiGoldGel
#OrangeMOFA #igsg #sgonlineshop #susenjiglobal #susenjigold24k #sgmummyblogger #sghealth #teamsupersenji #Singapore #detox #sgbeauty #susenji瘦神奇 #sgmummy #sgpregnant  #sgslimming #circuitbreakersg #sgwomen #sgmommy #sgfoodies #sgeats #igsgfood #igsgbeauty",Mandarin Orchard Singapore,6,0
22,Go Singapore (Alvin),2365363497859953700,2020-07-31 11:02:06,go.singapore,Photo by Go Singapore (Alvin) in Jewel Changi Airport with @f.beyond_.,"Jurassic Park vibes, especially now that there are pretty much no tourists⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Credits to: @f.beyond_⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
==~~~~~~~==⠀⠀⠀⠀⠀⠀⠀⠀⠀
Follow 👉👉 @go.singapore⠀⠀⠀⠀⠀⠀⠀⠀⠀
❗Tag @go.singapore or use #go.singapore⠀⠀⠀⠀⠀⠀⠀⠀⠀
✅ The best works will be published!⠀⠀⠀⠀⠀⠀⠀⠀⠀
==~~~~~~~==⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#singapore #exploresingapore #sglife #thisissingapore #topsgshots #singaporeinsiders #sgig #circuitbreakersg #asia_vacations #wonderfulworld #luxurylifestyle #singapore🇸🇬 #travelblog #singapore_insta #beautifuldestinations #passionpassport #socialdistancing #singaporecity #circuitbreaker#singaporeig #natgeotravel #ExploreSingapore #wonderlustsingapore #visitsingapore #singaporetrip #sgunited #gardensbythebay",Jewel Changi Airport,354,1
