,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,Karen,2475442039008694993,2020-12-30 08:08:28,seriouslyhandmade,"Photo shared by Karen on December 30, 2020 tagging @govtechsg, and @gov.sg.","Fresh from the hook! Customized case for the latest Trace Together Token 😊 
Pattern : by me (freehand)
.
.
.
#seriouslyhandmade #tracetogether #trace #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #case #qr #qrcode #crochetersofinstagram #handmade #crochettokencase #crochetaddict #names #supportlocal #handmadesg #supportsmallbusiness #sgcrafters #amigurumiaddict #covid19 #crochet  #tokengowhere #govtechsg #govtech #safeentry #safeentrysg #合力追踪",,20,0
1,Pauline Lee,2474933104594386681,2020-12-29 15:17:18,pauline_nnn,Photo by Pauline Lee in Ubi Avenue 1. May be an image of text that says 'd belongs SGUNTEL to This DS 6973 6511 Hotline Singapore 0口 Property COUNTED This belongs to PL Hotline Property 6973 Hotline-69736511 6511 of Singapore Government'.,TraceTogether#Token#Contact tracing together#covid_19 #staysafe#maskup😷#token collected#safeentrysg#scanQcode#safeentry#checkin#checkout#sg#💪🏻😷😷😷,Ubi Avenue 1,11,0
2,Kreations Athena,2473116384260054403,2020-12-27 03:07:48,kreationsathena,"Photo by Kreations Athena on December 26, 2020. May be an image of text that says 'Type 1 Type 3 TraceTogether Token Holders $10 each personalise yours today @Kreationsathena Type 2 Type 4'.","TraceTogether Token Holders
Personalise yours today! 
Our token holders have a 
✅ convenient hole at the back to allow you to scan away
✅ handy hook to attach it to your bag or keychain
✅ beautiful buttons to personalise it
✅ and we can add your names too (limited to 6 characters)

Drop us a note to find out more!!

#tttoken #tracetogether #tracetogethertokenssg #tracetogethertokensleeve #tracetogethertoken  #safeentry #safeentrysg",,4,0
3,Karen,2472414059298638037,2020-12-26 03:52:25,seriouslyhandmade,"Photo by Karen on December 25, 2020.","These new cases found their new owners on Christmas day 😊 
Ho..ho..ho..my 3rd ""Hall of Fame"" for Personalized Trace Together Token Cases is in the making 😉
.
.
.
#seriouslyhandmade #tracetogether #trace #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #case #qr #qrcode #crochetersofinstagram #handmade #crochettokencase #crochetaddict #names #customisedgifts #认真手作 #customisedcases #amigurumiaddict #covid_19 #covid19 #croche #game #tokengowhere  #govtechsg #safeentry #safeentrysg #合力追踪",,10,0
4,Karen,2472410926078060655,2020-12-26 03:46:11,seriouslyhandmade,"Photo by Karen on December 25, 2020. May be an image of crochet.","Tototo & Among Us Crewmates are eager to meet their new owners 😊 (for square/angled Trace Together Tokens)
Patter credit: by me (freehand)
.
.
.
#seriouslyhandmade #tracetogether #trace #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #crochet #crochetaddict #amigurumiaddict #amongus #amigurumidoll #tokengowhere #crochetamongus  #amongusmeme #deadbody #covid19 #stickynotes #crochetamongus #amongusmemes #meme #memesdaily #funnymemes #totoro #imposter #govtechsg #safeentry #safeentrysg #合力追踪 #认真手作",,5,0
5,Miaoxin Edward Lin,2471345645447574377,2020-12-24 16:29:40,lmxedward,"Photo by Miaoxin Edward Lin on December 24, 2020. May be an image of text that says 'Check With TraceTogether Togetherw soon SafeEntry check าร, better protec COVID-1 19. again Download App SafeEntry SafeEntry 1호 1 You are visiting XIAN HUA SHOUSE Check-In Check-Out 器'.",Salute her #merrychristmas #safeentry #safeentrysg #santa,,1,0
6,EclairSmart,2470472863195669677,2020-12-23 11:35:36,eclairsmart,Photo by EclairSmart in Singapore.,"(Off-Topic) I got my TraceTogether token today.
#tracetogether #tracetogethertoken #safeentry #safeentrysingapore #safeentrysg #covid19 #covid19singapore #covid19sg",Singapore,14,0
7,Karen,2469493575263258859,2020-12-22 03:09:56,seriouslyhandmade,"Photo by Karen on December 21, 2020. May be an image of crochet.","Among Us with ""DUM"" sticky note customized for a square/angled Trace Together Token 😜
.
.
.
#seriouslyhandmade #tracetogether #trace #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #crochet #crochetaddict #amigurumiaddict #amongus #amigurumidoll #tokengowhere #crochetamongus  #amongusmeme #deadbody #covid19 #dum #stickynotes #crochetamongus #amongusmemes #meme #memesdaily #funnymemes #imposter #govtechsg #safeentry #safeentrysg #合力追踪",,11,0
8,Karen,2469135785327980043,2020-12-21 15:19:04,seriouslyhandmade,"Photo by Karen on December 21, 2020. May be an image of text that says '4 2 Shirley Steven လ ThamHK seriouslyhandmade yhandmade'.","Hurray! These Personalized Trace Together Token Cases are ready for the Tham Family 😊
.
.
.
#seriouslyhandmade #tracetogether #trace #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #case #qr #qrcode #crochetersofinstagram #handmade #crochettokencase #crochetaddict #names #supportlocal #handmadesg #supportsmallbusiness #sgcrafters #amigurumiaddict #covid19 #crochet  #tokengowhere #govtechsg #govtech #safeentry #safeentrysg #合力追踪",,10,1
9,Karen,2468735212208277996,2020-12-21 02:03:12,seriouslyhandmade,"Photo by Karen on December 20, 2020. May be an image of stitching.","Voila ! My 2nd ""Hall of Fame"" for Personalized Trace Together Token Cases 😊 
.
.
.
#seriouslyhandmade #tracetogether #trace #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #case #qr #qrcode #crochetersofinstagram #handmade #crochettokencase #crochetaddict #names #supportlocal #handmadesg #supportsmallbusiness #sgcrafters #amigurumiaddict #covid19 #crochet  #tokengowhere #govtechsg #govtech #safeentry #safeentrysg #合力追踪",,11,0
