,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
3,3,"You may also be required, in full or in part, to repay the assistance which has been provided to you.",3/2/21,0.35,0.55,0.0,1.0,0.0,0.0,anger
4,4,You may also be liable to criminal prosecution.,3/2/21,-0.25,0.525,0.524,0.476,0.0,-0.765,fear
6,10,Actually they are only asking for truthful declarations.,3/2/21,0.16666666666666666,0.5333333333333333,0.0,0.7,0.3,0.4588,anger
9,18,Not wrong.,3/2/21,0.25,0.9,0.0,0.281,0.719,0.3724,anger
12,21,"He told an audience at Enterprise Singapore's (ESG) annual review that while the Government has responded swiftly and decisively to support firms and workers amid the pandemic, Singapore's resources are ultimately finite and must be used judiciously.",2/6/21,0.0,1.0,0.0,0.877,0.123,0.5994,anger
20,29,"This will be done through supporting the creation of new innovative start-ups, encouraging more private sector investment in deep-tech start-ups, boosting apprenticeship initiatives and tapping key global innovation nodes.",2/6/21,0.19805194805194803,0.5113636363636364,0.0,0.585,0.415,0.936,fear
48,64,"These processes have led to design improvements and generated savings of about $4 billion in total, or about 5 per cent of the capital costs, over the past five years.",27/2/21,-0.125,0.5,0.0,0.924,0.076,0.3182,fear
57,73,Always want to talk alot but if you observe very carefully of his contributions in all the ministries he had held.,28/2/21,-0.13,1.0,0.0,0.851,0.149,0.3269,anger
58,74,"He did practically nothing, did not contribute to anything significant at all.",28/2/21,0.375,0.875,0.0,0.859,0.141,0.2023,anger
68,91,"She said: ""When you consider that selected entities or individuals may have enjoyed outsized windfalls because of Covid-19, it may not be unreasonable to expect that they do more for the common good.""",26/2/21,0.35,0.575,0.0,0.907,0.093,0.5106,anger
72,95,ToughLuck wrote: Actually she brought up such controversial questions many time liao.,26/2/21,0.2625,0.5125,0.141,0.859,0.0,-0.2023,anger
74,97,"if you are familiar with economics, u will know not to assume all wealth taxes are progressive (look up burden of tax).",26/2/21,0.375,0.5,0.116,0.757,0.127,0.0772,fear
75,98,we should be looking to cut down on unnecessary expenditures that has no real positive impact to peoples' lives (tearing down and upgrading almost new estate facilities) instead and resuming activites shifting to normality and not stuck in stupid phase 3,26/2/21,-0.24175084175084174,0.5493265993265993,0.091,0.738,0.171,0.5881,anger
92,115,That will filter all the bad ppl from abusing it.,21/1/21,-0.6999999999999998,0.6666666666666666,0.448,0.552,0.0,-0.7579,fear
