,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
3,3,"You may also be required, in full or in part, to repay the assistance which has been provided to you.",3/2/21,0.35,0.55,0.0,1.0,0.0,0.0,anger
4,4,You may also be liable to criminal prosecution.,3/2/21,-0.25,0.525,0.524,0.476,0.0,-0.765,fear
6,10,Actually they are only asking for truthful declarations.,3/2/21,0.16666666666666666,0.5333333333333333,0.0,0.7,0.3,0.4588,anger
7,11,Nothing extraordinary.,3/2/21,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,neutral
9,18,Not wrong.,3/2/21,0.25,0.9,0.0,0.281,0.719,0.3724,anger
12,21,"He told an audience at Enterprise Singapore's (ESG) annual review that while the Government has responded swiftly and decisively to support firms and workers amid the pandemic, Singapore's resources are ultimately finite and must be used judiciously.",2/6/21,0.0,1.0,0.0,0.877,0.123,0.5994,anger
16,25,"It is even more important for us to create new opportunities for enterprises and job opportunities for our workers.""",2/6/21,0.34545454545454546,0.6515151515151515,0.0,0.615,0.385,0.8122,neutral
20,29,"This will be done through supporting the creation of new innovative start-ups, encouraging more private sector investment in deep-tech start-ups, boosting apprenticeship initiatives and tapping key global innovation nodes.",2/6/21,0.19805194805194803,0.5113636363636364,0.0,0.585,0.415,0.936,fear
21,30,There is also much potential for firms in the green economy.,2/6/21,-0.1,0.65,0.0,1.0,0.0,0.0,joy
23,32,"ESG chairman Peter Ong agreed, and said: ""In the midst of current volatilities, enterprises will need to be highly agile to pivot as the situation affords.",2/6/21,0.25,0.575,0.0,0.923,0.077,0.2732,joy
26,35,"""We encourage them to develop new business models and intellectual property, or innovative products and solutions.""",2/6/21,0.3121212121212121,0.6181818181818182,0.0,0.578,0.422,0.8591,neutral
28,37,"""While internationalisation activities slowed in 2020, we maintained a positive mo-mentum.""",2/6/21,0.22727272727272727,0.5454545454545454,0.0,0.714,0.286,0.5574,neutral
31,40,"""While travel restrictions remain, overseas expansion will always remain a key growth driver.""",2/6/21,0.0,1.0,0.0,0.809,0.191,0.3818,joy
35,44,I believe the amount we put there should be much higher than the Covid19 budget.,3/1/21,0.25,0.5,0.0,1.0,0.0,0.0,neutral
48,64,"These processes have led to design improvements and generated savings of about $4 billion in total, or about 5 per cent of the capital costs, over the past five years.",27/2/21,-0.125,0.5,0.0,0.924,0.076,0.3182,fear
