,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
6,10,Actually they are only asking for truthful declarations.,3/2/21,0.16666666666666666,0.5333333333333333,0.0,0.7,0.3,0.4588,anger
9,18,Not wrong.,3/2/21,0.25,0.9,0.0,0.281,0.719,0.3724,anger
12,21,"He told an audience at Enterprise Singapore's (ESG) annual review that while the Government has responded swiftly and decisively to support firms and workers amid the pandemic, Singapore's resources are ultimately finite and must be used judiciously.",2/6/21,0.0,1.0,0.0,0.877,0.123,0.5994,anger
13,22,"""This means that while we will continue to support our businesses, we will not be able to do so indiscriminately,"" he said.",2/6/21,0.5,0.625,0.0,0.886,0.114,0.4019,sadness
16,25,"It is even more important for us to create new opportunities for enterprises and job opportunities for our workers.""",2/6/21,0.34545454545454546,0.6515151515151515,0.0,0.615,0.385,0.8122,neutral
20,29,"This will be done through supporting the creation of new innovative start-ups, encouraging more private sector investment in deep-tech start-ups, boosting apprenticeship initiatives and tapping key global innovation nodes.",2/6/21,0.19805194805194803,0.5113636363636364,0.0,0.585,0.415,0.936,fear
23,32,"ESG chairman Peter Ong agreed, and said: ""In the midst of current volatilities, enterprises will need to be highly agile to pivot as the situation affords.",2/6/21,0.25,0.575,0.0,0.923,0.077,0.2732,joy
26,35,"""We encourage them to develop new business models and intellectual property, or innovative products and solutions.""",2/6/21,0.3121212121212121,0.6181818181818182,0.0,0.578,0.422,0.8591,neutral
28,37,"""While internationalisation activities slowed in 2020, we maintained a positive mo-mentum.""",2/6/21,0.22727272727272727,0.5454545454545454,0.0,0.714,0.286,0.5574,neutral
31,40,"""While travel restrictions remain, overseas expansion will always remain a key growth driver.""",2/6/21,0.0,1.0,0.0,0.809,0.191,0.3818,joy
48,64,"These processes have led to design improvements and generated savings of about $4 billion in total, or about 5 per cent of the capital costs, over the past five years.",27/2/21,-0.125,0.5,0.0,0.924,0.076,0.3182,fear
53,69,"Then write off after 2 years, and reason given was that Singaporeans prefer to use the free bicycle parking also available beside the MRT?",27/2/21,0.4,0.6000000000000001,0.0,0.87,0.13,0.5106,neutral
57,73,Always want to talk alot but if you observe very carefully of his contributions in all the ministries he had held.,28/2/21,-0.13,1.0,0.0,0.851,0.149,0.3269,anger
58,74,"He did practically nothing, did not contribute to anything significant at all.",28/2/21,0.375,0.875,0.0,0.859,0.141,0.2023,anger
68,91,"She said: ""When you consider that selected entities or individuals may have enjoyed outsized windfalls because of Covid-19, it may not be unreasonable to expect that they do more for the common good.""",26/2/21,0.35,0.575,0.0,0.907,0.093,0.5106,anger
70,93,https://www.straitstimes.com/singapo...op-vaccines-in Wow.,26/2/21,0.1,1.0,0.0,0.208,0.792,0.5859,neutral
75,98,we should be looking to cut down on unnecessary expenditures that has no real positive impact to peoples' lives (tearing down and upgrading almost new estate facilities) instead and resuming activites shifting to normality and not stuck in stupid phase 3,26/2/21,-0.24175084175084174,0.5493265993265993,0.091,0.738,0.171,0.5881,anger
88,111,Already nti loss 50% not bad enough?,21/1/21,0.17499999999999996,0.5833333333333333,0.227,0.493,0.281,0.1406,sadness
90,113,Like that being very difficult... sigh This grant is very strict with alot of criteria.,21/1/21,-0.225,0.65,0.0,0.653,0.347,0.6573,joy
91,114,Also good.,21/1/21,0.7,0.6000000000000001,0.0,0.256,0.744,0.4404,neutral
93,116,Luckily I took over 20+ courses and half of them are SF series courses.,21/1/21,0.08333333333333333,0.5,0.0,0.784,0.216,0.5106,neutral
98,121,"Honestly I have no idea what my parents are earning, nvr asked them before.",21/1/21,0.6,0.9,0.136,0.679,0.185,0.2023,neutral
100,123,Hardly surviving.,21/1/21,-0.2916666666666667,0.5416666666666666,0.0,0.344,0.656,0.228,neutral
112,135,"\U0001f611 MINISTRY OF SOCIAL AND FAMILY DEVELOPMENT COVID-19 RECOVERY GRANT APPLICATION FORM IMPORTANT INFORMATION BEFORE YOU START YOUR APPLICATION You are eligible to apply if you meet all of the conditions below, at the time of application.",21/1/21,0.21666666666666667,0.5333333333333333,0.0,0.859,0.141,0.6971,fear
127,158,Then hsk will come out say he ready many billions for the project base on 100 pct take up rate.,28/1/21,-0.03333333333333336,0.6666666666666666,0.0,0.884,0.116,0.3612,neutral
130,161,"Ok nvm give up liao, this grant is just a farce.",2/3/21,0.04999999999999999,0.5,0.183,0.474,0.343,0.3346,anger
133,164,"I hear the lj officer say all this over the phone I also dulan, making ppl jump so many hoops, come down to office sign forms which basically translates to ""I not lying"" when they can easily do simple checks of their own.",2/3/21,0.2361111111111111,0.5365079365079366,0.0,0.883,0.117,0.6341,sadness
138,169,all of them waiting to get promoted to higher pay and that's it.,20/2/21,0.25,0.5,0.092,0.724,0.184,0.34,joy
144,176,"If they're new hires, how come they can so easily find a job here?",18/2/21,0.28484848484848485,0.6439393939393939,0.0,0.794,0.206,0.4795,neutral
159,191,"Ya, amazing, right?",18/2/21,0.4428571428571429,0.7178571428571429,0.0,0.345,0.655,0.5859,neutral
196,245,Mr Heng said the move is not only to thank all Singaporeans for their sense of solidarity but to continue supporting heartland businesses and hawkers.,16/2/21,0.125,0.625,0.054,0.758,0.188,0.5987,sadness
197,246,"""Singaporeans' sense of unity and discipline in observing the precautionary measures such as safe distancing and mask wearing has enabled our progress so far in combating the pandemic.",16/2/21,0.19999999999999998,0.6666666666666666,0.0,0.82,0.18,0.6908,joy
198,247,The discipline and understanding of our local merchants and hawkers have also been important.,16/2/21,0.2,0.5,0.0,0.878,0.122,0.2023,joy
199,248,"However, they have been quite affected by the safety measures, especially during the circuit breaker,"" he noted.",16/2/21,0.0,1.0,0.096,0.762,0.142,0.228,anger
203,252,"About 950,000 households will also get additional utilities rebates of between $120 and $200 under the GST Voucher-U-Save Special Payment that will be credited in April and July.",16/2/21,0.35714285714285715,0.5714285714285714,0.0,0.833,0.167,0.6369,fear
207,256,"Mr Heng said the package comes on top of immediate relief and support measures introduced for families and workers over five Budgets in 2020, including the Solidarity Payment, Covid-19 Support Grant, Temporary Relief Fund and grocery vouchers for lower-income groups.",16/2/21,0.5,0.5,0.0,0.646,0.354,0.9442,anger
208,257,"""This Household Support Package provides some support to all families, with lower- to middle-income families receiving more,"" he said.",16/2/21,0.5,0.5,0.093,0.678,0.229,0.4939,joy
231,302,"""We need a good handle on these issues, as we are effectively spending from our reserves based on these assumptions,"" she said.",12/1/20,0.6499999999999999,0.7000000000000001,0.0,0.766,0.234,0.7003,joy
