,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
13,22,"""This means that while we will continue to support our businesses, we will not be able to do so indiscriminately,"" he said.",2/6/21,0.5,0.625,0.0,0.886,0.114,0.4019,sadness
88,111,Already nti loss 50% not bad enough?,21/1/21,0.17499999999999996,0.5833333333333333,0.227,0.493,0.281,0.1406,sadness
99,122,"My NTI loss is more then 75%, seems quite bad to me already.",21/1/21,-0.09999999999999992,0.5833333333333333,0.356,0.644,0.0,-0.7264,sadness
133,164,"I hear the lj officer say all this over the phone I also dulan, making ppl jump so many hoops, come down to office sign forms which basically translates to ""I not lying"" when they can easily do simple checks of their own.",2/3/21,0.2361111111111111,0.5365079365079366,0.0,0.883,0.117,0.6341,sadness
196,245,Mr Heng said the move is not only to thank all Singaporeans for their sense of solidarity but to continue supporting heartland businesses and hawkers.,16/2/21,0.125,0.625,0.054,0.758,0.188,0.5987,sadness
291,366,"""We continue to encourage Singaporeans to share their views and suggestions on issues relevant to Budget 2021,"" said MOF.",31/12/20,0.4,0.9,0.0,0.756,0.244,0.6705,sadness
334,410,"https://www.straitstimes.com/singapo...ity-for-budget SINGAPORE - Helping workers and businesses to adapt, innovate and grow will be a key priority for Budget 2021, said Deputy Prime Minister and Minister for Finance Heng Swee Keat on Friday (Feb 5).",2/5/21,0.0,1.0,0.0,0.852,0.148,0.6597,sadness
344,420,"He added that he will share more on helping workers and businesses to adapt, innovate and grow in his Budget statement on Feb 16.",2/5/21,0.5,0.5,0.0,0.727,0.273,0.7832,sadness
351,427,"""Together, we can emerge stronger as an economy; together, we can create better jobs for our workers.""",2/5/21,0.5,0.5,0.0,0.648,0.352,0.765,sadness
355,431,She said that Mr Heng will speak more on the sustainability agenda during the Budget debate.,2/5/21,0.5,0.5,0.0,1.0,0.0,0.0,sadness
400,483,"On most years, putting the budget together is serious business indeed.",15/2/21,0.08333333333333334,0.5833333333333333,0.115,0.885,0.0,-0.0772,sadness
436,527,"runforyourlife wrote: Not every charger, only at Tesla specific charger.",16/2/21,0.0,0.5625,0.0,1.0,0.0,0.0,sadness
456,587,Free 2 hrs to charge.,16/2/21,0.4,0.8,0.0,0.476,0.524,0.5106,sadness
480,614,The NOx emission is very very low specified in latest euro 6d requirement.,16/2/21,0.25,0.645,0.182,0.818,0.0,-0.3962,sadness
486,620,Extremely disappointed with the budget.,16/2/21,-0.75,0.75,0.459,0.541,0.0,-0.5256,sadness
488,622,Entire budget is basically preempting us that cost of living is going to rise exponentially.,16/2/21,0.0,0.625,0.0,1.0,0.0,0.0,sadness
