,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
5,5,"Weather so hot, sure got sweat one mah.",3/1/21,0.375,0.8694444444444445,0.0,0.731,0.269,0.3774,neutral
7,7,1 week I think the mask turn mouldy liao One Free Reusable Hi-Tech Mask For Each Singapore Resident.,3/1/21,0.4,0.8,0.0,0.82,0.18,0.5106,neutral
10,10,"We recommend using our mask sizing guide at https://stayprepared.sg/sizing-guide , to determine the right mask size.",3/1/21,0.2857142857142857,0.5357142857142857,0.0,0.848,0.152,0.3612,joy
14,14,Residents who wish to purchase additional masks should try on their free mask to check for fit and size before ordering more.,3/1/21,0.43333333333333335,0.5666666666666668,0.0,0.691,0.309,0.8176,fear
16,16,"Mouth touching, the air etc... wash weekly????",3/1/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
18,18,"IndigoEyes wrote: To be fair, I don't know why some Singaporeans who not travelling joined that group also.",18/1/21,0.7,0.9,0.0,0.874,0.126,0.3182,anger
21,21,"People like TS joined a group not meant for them, hear something they don't like then spread to edmw... abit lol.",18/1/21,0.8,0.7,0.0,0.685,0.315,0.7783,anger
34,34,what more you want?,3/1/21,0.5,0.5,0.0,0.655,0.345,0.1477,neutral
37,37,true... ppl who didn\x92t wear mask but didn\x92t fall sick should be better ones,24/2/21,0.04523809523809522,0.669047619047619,0.219,0.591,0.19,-0.1531,anger
38,38,"Even when COVID ends we should have the habit of wearing masks in the society, like Korea or Japan It protects yourself, if not others Then again we have higher mortals who tell us healthy no need mask",24/2/21,0.375,0.5,0.05,0.778,0.172,0.6486,neutral
44,44,I'll be glad to get rid of the cuck muzzle once they stop slapping fine on people for not wearing.,24/2/21,0.45833333333333337,0.75,0.092,0.708,0.2,0.3818,anger
48,48,Its been more than a year.,22/2/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
51,51,When more people take chances of re opening will be faster.,22/2/21,0.5,0.5,0.0,0.829,0.171,0.2648,fear
57,57,The side effect very mild one.,22/2/21,0.43333333333333335,0.65,0.0,1.0,0.0,0.0,joy
58,58,Now we are safe just waiting for you.,22/2/21,0.5,0.5,0.0,0.707,0.293,0.4404,neutral
60,60,"Hong: this is not aids, healthy still got to wear.",22/2/21,0.5,0.5,0.201,0.799,0.0,-0.3089,anger
61,61,Just that the chances of community spread is lesser.,22/2/21,0.0,0.5,0.0,0.816,0.184,0.2023,sadness
65,65,"I am sure Pan mama can work out special discounts for the both of you when we reopen.. Pan: agrees immediately, once reopen i give both of you special discount.",22/2/21,0.4047619047619048,0.6772486772486772,0.0,0.716,0.284,0.8176,joy
67,67,Chen smack the table and said ok lets take the vaccine!,22/2/21,0.625,0.5,0.0,0.801,0.199,0.3595,joy
69,69,Pan: thats right we will be waiting for you.,22/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,joy
72,97,no need so complicated.,22/2/21,-0.5,1.0,0.423,0.577,0.0,-0.296,neutral
78,103,Idiot nurse.,20/2/21,-0.8,0.8,0.767,0.233,0.0,-0.5106,neutral
88,114,"I had seen many moronic lowlives, including yp who take off their masks just to cough into the air.",20/2/21,0.5,0.5,0.298,0.702,0.0,-0.7783,fear
91,117,Have to tell them off nicely.,20/2/21,0.6,1.0,0.0,0.633,0.367,0.4404,anger
94,120,Its good hygiene.,21/2/21,0.7,0.6000000000000001,0.0,0.408,0.592,0.4404,neutral
96,124,"Yes, good hygience especially in mrt, eateries, bus, crowded places.",21/2/21,0.35,0.8,0.0,0.588,0.412,0.6808,neutral
99,127,It should be built into our culture especially  with so many foreigners around.,21/2/21,0.25,0.75,0.0,1.0,0.0,0.0,anger
100,128,Wasnt WHO informed around late Dec 2019 and they chose not to say anything to cover up for Winnie?,13/2/21,-0.3,0.6,0.0,1.0,0.0,0.0,neutral
102,130,lala24 wrote: Wasnt WHO informed around late Dec 2019 and they chose not to say anything to cover up for Winnie?,13/2/21,-0.3,0.6,0.0,1.0,0.0,0.0,neutral
104,132,"Empyrean Cobalt wrote: scary ting is dis covid unker still went to work every day for 2 weeks in the lead-up to CNY, despite already showing some symptoms these were his working hours: And look at the recent chinatown crowds: cluster will get bigger?",2/12/21,-0.16666666666666666,0.5833333333333334,0.071,0.929,0.0,-0.4939,anger
105,133,He wore facemask so should be OK,2/12/21,0.5,0.5,0.0,0.652,0.348,0.4934,anger
106,134,Joseph12 wrote: He wore facemask so should be OK he ish 66-yr old unker some unkers wear mask jin scary one wear liao almost like no wear anyhow pull down mask or wear mask crooked or mask below nose etc all the patterns jin scary one,2/12/21,-0.0925925925925926,0.5148148148148148,0.152,0.749,0.099,-0.4438,fear
111,139,"Totally agree, it is sinkie fault... Can not blame the gov In fact we should not wear mask too",2/10/21,0.0,0.75,0.0,0.779,0.221,0.5898,sadness
112,140,"Newsman wrote: If B117 spread to the community, then Govt must bear full responsibility.",2/10/21,0.35,0.55,0.0,1.0,0.0,0.0,fear
120,150,does it mean all of us need to wear ffp2 mask from now on?,2/10/21,-0.3125,0.6875,0.0,1.0,0.0,0.0,fear
129,171,"Based on our investigations so far, the cases are in the community, and there are no new cases in the dormitories.",2/11/21,0.015909090909090914,0.7272727272727273,0.099,0.901,0.0,-0.296,neutral
132,174,"In total, there are 12 new cases of COVID-19 infection in Singapore today.",2/11/21,0.06818181818181818,0.6022727272727273,0.0,1.0,0.0,0.0,sadness
134,176,"* * * We are still working through the details of the cases, and further updates will be shared via the MOH press release that will be issued tonight.",2/11/21,0.0,0.5,0.0,0.912,0.088,0.34,joy
137,179,It is important that everyone remain vigilant and adhere to the safe management measures.,2/11/21,0.45,0.75,0.0,0.632,0.368,0.6597,neutral
148,191,Spread fake title?,2/11/21,-0.5,1.0,0.608,0.392,0.0,-0.4767,neutral
150,193,"AFAIK, it is applicable to restaurants only .",2/11/21,0.0,1.0,0.0,1.0,0.0,0.0,neutral
151,194,own family member same blood why can't ?,2/11/21,0.3,0.5625,0.0,1.0,0.0,0.0,anger
153,196,One key recommendation highlights the added benefits of using a more snugly fitting mask or pairing a cloth mask with a surgical mask.,2/11/21,0.3333333333333333,0.6666666666666666,0.0,0.88,0.12,0.3818,joy
154,197,Experimental data collected by the agency suggests that either option should greatly reduce the risk of transmission between people.,2/11/21,0.45,0.575,0.116,0.884,0.0,-0.3321,fear
157,200,"Some masks are better at protecting the wearer from infection (N95 and KN95 masks in particular), but they all limit the outward transmission of potentially infectious droplets and aerosols to others.",2/11/21,0.2222222222222222,0.611111111111111,0.0,0.939,0.061,0.2382,sadness
159,202,"In the study, even cloth masks were more effective than no masks at limiting the spread of aerosol and droplet particles the size of those emitted by people with covid-19.",2/11/21,0.55,0.65,0.073,0.827,0.1,0.2333,fear
160,203,But surgical masks that were more snugly fit or that had a cloth mask worn on top of them were the most effective at protecting the user and others.,2/11/21,0.5,0.54,0.064,0.702,0.233,0.6976,fear
161,204,"In an experiment that simulated being exposed to an infectious person breathing nearby, having both parties wear better-fitted or double-layered masks reduced the level of exposure by more than 95 percent, Walensky said, compared to no mask at all.",2/11/21,0.5,0.5,0.083,0.853,0.064,0.0516,fear
166,209,"However it\x92s done, you can tell a mask is snug enough if you can feel warm air come through the front of the mask and the mask moves with every breath you take.",2/11/21,0.3,0.55,0.0,0.942,0.058,0.2263,fear
168,211,"However, it doesn\x92t recommend wearing two surgical masks at once, or combining an KN95 mask with any other mask (to be fair, these masks are already very good at protection when worn correctly).",2/11/21,0.49499999999999994,0.685,0.056,0.74,0.204,0.6997,anger
176,219,I don't think TS is wrong.,2/9/21,-0.5,0.9,0.437,0.563,0.0,-0.4767,anger
177,220,"Sorry if u really concerned she is not wearing mask and spreading covid, going up close to speak to her is incredibly irresponsible!",2/9/21,0.2333333333333333,0.7000000000000001,0.193,0.807,0.0,-0.5838,fear
181,224,Unless all the people in neighbourhood areas also exercise lah Then for food and drinks should apply it to food establishments only,2/9/21,0.0,1.0,0.0,1.0,0.0,0.0,anger
182,225,"wendychan202 wrote: soory hor, before you attack here are the facts i was wearing a mask i didnt go up close hence i had to speak louder to which she used the word barking since she more educated than me and since she beelive that talk no mask, no saliva will fall on anyone Mask is to protect others not to protect yourself.",2/9/21,0.5,0.5,0.112,0.81,0.078,-0.3182,anger
183,226,U are taking unnecessary risk and putting yourself and many others in harm\x92s way.,2/9/21,0.04999999999999999,0.7,0.149,0.851,0.0,-0.2732,anger
185,228,U should have just let the authorities who are better equipped handle this.,2/9/21,0.5,0.5,0.0,0.791,0.209,0.4404,anger
186,229,U are not just a potential mass murderer but an uneducated idiot as well!!!!,2/9/21,-0.5,0.9,0.457,0.543,0.0,-0.8562,anger
187,230,Right now u are basically on par with hitler!!,2/9/21,0.4464285714285714,0.5357142857142857,0.0,1.0,0.0,0.0,fear
192,235,she is higher educated SUPPOSEDLY... (degree buy from where?),2/10/21,0.25,0.5,0.0,1.0,0.0,0.0,neutral
195,238,"to spew essentially... if its so ok, then why arent you brave cowards walking around without masks?",2/10/21,0.43333333333333335,0.6,0.134,0.727,0.139,0.0233,neutral
196,239,"and say  FU  to PAP, it should actually be healthy dont wear mask...?",2/10/21,0.5,0.5,0.284,0.575,0.141,-0.5766,fear
198,241,elimmel wrote: Returned on 1 Feb but only tested on 7 Feb?,2/10/21,0.0,1.0,0.0,1.0,0.0,0.0,neutral
221,264,"They are doing the right thing now, let\u2019s not harp on it anymore.",4/5/20,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,anger
222,265,"It is true that both WHO and CDC has dished out only the sick should wear masks once day one, with the main reason being the conservation of masks for the healthcare workers.",4/5/20,-0.04940476190476192,0.7101190476190476,0.089,0.836,0.075,-0.128,anger
224,267,"They could have got this info from the China CDC easily, which they probably did but doubted the integrity of the info, which I do not understand why until today.",4/5/20,0.43333333333333335,0.8333333333333334,0.079,0.77,0.151,0.3506,sadness
225,268,"In such cases, it would have been better to be safe than sorry.",4/5/20,0.125,0.625,0.076,0.585,0.339,0.6705,sadness
226,269,Maybe they were complacent and thought they could contain this pandemic easily with or without masks.,4/5/20,0.43333333333333335,0.8333333333333334,0.073,0.791,0.136,0.2732,anger
227,270,"Nevertheless, it is admirable that they are finally doing the right thing despite loss of face.",4/5/20,0.14285714285714285,0.7678571428571428,0.0,0.716,0.284,0.6769,joy
229,272,It is not too late at this stage for Singapore and we definitely can overcome this as a population.,4/5/20,-0.15,0.55,0.0,0.863,0.137,0.4019,neutral
232,275,"They are doing the right thing now, let\x92s not harp on it anymore.",4/5/20,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,anger
236,286,Can easily prove that Singapore public health policy was based on fake news that the PAP Ministers and MOH spread.,4/5/20,-0.022222222222222216,0.6333333333333333,0.132,0.766,0.102,-0.1779,joy
