,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
0,0,"Flexamoria wrote: Haven't open to try, I took L, TS got big face?",3/9/21,0.0,0.3,0.0,1.0,0.0,0.0,joy
1,1,Haha dunno how to measure big face or not but see feedback say last free mask take L should take XL this time,3/9/21,0.15000000000000002,0.31666666666666665,0.0,0.756,0.244,0.7543,sadness
2,2,"FireEmblem wrote: Haha dunno how to measure big face or not but see feedback say last free mask take L should take XL this time Lidat ah, see how, if small.",3/9/21,0.07000000000000002,0.3333333333333333,0.0,0.813,0.187,0.7543,neutral
3,3,Gib moi brother,3/9/21,0.0,0.0,0.0,1.0,0.0,0.0,anger
4,4,Bubblebum wrote: How to tahan once a week.,3/1/21,0.0,0.0,0.0,1.0,0.0,0.0,joy
5,5,"Weather so hot, sure got sweat one mah.",3/1/21,0.375,0.8694444444444445,0.0,0.731,0.269,0.3774,neutral
6,6,1/2 day also cannot tahan.,3/1/21,0.0,0.0,0.0,1.0,0.0,0.0,sadness
7,7,1 week I think the mask turn mouldy liao One Free Reusable Hi-Tech Mask For Each Singapore Resident.,3/1/21,0.4,0.8,0.0,0.82,0.18,0.5106,neutral
8,8,"Mask May Be Used Daily Up to Seven Months with Weekly Washes https://www.temasek.com.sg/en/news-a...apore-resident Full-sized mask sizing templates will be published in The Straits Times and Lianhe Zaobao (27 February, 6 and 13 March) as well as Shin Min Daily News, Lianhe Wanbao, Berita Minggu and Tamil Murasu (28 February, 7 and 14 March).",3/1/21,0.0,0.0,0.0,0.96,0.04,0.2732,joy
9,9,These can be cut out as personal sizing guides.,3/1/21,0.0,0.3,0.208,0.792,0.0,-0.2732,anger
10,10,"We recommend using our mask sizing guide at https://stayprepared.sg/sizing-guide , to determine the right mask size.",3/1/21,0.2857142857142857,0.5357142857142857,0.0,0.848,0.152,0.3612,joy
11,11,Exchanges or refunds after collection are not allowed for hygiene reasons.,3/1/21,0.0,0.0,0.0,1.0,0.0,0.0,anger
12,12,"Pro tip 1: If you are between sizes, or at the upper end of one size, you may wish to get the next size up for a roomier fit.",3/1/21,0.13333333333333333,0.13333333333333333,0.0,0.833,0.167,0.6369,fear
13,13,Pro tip 2: The sizing of the MaskPlusTM Livinguard masks is different from other masks.,3/1/21,-0.0625,0.4875,0.0,1.0,0.0,0.0,fear
14,14,Residents who wish to purchase additional masks should try on their free mask to check for fit and size before ordering more.,3/1/21,0.43333333333333335,0.5666666666666668,0.0,0.691,0.309,0.8176,fear
15,15,I think damn gross esp those that take just right sizes.,3/1/21,0.14285714285714285,0.26785714285714285,0.42,0.58,0.0,-0.7003,fear
16,16,"Mouth touching, the air etc... wash weekly????",3/1/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
17,17,Ok la but must be grateful... hope everyone wearing the correct size n not dropping down or wash until it\u2019s useless n still wearing,3/1/21,-0.05185185185185185,0.32962962962962966,0.131,0.675,0.194,0.1901,fear
18,18,"IndigoEyes wrote: To be fair, I don't know why some Singaporeans who not travelling joined that group also.",18/1/21,0.7,0.9,0.0,0.874,0.126,0.3182,anger
19,19,"The imports are humans too, need a place to relieve themselves from any dissatisfactions.",18/1/21,0.0,0.0,0.177,0.671,0.152,-0.1027,joy
20,20,It's a closed group for themselves.,18/1/21,-0.1,0.1,0.0,1.0,0.0,0.0,neutral
21,21,"People like TS joined a group not meant for them, hear something they don't like then spread to edmw... abit lol.",18/1/21,0.8,0.7,0.0,0.685,0.315,0.7783,anger
22,22,"If going get triggered, then why join?",18/1/21,0.0,0.0,0.0,0.732,0.268,0.296,neutral
23,23,They came because our gov allow.,18/1/21,0.0,0.0,0.0,0.725,0.275,0.2263,anger
24,24,"If want to blame on something, should blame the policies, not the people.",18/1/21,0.0,0.0,0.298,0.621,0.081,-0.5423,anger
25,25,"They can choose not to come even if the restrictions were in place, but they did, so it tells you what their culture is like.",18/1/21,0.0,0.0,0.0,0.881,0.119,0.5023,anger
26,26,"Just like when govt impose rules for wearing mask n social distancing, we can choose not to wear even tho we know we will get fined or jailed.",18/1/21,0.03333333333333333,0.06666666666666667,0.169,0.752,0.078,-0.4404,fear
