,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
40,40,Super metal teeth.,3/3/21,0.3333333333333333,0.6666666666666666,0.0,0.339,0.661,0.5994,joy
57,86,"(btw there is also influenza test in the form of PCR, serology and of coz the good old viral culture) but govt say 8 months no flu eh lol",3/4/21,0.5333333333333333,0.5,0.173,0.669,0.158,-0.1406,joy
64,93,Shape : weird chin shaped like meant for people with underbite jaw.,3/2/21,-0.5,1.0,0.129,0.682,0.189,0.2023,joy
141,182,Its been more than a year.,22/2/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
150,191,The side effect very mild one.,22/2/21,0.43333333333333335,0.65,0.0,1.0,0.0,0.0,joy
158,199,"I am sure Pan mama can work out special discounts for the both of you when we reopen.. Pan: agrees immediately, once reopen i give both of you special discount.",22/2/21,0.4047619047619048,0.6772486772486772,0.0,0.716,0.284,0.8176,joy
160,201,Chen smack the table and said ok lets take the vaccine!,22/2/21,0.625,0.5,0.0,0.801,0.199,0.3595,joy
162,203,Pan: thats right we will be waiting for you.,22/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,joy
177,243,"As a Singaporean, please give yourself credit for being an obedient boi boi wear mask every day.",20/11/20,0.4,0.9,0.0,0.741,0.259,0.5994,joy
196,262,"They are also in touch with the customer in question ""to find out more about the facts of the situation"".",21/2/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
257,348,"With special rulings for those activists, woke ppl, US always better ppl.",21/2/21,0.4285714285714286,0.5357142857142857,0.0,0.641,0.359,0.6808,joy
267,360,"3M does good n95 masks and like I've said, go with those that has a lot of room in the mask for you to breathe.",20/2/21,0.7,0.6000000000000001,0.0,0.803,0.197,0.6597,joy
276,378,My worst disposable mask ever bought - Ultron Medical.,20/2/21,-0.5,0.5,0.369,0.631,0.0,-0.6249,joy
310,432,Otherwise this will unfortunately be the new norm for many years to come.,16/2/21,0.04545454545454545,0.6515151515151515,0.167,0.833,0.0,-0.34,joy
323,445,More WFH 2.,15/2/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
332,454,The gaiter/scarf that created a hoo-haa here is a good eg.,13/2/21,0.7,0.6000000000000001,0.0,0.588,0.412,0.5994,joy
344,474,Look at the more DIY type pretty pretty cloth masks (not talking about the temasek ones).,13/2/21,0.3333333333333333,0.8333333333333334,0.0,0.669,0.331,0.7862,joy
375,505,"She has also tested preliminarily positive for the B117 strain, and is pending further confirmatory tests.",2/10/21,0.11363636363636363,0.5227272727272727,0.064,0.745,0.191,0.5267,joy
387,520,I understand that all passengers must be suited up ie wear full protective gown with masks and gloves etc when check in.,2/10/21,0.35,0.55,0.0,1.0,0.0,0.0,joy
402,535,"* * * We are still working through the details of the cases, and further updates will be shared via the MOH press release that will be issued tonight.",2/11/21,0.0,0.5,0.0,0.912,0.088,0.34,joy
449,589,Sent from From Power of LOVE using GAGT,2/9/21,0.5,0.6,0.0,0.587,0.413,0.7125,joy
451,591,Sent from From Power of LOVE using GAGT at least 20-30 mins of spewing from phone talk is ok?,2/9/21,0.2333333333333333,0.5,0.0,0.704,0.296,0.7983,joy
458,602,Many are residents from the Reflections by the Bay (ie non locals).,2/9/21,0.5,0.5,0.0,1.0,0.0,0.0,joy
497,644,Be the obedient sinkie that the white would be happy about.,2/10/21,0.4000000000000001,0.6333333333333333,0.0,0.73,0.27,0.5719,joy
502,650,i think meeting covid in sg is as good as striking lottery.,2/10/21,0.6,0.8,0.0,0.775,0.225,0.4404,joy
590,761,"The airline industry and experts keep emphasizing/promoting that they have healthy airflow in the cabin, airflow that is introduced from the ceiling and sucked into inlets located at the side bottom panels.",2/10/21,0.5,0.5,0.084,0.84,0.076,-0.0772,joy
593,764,"This also means that even out in the open, the transmission risk is only reduced, and that's with universal masking.",2/10/21,0.0,0.5,0.1,0.9,0.0,-0.2732,joy
611,790,"Airport so dirty with so many foreigners virus keep coming here 2 days ago the case of the airport security tag wearer already clearly demonstrated that even with PPE (albeit the lowest level, surgical mask+gloves+face shield), you still can be infected even with very short interaction time with infected pax (wearing masks as well) at the airport.",2/9/21,1.0408340855860843e-17,0.5183333333333333,0.181,0.743,0.076,-0.796,joy
618,797,"Even with good cloth masks, ensure that there is 1m distancing.",2/9/21,0.7,0.6000000000000001,0.0,0.621,0.379,0.6705,joy
668,869,kuti-kuti wrote: Common to see these elderly doing all kinds of sickening stuff.,2/7/21,-0.6,0.75,0.221,0.779,0.0,-0.5267,joy
720,951,"Nevertheless, it is admirable that they are finally doing the right thing despite loss of face.",4/5/20,0.14285714285714285,0.7678571428571428,0.0,0.716,0.284,0.6769,joy
734,972,Can easily prove that Singapore public health policy was based on fake news that the PAP Ministers and MOH spread.,4/5/20,-0.022222222222222216,0.6333333333333333,0.132,0.766,0.102,-0.1779,joy
738,976,"https://www.straitstimes.com/singapo...t-is-over-says Professor Tan Chorh Chuan told The Straits Times: ""Singapore's approach of actively looking for new cases and quarantining close contacts has been effective in ring-fencing clusters of infection so far, and we have not seen evidence of community spread.",4/5/20,0.17575757575757575,0.7136363636363636,0.0,0.876,0.124,0.6597,joy
763,1002,"Masks vs respirators\x97key differences In its newly published infection prevention and control recommendations for COVID-19, the US Centers for Disease Control and Prevention (CDC) recommends the use of N95 respirators in a healthcare setting with the suspected novel coronavirus, but the World Health Organization (WHO) has recommended surgical masks for general patient care and respirators for aerosol-generating procedures only.",4/5/20,0.062121212121212126,0.6515151515151515,0.023,0.827,0.15,0.7992,joy
770,1009,"A surgical mask does a good job of trapping large droplets, and some aerosol transmission, he said.",4/5/20,0.45714285714285713,0.5142857142857143,0.0,0.828,0.172,0.4404,joy
782,1021,"He said there has been scientific evidence of aerosol transmission of MERS-CoV (Middle East respiratory syndrome coronavirus), so it is likely possible for this novel coronavirus, as well.",4/5/20,0.0,0.6666666666666666,0.0,0.846,0.154,0.5754,joy
793,1032,He said that likely contributes to the WHO's surgical mask recommendation.,4/5/20,0.0,1.0,0.0,1.0,0.0,0.0,joy
849,1131,We had millions of masks stocks.so govt were able to give out .one than 5.5 mil masks to households and front lines.,4/5/20,0.5,0.625,0.0,1.0,0.0,0.0,joy
895,1192,But I dun see the reason for calling them names .like scums..xia suay etc... Let's have some respect for our institution and govt Get ur facts right.,4/5/20,0.2857142857142857,0.5357142857142857,0.0,0.811,0.189,0.6808,joy
897,1194,70percentile wrote: Everyone received a masks right?,4/5/20,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,joy
912,1217,"Surely, you must know that people at the top need to manage expectation.",4/5/20,0.5,0.6944444444444444,0.0,0.701,0.299,0.5719,joy
918,1223,"Thank u brother U answer better than me VEF888 wrote: Surely, you must know that people at the top need to manage expectation.",4/5/20,0.5,0.6296296296296297,0.0,0.627,0.373,0.8442,joy
919,1229,"VEF888 wrote: Surely, you must know that people at the top need to manage expectation.",4/5/20,0.5,0.6944444444444444,0.0,0.734,0.266,0.5719,joy
962,1311,You mean it takes a genius to think of that first before they release the stocks?,4/5/20,-0.03125,0.5104166666666666,0.0,1.0,0.0,0.0,joy
1088,1503,Iamdone wrote: CCS risk his precious masks again in giving out to frontline officer.,4/6/20,0.5,1.0,0.109,0.573,0.318,0.6124,joy
1132,1553,"As long as the decisions made are for the greater good and with good intentions, I don\x92t see a problem.",4/6/20,0.46249999999999997,0.525,0.108,0.56,0.332,0.6808,joy
1148,1570,"70percentile wrote: In the light of new evidence, advisory can be changed.. as we understand more of the wuhan virus ..we need to adjust our measures and advisory..",4/7/20,0.34545454545454546,0.5515151515151515,0.0,1.0,0.0,0.0,joy
1159,1581,Its only in late February..bcos TW and Korea has massive local manufacturing base..they were able to start replenish mask supply.. last heard Taiwan was 3 masks pax a week..right?,4/7/20,0.03333333333333333,0.5486111111111112,0.0,1.0,0.0,0.0,joy
