,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
1,1,broomkiss wrote: Wait a minute.... potential sagat here..,21/2/21,0.0,1.0,0.0,1.0,0.0,0.0,neutral
3,3,The 8 guests... how many households there in the photo?,21/2/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
6,6,"Additional measures currently in place include a cap of eight unique visitors per household each day, as well as stepped up enforcement checks on business operators.",20/2/21,0.1875,0.7,0.0,0.92,0.08,0.2732,neutral
13,13,"This is right, what happened will happen eventually given their chiongster lifestyle.",16/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,neutral
38,38,No need SD ambassadors Yea good idea,23/1/21,0.7,0.6000000000000001,0.218,0.495,0.287,0.1779,neutral
39,40,No need SD ambassadors Ok then who is going to investigate?,23/1/21,0.5,0.5,0.164,0.672,0.164,0.0,neutral
78,93,So many buildings in Singapore.,23/1/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
82,97,So can more than 8?,23/1/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
85,111,so enforcement officer has the right to enter hdb flat/condo/terrace/GCB?,23/1/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,neutral
116,142,What's so difficult?,23/1/21,-0.5,1.0,0.583,0.417,0.0,-0.4201,neutral
139,165,So he just open a little gap and claim compassion.,23/1/21,-0.09375,0.5,0.0,0.727,0.273,0.4588,neutral
142,174,Exactly Advised not to more than 2 households Say like no say Rules liked no rules,23/1/21,0.45,0.5166666666666667,0.213,0.531,0.256,0.2263,neutral
150,187,How many police officers they got?,23/1/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
151,188,Even activate all PNSman also not enough rah.,23/1/21,0.0,0.5,0.0,1.0,0.0,0.0,neutral
155,192,Those officers sure work until sibei tired themselves.,23/1/21,0.04999999999999999,0.7944444444444444,0.259,0.536,0.205,-0.1531,neutral
163,201,Just wondering how many will be made running around like a fool.,23/1/21,0.5,0.5,0.201,0.625,0.174,-0.1027,neutral
178,228,Stay condo better don\x92t yaya papaya ...,24/1/21,0.5,0.5,0.0,0.674,0.326,0.4404,neutral
230,287,"WhatsApp so common now, can easily arrange ba..",23/1/21,0.06666666666666668,0.6666666666666667,0.0,0.745,0.255,0.34,neutral
273,338,"So those who wanna gamble, I can only say, good luck!",28/1/21,0.4375,0.8,0.0,0.564,0.436,0.7345,neutral
286,356,"There is only one food centre, East Coast Lagoon Food Village, and it is very crowded throughout the day.",11/2/21,0.1,0.65,0.0,1.0,0.0,0.0,neutral
299,369,Worst case scenario if we open ourselves up to COVID is it will spread uncontrollably.,11/2/21,-0.5,0.75,0.337,0.663,0.0,-0.765,neutral
334,409,Talk is easy.,22/1/21,0.43333333333333335,0.8333333333333334,0.0,0.408,0.592,0.4404,neutral
336,411,But generally sinkies are sheeps and will follow law.,22/1/21,0.05000000000000002,0.5,0.0,1.0,0.0,0.0,neutral
346,421,What is different?,22/1/21,0.0,0.6,0.0,1.0,0.0,0.0,neutral
351,426,how are they going to monitor a particular household receives only 8 visitors/24-hour time frame?,22/1/21,0.08333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,neutral
352,427,How are you going to track the household receive more than 8 unique visitors a day ?,22/1/21,0.4375,0.75,0.0,1.0,0.0,0.0,neutral
353,428,How are you going to know the person has visited more than 2 household a day ?,22/1/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
357,432,"What is ""possible""?",22/1/21,0.0,1.0,0.0,1.0,0.0,0.0,neutral
365,440,the k9 cluster is a good example.,22/1/21,0.7,0.6000000000000001,0.0,0.633,0.367,0.4404,neutral
367,442,"kuti-kuti wrote: gov keep letting foreigners in, especially those from high infectious countries, so what did gov do?",22/1/21,0.08,0.77,0.0,1.0,0.0,0.0,neutral
382,458,Retail and F&B already collapsed so many,22/1/21,0.5,0.5,0.259,0.741,0.0,-0.2732,neutral
402,484,Pknkie and gang already taken thd jab right?,22/1/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,neutral
