,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
36,45,"What if the COVID vaccines last 1 year too, or lasts only 3 months or 6 months?",3/8/21,0.0,0.5333333333333333,0.0,1.0,0.0,0.0,neutral
37,46,"So far, I don't see anyone planning for that.",3/8/21,0.1,1.0,0.0,1.0,0.0,0.0,neutral
53,79,So think got do no do doesn't seems much different.,3/8/21,0.0,0.6,0.196,0.804,0.0,-0.296,neutral
55,81,"Anyway, quite curious since now that many places already began vaccination.",3/8/21,0.2,0.75,0.0,0.794,0.206,0.3804,neutral
65,101,"Of course, its not that effective.",18/1/21,0.6,0.8,0.338,0.662,0.0,-0.3724,neutral
67,103,"Btw, this sinovac vaccine is pretty much any country can make one.",18/1/21,0.225,0.6,0.0,0.775,0.225,0.4939,neutral
72,108,"While it is true that the manufacturing process is relatively easy to understand, it involves massive amount of raw materials resources such as eggs which also carries potential infections risks.",18/1/21,0.0920940170940171,0.7408119658119658,0.06,0.776,0.164,0.5574,neutral
73,109,It is safer if Sinovac release its efficacy data and let experts examine which they refuse to so far.,18/1/21,0.1,1.0,0.1,0.773,0.127,0.1531,neutral
75,118,Neither safe nor effective.,18/1/21,0.55,0.65,0.367,0.305,0.328,-0.066,neutral
85,131,You can go google how many vaccines is made using this method....,18/1/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
88,134,"If we want, we can also make our own vaccines using this method, don't need buy.",18/1/21,0.6,1.0,0.0,0.92,0.08,0.0772,neutral
120,198,It is up to sinovac to prove that it's vaccine is safe.,18/1/21,0.5,0.5,0.0,0.791,0.209,0.4404,neutral
123,209,Then why Xi imports Prifer when own country has Sinovac?,18/1/21,0.6,1.0,0.0,1.0,0.0,0.0,neutral
124,210,Dun tell me crap like not enough... u know how many manufacture lines in china?,18/1/21,-0.10000000000000002,0.6,0.152,0.702,0.146,-0.0258,neutral
127,218,50-60% efficacy with almost no side effect risk is good for them.,18/1/21,0.7,0.6000000000000001,0.252,0.566,0.182,-0.0276,neutral
136,227,Do you need a doctor certifications to indicate you are effectively immune?,18/1/21,0.6,0.8,0.0,0.638,0.362,0.6249,neutral
