,id,date,time,tweet,hashtags,num_words
1,1364612895993028608,2021-02-25,00:27:22,New COVID-19 cluster formed after Indonesian maid working for SIA cabin crew member tests positive  https://t.co/jlI0TsONY8,[],15
2,1364580374643286022,2021-02-24,22:18:08,New COVID-19 cluster formed after Indonesian maid working for SIA cabin crew member tests positive  https://t.co/0s0r49zZaN  https://t.co/vns3zJ4eVK,[],15
3,1364579936636334086,2021-02-24,22:16:24,"Singapore's sole #COVID19 community case is an Indonesian maid employed by the SIA cabin crew member and her husband who tested positive, forming a new cluster  https://t.co/WMnnnKmUUg  https://t.co/ACAPCgucyS",['covid19'],24
4,1364531456626753538,2021-02-24,19:03:45,"No, not yet....Umno will rise high once its members finally decide to ditch the Umno Cluster Mahkamah leaders and supporters.",[],21
5,1364516688100810756,2021-02-24,18:05:04,"How many slices of bak kwa did you have this CNY? Admit it, we're all guilty of consuming our favourite barbeque meat jerky so this week, #TEAMNAMIC is here to share with you a little interesting fact about meat!   #AdditiveManufacturing #3Dprinting #Sustainability #Foodtech  https://t.co/ComiZfafTz","['teamnamic', 'additivemanufacturing', '3dprinting', 'sustainability', 'foodtech']",37
6,1364137989610340352,2021-02-23,17:00:15,NAMIC has launched an e-job portal specifically for #AdditiveManufacturing companies and job seekers! Come join our growing pool of AM companies and talents as we are providing complimentary access to our portal for the whole of 2021!   https://t.co/Qr0NMTVmYF  #3Dprinting #SGJobs  https://t.co/WFgC9o1Ku8,"['additivemanufacturing', '3dprinting', 'sgjobs']",34
7,1364131279197806593,2021-02-23,16:33:35,New Zealand COVID-19 cluster grows with 3 new cases  https://t.co/HM6K7o46km  https://t.co/NcayA3EARm,[],8
8,1364126358272573441,2021-02-23,16:14:02,New Zealand coronavirus cluster grows with three new cases  https://t.co/YjrgIQVQlG,[],9
9,1364122963071492096,2021-02-23,16:00:33,New Zealand Covid-19 cluster grows with 3 new cases  https://t.co/JpGaMsGb1Z  https://t.co/pwBSckPCoy,[],8
10,1364105680811028484,2021-02-23,14:51:52,It’s ‘21 &amp; a lot of folks are getting surprised by this so let me say it out loud - “#SSRS is not a cluster-aware service.” #sqlserver #reportingservices,"['ssrs', 'sqlserver', 'reportingservices']",22
11,1364104154151456774,2021-02-23,14:45:48,The new cluster in #Cambodia has been linked to four Chinese nationals who allegedly bribed two security guards to leave hotel quarantine before finishing the mandated 14-day stay.   Corruption threatens Cambodia's COVID success as cluster spreads  https://t.co/CMa0PJwNUE,['cambodia'],34
12,1364100116714463236,2021-02-23,14:29:46,"#SGDengueUpdate 150 cases were reported in the week ending 20 Feb, and there are 30 active clusters as of 22 Feb 2021. Do the #MozzieWipeout at least once a week, to protect yourself &amp; your family. More at  https://t.co/FBVpR46gWo","['sgdengueupdate', 'mozziewipeout']",30
13,1364076098082926592,2021-02-23,12:54:19,Today’s Flower:Tequila Weed Reaching for the sky. Agave tequilana. Yellow flowers are tubular and arranged in a branched cluster. The inflorescence stalk (known as a mast) reaches up to 5 m tall. Plants flower at about 5 years of age &amp; then die.#twitterflowers  https://t.co/NMlCytiYfk,['twitterflowers'],42
14,1363903095000862722,2021-02-23,01:26:52,Migrate a Hybrid vSAN Cluster to an All-Flash vSAN Cluster  https://t.co/UUw1VyrAVu,[],9
15,1363789143411744768,2021-02-22,17:54:04,"India has just approved 8 more toy manufacturing clusters, with two to be built in #TamilNadu &amp; #UttarPradesh! 👏  Join our webinar (tomorrow!) to discover the exciting opportunities for the toy industry in these 2 regions &amp; in #Gujarat! Register here ➡️  https://t.co/KE3AXD9bby  https://t.co/wblXR4j9Jc","['tamilnadu', 'uttarpradesh', 'gujarat']",33
17,1363775606408814592,2021-02-22,17:00:16,"@RedefineMeat receives $29m in series A funding - aims to expand its meat portfolio, support its commercial launch and international growth throughout 2021.   Catch up on their progress:  https://t.co/jVMV4qcRi4  #AdditiveManufacturing #Foodtech #3Dprinting  https://t.co/z8dhBjFXk7","['additivemanufacturing', 'foodtech', '3dprinting']",24
19,1363364838240489474,2021-02-21,13:48:02,Improving Hand Hygiene Compliance in Nursing Homes: Protocol for a Cluster Randomized Controlled Trial (HANDSOME Study)  https://t.co/6wUPtbjcy2,[],16
23,1362995509368004610,2021-02-20,13:20:27,Today’s Flower: Star Cluster 472 Movements in the Light Pentas lanceolata. Small red salver six-pointed star-shaped limb airy thin corolla tube; borne in terminal clusters.  (Spiritual Significance of Flowers by “The Mother”) #twitterflowers  https://t.co/RRGrTKUVVh,['twitterflowers'],30
24,1362961850594328580,2021-02-20,11:06:42,"@azilanazri Dont worry, all they need to do is reduce the number of swab test done daily, and poof, no more new clusters and new number cases also will be reducing.  A brilliant solution by our beloved kayangan appointed ministers.",[],39
25,1362924411821645824,2021-02-20,08:37:56,Clusters in a Cloud | Dell Technologies  https://t.co/dToh3xsb6v #Iwork4Dell  https://t.co/NxSW3sVYYH,['iwork4dell'],6
27,1362756418953043968,2021-02-19,21:30:23,@MelMitchell1 Initial forays into spiking neural networks. Pretty sure the limiting factor is hardware rn. A child doesn't need the whole corpus of the internet and multiple computing clusters to learn and reason about things.,[],33
28,1362707031795380225,2021-02-19,18:14:08,Cluster of humans (@ Asap &amp; Co in Singapore)  https://t.co/CBmAtjuOl0,[],7
29,1362612895708811267,2021-02-19,12:00:05,"In collaboration with @SgInnovate, NAMIC is co-organising a webinar on the Future of #AdditiveManufacturing. AM is expected disrupt markets and drive #Industry40 transformation so come catch our speakers discuss this riveting topic!  Register now:  https://t.co/oDsdX8RLse  https://t.co/cPCL9PpC07","['additivemanufacturing', 'industry40']",30
30,1362552658784051200,2021-02-19,08:00:43,"Thailand #construction firm SCG utilizes #3Dprinting with recycled concrete waste to build co-working space designed with parametric modelling. Benefits include reduced construction time, manpower and waste.   https://t.co/z2V0G7fSfp  #AdditiveManufacturing #Sustainability  https://t.co/m9mviHUfhk","['construction', '3dprinting', 'additivemanufacturing', 'sustainability']",23
32,1362504545901838336,2021-02-19,04:49:32,Effects of Biannual Azithromycin Mass Drug Administration on Malaria in Malawian Children: A Cluster-Randomized Trial  https://t.co/fr8l6F8XJy,[],14
33,1362397087053139969,2021-02-18,21:42:32,"For organizations who wish to use the OpenShift platform but do not want to spend time on designing, deploying and maintaining OpenShift clusters, Red Hat is offering Hosted OpenShift solutions on public cloud platforms.   https://t.co/c07wNCtLkp    #kubernetes #devops #openshift","['kubernetes', 'devops', 'openshift']",34
34,1362394153108316164,2021-02-18,21:30:52,"@bosicle17 @markmcdonagh01 @DaveCarter1000 @ATTay38411784 @fact_covid @ElectionMapsUK @SavantaComRes Interestingly, uk govt stopped reporting positive seasobal flu cases years ago. They just reported major clusters.  So i dont see how they can use positive cases and relate that to a level of normality tbh. They can certiably yse hospitalisation and deaths data though",[],44
35,1362394119721476101,2021-02-18,21:30:44,"Checking in and out using #SafeEntry wherever we go has already become a common practice for us. SafeEntry data helps to identify #COVID-19 clusters, and helps people recall their activities during contact tracing. Check out how it's keeping our community safe! #GovTechSG  https://t.co/GdsdodYYW5","['safeentry', 'covid', 'govtechsg']",38
36,1362367643483660292,2021-02-18,19:45:32,A day with 17 new clusters still with 2K ++ and now look like again to economy again and later restart again the MCO 3.0! What a strategy,[],24
37,1362337739421573123,2021-02-18,17:46:42,I will laugh if a cluster forms from this.,[],9
38,1362307201642024961,2021-02-18,15:45:21,"@kubernetesio is there any tool that can list/identify down the dependencies of an app running in k8s - like connections to databases, caches, another app in the cluster? #kubernetes",['kubernetes'],26
39,1362232273089650692,2021-02-18,10:47:37,"Today’s Flower:Peregrina Catharsis. Jatropha panduraefolia Small red Color flowers measuring about 2.5 cm across, usually in clusters. #twitterflowers (Spiritual Significance of Flowers by “The Mother”)  https://t.co/VWstAilUgK",['twitterflowers'],25
40,1362207993291497474,2021-02-18,09:11:08,"Amazon Redshift Query Editor now supports clusters with enhanced VPC routing, longer query run times, and all node types:  https://t.co/svJgK0NCOS",[],19
41,1362195550372720641,2021-02-18,08:21:42,A haplotype of human geneticists A tube of Drosophila geneticists A rosette of stem cell biologists A cluster of computational biologists A leaven of home bakers,[],26
43,1361244468767121410,2021-02-15,17:22:26,"#Businesscard  Brand New your Dream Luxury house 🏘 at overall JB area.. #brandedproperty #premiumproperty #LuxuriousProperty  Kindly contact me for show house viewing,  https://t.co/m7yMdxjPCU HD 1080P 4K QUALITY VIDEO LINK FOR CLUSTER HOUSE  https://t.co/Vr5scQlKFh  https://t.co/HOK65q0VXB","['businesscard', 'brandedproperty', 'premiumproperty', 'luxuriousproperty']",24
44,1361038044514582528,2021-02-15,03:42:11,"Brand New your Dream Luxury house 🏘 at overall JB area.. #brandedproperty #premiumproperty #LuxuriousProperty  Kindly contact me for show house viewing,  https://t.co/m7yMdxjPCU HD 1080P 4K QUALITY VIDEO LINK FOR CLUSTER HOUSE.  https://t.co/Vr5scQlKFh  https://t.co/2RI76QvBQ4","['brandedproperty', 'premiumproperty', 'luxuriousproperty']",24
47,1358217555572187145,2021-02-07,08:54:34,@AdvaniRashmiMD YES! In fact in Asia we found that constipation with upper abdominal pain is one of the commonest symptom clusters. See factor F7 in this ROME-Asian study.  https://t.co/fZXhWUMkjR,[],25
49,1353201490333028353,2021-01-24,12:42:31,@YeoYeHang @mrbrown Where got valid complaint points? Did the parents foresee the security measures taken as well with this pandemic? Waited more than an hour is better than creating another covid cluster right?,[],31
51,1352634725546901504,2021-01-22,23:10:23,It’s been an honour to manage the HSO for all the staffs and patients plus being an IO for the Jalan Skudai Cluster.,[],24
52,1352198704241864704,2021-01-21,18:17:48,I will wait for 1 hour before leaving the house best not to be on the train at rush hour now that we have clusters,[],24
53,1351852024481017859,2021-01-20,19:20:13,@chenchenzh Scores of events are being cancelled. Total confirmed cases from the Taoyuan General Hospital cluster now at ten.  https://t.co/OXC3yY3DfY,[],18
54,1351603912537640961,2021-01-20,02:54:18,Singapore’s very own South Korea-esque superspreader church clusters? 🌚    https://t.co/PHLjpABiu9,[],8
57,1351342367811387394,2021-01-19,09:35:01,Cluster of 8 #RaspberryPi CM4 on DIN Rail for industrial systems   https://t.co/fhUpnYUM6w,['raspberrypi'],8
58,1348819559873007616,2021-01-12,10:30:17,"Capital invasion , like all viral issue, will pass.   Now is just one big cluster fuck.",[],15
59,1347925019423363074,2021-01-09,23:15:42,people gathering in clusters outside malls smoking away and talking loudly with the mask down really nuisance behaving like it's the end of 2030,[],22
60,1347185143224496131,2021-01-07,22:15:42,"Heard got few Punjabi clusters. Hope our elders can make wise decisions in doing the right thing to prevent the spread by adhering to SOPs and limiting programs. A lot of our elders stay with us, we wouldn’t want any harm cmg their way.",[],45
62,1345285449741336576,2021-01-02,16:27:00,"Given a small footprint, a cluster of 4 “pills” either efficiently serves a single consumer or a max of 5 consumers. The layout also encourages new opportunities for brands to come together as “pills” and introduce collaborative B2B services that are sustainable for B2C. ;)  https://t.co/aTM1sr5kVs",[],40
63,1344782936634081281,2021-01-01,07:10:11,Ughhh covid-19 clusters and shitzz,[],5
64,1342787668153798657,2020-12-26,19:01:42,Macam mana johor new cluster non stop ni ??,[],8
66,1339728737269501952,2020-12-18,08:26:36,"My managing agent negotiated for a higher salary package with the new property mgt co., but deal didn't go thru', and will be redeployed to Prisons Cluster 'B' on 1-Jan-21 to continue his tenure. Unforgettable lesson and a terrible punishment.",[],39
67,1339545175333416960,2020-12-17,20:17:12,Went here today for cluster “pow-wow”. Love the place! 🤗 #mawesome #kakalinkaumemanggitu 👍🏼 @ Soek Seng 1954  https://t.co/UCQheSegBn,"['mawesome', 'kakalinkaumemanggitu']",10
69,1334443814698643460,2020-12-03,18:26:12,🎊 🎉  ✍️ Signed!The 🇪🇺🇸🇬 Cluster Cooperation arrangement will open new opportunities for #EU &amp; #Singapore companies and #SMEs! Well done @EU_Growth @MTI_Sg #enterprisesg @EUinSingapore  Covid-19 🦠will not stop our determination to move forward!🤝👊#EUSFTA @Clusters_EU  https://t.co/iK2wlEGJdH,"['eu', 'singapore', 'smes', 'enterprisesg', 'eusfta']",23
70,1333407849079205894,2020-11-30,21:49:39,@miekg That’s how my k3s cluster at home broke. Some cert error 🤦‍♂️,[],11
71,1331975634285862918,2020-11-26,22:58:32,"This is almost like Ruchi Soya, but here the treasury owns everything. What a cluster***k.",[],16
72,1331419447039410178,2020-11-25,10:08:27,"@rajaseelan @techbeatly You can also create VMs separately (on GCP, AWS etc) and configure ssh access from main pc (where you run Ansible). That will be the actual method when you build production clusters 😊",[],32
73,1331402100539056128,2020-11-25,08:59:31,"""With the closure of this cluster, there are no active COVID-19 clusters for the first time since Feb 3, 2020,"" said MOH on Tuesday.",[],22
76,1329396408009564160,2020-11-19,20:09:37,"Just posted a photo @ Cluster Puri Legenda, BatamCentre  https://t.co/ijW4sIfh7K",[],8
79,1323935835348107264,2020-11-04,18:31:15,@selinawangtv ok. Now I’m drinking. Would recommend the same to you. What a cluster f**k in America.,[],18
80,1322604062802538497,2020-11-01,02:19:16,"@gerardwong71 I agree! It’s not even rocket science.. The structure is already in place. Just attach a few MOE school clusters (there are 28) to each club. This can also help to build up support in the community, starting from the kids. Win-win!",[],41
81,1322525742211698689,2020-10-31,21:08:02,"Just posted a photo @ Cluster Puri Legenda, BatamCentre  https://t.co/qEYfdU4eqT",[],8
82,1321785209277218816,2020-10-29,20:05:26,@mohd_affi One up one down but the new cluster like woww 5 terus,[],11
83,1321648455870083073,2020-10-29,11:02:01,@1997_920 Female scattered eggs at random around a cluster of rocks I placed near the front of the tank. Male was seen hovering around the area but within a few hours my Amaralia catfish seemed to have cleared all of it.,[],40
84,1321396407773712384,2020-10-28,18:20:28,kenapa everyday ada je new clusters??? the root of the problem is still out there ke?? pelik la,[],18
87,1312638947076444161,2020-10-04,14:21:27,@ibuildthecloud @SvenDowideit k8s in my puny earth mind makes sense with clusters. Would you have clusters on the edge? 😳,[],16
88,1311979526407114753,2020-10-02,18:41:09,"I have more than 5 active cluster nearby my house: 5 mins-30 mins from home. I even went to Pasar Stutong the day before the cluster active. Nasib prgi tengah hari sbb cari succulents. Then even nak dating we cannot go, Samarahan-Kuching lain daerah 😂",[],41
90,1311279939593728002,2020-09-30,20:21:14,Imagine surviving a Cluster Strike just to get Nuked in the end  🙏🏻  #RIP #CoDMobile @PlayCODMobile @CODM_murdablast,"['rip', 'codmobile']",12
91,1311253558407249920,2020-09-30,18:36:24,Racist Trump.Americans have never felt more embarrassed for the US on the world stage. What a cluster fuck that debate was. The President of the America behaving as he did with the debate. Never has any President done this. America is down the tubes with this leadership.  https://t.co/DwhtBOlxyH,[],46
94,1307120886474997762,2020-09-19,08:54:39,What a gigantic cluster cunt of a turtle.,[],8
97,1304792863574614016,2020-09-12,22:43:55,To discourage people from voting? Clusters only in the prison in Lahad Datu. Are you suggesting that the lockdown there isn't sufficient?,[],21
98,1304759440134955008,2020-09-12,20:31:06,@wxysze @KKMPutrajaya ya cluster laut. holiao. under the sea d,[],8
99,1303897945834545153,2020-09-10,11:27:50,Why do we do this? Because we still see hidden clusters in the community. And just testing alone without proper contact tracing is like playing cat and mouse with the virus.,[],31
100,1303537692945285121,2020-09-09,11:36:19,"Pleiades is my favourite open star cluster, thanks to the Reflection Nebulae that is visible around its bright blue stars. கார்த்திகை (Karthigai) in Tamil, Krittika in Sanskrit, Subaru in Japanese. Here's a wide…  https://t.co/Db2TYraVdp",[],31
101,1302135900638531584,2020-09-05,14:46:05,807C CHAI CHEE ROAD – PING YI GREENS – 5ROOM HDB FLAT FOR SALE !!! *** GENUINE LISTING ***  - YOUNGEST CLUSTER IN BEDOK !!! - 95 YEARS BALANCE LEASE !!! - JUST MOP !!! - SIZE APPROX: 1216 Sqft/ 113 Sqm !!! - FULLY…  https://t.co/La4lmeKfu6,[],26
