,id,date,time,tweet,hashtags,num_words
1,1360991949738582021,2021-02-15,00:39:01,"so hawtt😍 if only it's not corona, imma wear this outside  https://t.co/sn509kwSZM",[],10
4,1360868317125177344,2021-02-14,16:27:45,@aadithya_harish corona is over in tamil nadu,[],6
11,1360740553432829953,2021-02-14,08:00:03,"""Stage Training | Fear of Speaking in Singapore Now Due to Corona Virus Outbreak""  Watch Now:  https://t.co/5tOm0u8gwP",[],15
14,1360631218207739907,2021-02-14,00:45:36,wouldn't it be cool if someone did a research on the increased $$ spent online shopping during corona,[],16
18,1360522039707115525,2021-02-13,17:31:46,What was that again about a V-shape #recovery?  #covıd19 #corona #coronavirus #crisis #EU #Euroland #eurozone #Europe #britain #greatbritan #economy #ramification #stagnation #recession #depression #slumpflation #stimulus #transparency #education  https://t.co/rz3CeTfHH5,"['recovery', 'covıd19', 'corona', 'coronavirus', 'crisis', 'eu', 'euroland', 'eurozone', 'europe', 'britain', 'greatbritan', 'economy', 'ramification', 'stagnation', 'recession', 'depression', 'slumpflation', 'stimulus', 'transparency', 'education']",6
19,1360517010828894209,2021-02-13,17:11:47,What was that again about a V-shape #recovery?   https://t.co/MRlJGOUmOo #covıd19 #corona #coronavirus #crisis #UK #britain #greatbritan #economy #ramification #stagnation #recession #depression #slumpflation #stimulus #transparency #education  https://t.co/6wOb1cj4ge,"['recovery', 'covıd19', 'corona', 'coronavirus', 'crisis', 'uk', 'britain', 'greatbritan', 'economy', 'ramification', 'stagnation', 'recession', 'depression', 'slumpflation', 'stimulus', 'transparency', 'education']",6
20,1360460341159710729,2021-02-13,13:26:36,DICTATORS who is worse than CORONA!  STOP NIGHT ARRESTS #Feb13Coup  #CrimeAgainstHumanity  #WhatsHappeningInMyanmar  https://t.co/ezLYYOoRSg,"['feb13coup', 'crimeagainsthumanity', 'whatshappeninginmyanmar']",9
21,1360450290734927881,2021-02-13,12:46:39,Uninvited guests  2020 Corona virus  2021 Military Coup  We have target We have future  But we have lost our time  #WhatsHappeningInMyanmar  #militarycoupinMyanmar  #HearTheVioceOfMyanmar,"['whatshappeninginmyanmar', 'militarycoupinmyanmar', 'hearthevioceofmyanmar']",18
23,1360397540953235457,2021-02-13,09:17:03,"Before focus on gym, I banyak lari and cardio. Workout dah jarang. Memang kurus la makan pun burn balik burn balik banyak. Metabolism i pun drop. Then i focus balik workout. I focus gym focus strength. Gains gains gains. Currently incorporate semula run. But corona is a bij.",[],48
24,1360336687985958913,2021-02-13,05:15:14,This meme is fki'n true.MinAungHlaing is nothing without CHINA's help.I condemn China seriously. Stop helping myanmar military and go spread Corona virus in your country. #ChinaSetupFirewallforJunta #Feb10Coup #WhatsHappeningInMyanmar  https://t.co/6r04EC5mNz,"['chinasetupfirewallforjunta', 'feb10coup', 'whatshappeninginmyanmar']",23
25,1360306812612841473,2021-02-13,03:16:32,Tackling Corona Virus Disease 2019 (COVID 19) in Workplaces  https://t.co/XDi62Rwrvv,[],7
34,1360143532032315398,2021-02-12,16:27:42,have you ever wonder how's your life gonna be rn if corona never existed 😃,[],13
36,1360089268471746560,2021-02-12,12:52:05,"Today, #Bumble app becomes a public company and owner became a billionaire . This was possible due to more than 1.7 billion first moves made by brave young women in this #dating bumble app during corona - செய்தி  என்ன ஃபர்ஸ்ட் மூவ்வா, பெண்களா ? நம்ம ஊர்ல வர்ரதுக்கு ரெம்ப நாளாகும்","['bumble', 'dating']",32
