,id,date,time,tweet,hashtags,num_words
0,1360777166598729732,2021-02-14,10:25:33,"Covid-19 vaccines donated by India and other countries are being used for soldiers neglecting the elderlies, medical professionals and other frontline essential workers.  @bbcburmese @Reuters @UN_HRC @hrw  #WhatsHappeningInMyanmar #HearTheVoiceOfMyammar  https://t.co/svySVD6Tea","['whatshappeninginmyanmar', 'hearthevoiceofmyammar']",23
1,1360744495151685632,2021-02-14,08:15:43,Britain has delivered 14.56 million shots of the 15 million target of the priority group including those over 70 years of age &amp; frontline healthcare workers.  It’s now offering it to those between 65-69 years of age.,[],33
2,1360077503742627840,2021-02-12,12:05:20,#HearTheVoiceOfMyanmar #SaveMyanmar Healthcare workers are frontline fighters for COVID despite limited resources in Myanmar. Now they are the CDM heroes fighting for justice and democracy. We seriously oppose the arbitrary arrest of the Doctors and healthcare workers in Myanmar,"['hearthevoiceofmyanmar', 'savemyanmar']",37
3,1359681318162812928,2021-02-11,09:51:02,"Empathy. Kindness. Sacrifice — These 3 words encapsulate the values of the frontline workers who take care of the sick, putting their own lives at risk. Pray for the sick and praise those who readily work to redress sicknesses!  https://t.co/E9sVNzqECQ",[],37
4,1359656773070639105,2021-02-11,08:13:30,"[🇸🇬 vaccination update 10 Feb]  💉 Received 1st dose: ~250,000 (~4.4% pop) ✅ Most frontline and essential workers have been vaccinated 👴 Currently vaccinating seniors over 70 years old   https://t.co/PkZuJANPS1  https://t.co/OeqTvcM6ni",[],20
5,1359063921345368067,2021-02-09,16:57:43,0800 21 21 21  Free 24 hour mental health service for frontline workers.,[],8
6,1356830401520574464,2021-02-03,13:02:31,Twitter’s Post-Super Bowl Tweet Confetti Will Include Thank-You Messages to Frontline Workers  https://t.co/Y2S42aw6Fq,[],11
7,1356809420664147984,2021-02-03,11:39:08,After 3 hours wearing gloves and PPE this is normal. 🤣 3 more hours to go! #frontlineworkers #COVID19 #swabbing  https://t.co/fgqYp79RLS,"['frontlineworkers', 'covid19', 'swabbing']",13
9,1354691147264790531,2021-01-28,15:21:53,"1/2 [SINGAPORE]  You may pre-register your interest for the vaccination even though the priorities for now are healthcare workers, frontline workers and senior citizens.    Notifications will be sent out when you can make an appointment online.    https://t.co/qFjMW9LI7j",[],34
10,1354576043508527109,2021-01-28,07:44:30,STPI Honours Frontline Healthcare and Social Workers in Singapore by Sharing Art  https://t.co/7W5P23zhcn,[],12
11,1352838915187634176,2021-01-23,12:41:46,"I know it's still early days, but India seems to administering 1.8L doses/day. At this rate vaccinating 1Cr frontline workers will take slightly over 4 months. That seems off target. Is this because we don't have enough capacity to vaccinate or are people not turning up or CoWin?",[],45
12,1350349744040669185,2021-01-16,15:50:41,PM gets emotional while speaking about invaluable contributions of healthcare &amp; frontline workers  https://t.co/uPjToJGJTC  via NaMo App  https://t.co/7UdIRALyaN,[],15
13,1350314607211016194,2021-01-16,13:31:04,Nation pays its debt for their sacrifice today. The frontline healthcare workers receive the vaccines first. -#Respect #Kudos #HealthcareHeroes #LargestVaccineDrive #COVID19Vaccination  https://t.co/R5KyGY73Ls,"['respect', 'kudos', 'healthcareheroes', 'largestvaccinedrive', 'covid19vaccination']",16
14,1343066167762583559,2020-12-27,13:28:22,"The next several months will be a period of great inequality. Frontline service workers will struggle on without a vaccination, while the rich move right to the front of the queue. I’m sure many have already had their vaccinations, regardless of age or health. Makes me sick.",[],48
15,1337982276877967361,2020-12-13,12:46:47,Even though @Time’s Person of the Year is nothing more than a slick marketing ploy how on earth did Biden/Harris get it over frontline healthcare workers?? Media desperately craves validity and credibility. This years #POY achieves neither.,['poy'],36
16,1314730890153533441,2020-10-10,08:54:05,"In Singapore, ministers chose to forfeit months of salaries, and extra bonuses given to frontline workers. Stark contrast",[],18
17,1294637293844811777,2020-08-15,22:09:18,Throwback yesterday. POCT trial with 100 participants wrapped up in 3 hours. I must say we have good “blood suckers” here 😂 #pocttrialteam #cecteam4 #ceccmteam1 #covid19 #frontlineworkers…  https://t.co/wOyqqOeEgR,"['pocttrialteam', 'cecteam4', 'ceccmteam1', 'covid19', 'frontlineworkers']",19
18,1292481227232952320,2020-08-09,23:21:52,Happy 55th birthday Singapore!!🇸🇬🎊🎉🙆🎂🎆 It's been a tough year and we have been fighting this pandemic in a great way👍💪! Proud of u SG! 😄A great thanks to our frontline workers 👩‍⚕️👷and leaders for making SG what it…  https://t.co/9abKUPcM7R,[],36
19,1283062419393142786,2020-07-14,23:34:53,👍👌🔥🙏 @govsingapore &amp; all frontline workers! Really not a simple task!! 🙌🙏 @INSEAD  #QuarantineLife  #QuarantineTimepass #Boring #COVID19 #coronavirus  https://t.co/mY86WOzN2I,"['quarantinelife', 'quarantinetimepass', 'boring', 'covid19', 'coronavirus']",8
20,1275537021256138752,2020-06-24,05:11:38,Also all the frontline workers who have shown us during this pandemic what their importance is. People need to stop making these entertainers feel like something larger-than-life.,[],26
21,1273275480980905984,2020-06-17,23:25:05,@ACUVUE AR FILTER MASK on Instagram lets you tag and appreciate frontline workers on social media  https://t.co/Ea0a0ItMa6  https://t.co/8UpnzRlPGm,[],15
22,1270342978561662976,2020-06-09,21:12:22,"Let's appreciate our frontline staff, essential workers and anyone in our community. Together we can overcome!  https://t.co/VkjV1KZpxP  @GetInTouch_Me way to go! Real helpful platform to help jobseekers get noticed -  https://t.co/fOhv1ZOjhu  @wantedly",[],26
23,1270342385864605696,2020-06-09,21:10:01,"Let's appreciate our frontline staff, essential workers and anyone in our community. Together we can overcome!  https://t.co/IcXi1t3NH8  Thanks @wantedlysg for launching the #covid19 hiring freeze tracker!  https://t.co/eX2q69h681",['covid19'],22
24,1269864890350489605,2020-06-08,13:32:37,Even during this pandemic situation we didn't stop. We brought you fuel and important supplies and still we are not even considered to be frontline workers or essential services. Do you even think that we exist?,[],35
25,1268901250793267201,2020-06-05,21:43:27,"Stepped out today to workplace after months!!!🌞 I really think of all frontline workers at this moment for their life with MASK😷 as I know now the discomfort of wearing it all through the working hours😞 And with the lockdown, my happy plant became sad plant🥀☹️ #lifewithcorona  https://t.co/c4JWdzBUcf",['lifewithcorona'],46
26,1266896153850699777,2020-05-31,08:55:55,I’ll put it out there: there is a global pandemic happening right now just think of the frontline healthcare workers who are already exhausted from fighting the disease and will now need to treat the people hurt from the protests.,[],41
27,1265214270083661824,2020-05-26,17:32:43,#ryantology #igers #igdaily #selfie #cb #cbday #cbday50 #asian #men #barber #haircut #sg #semilockdown #covid19 #essentialservices  CBDay50. Salute to frontline &amp; essential workers. x @ James Barker Barber  https://t.co/tE50qCmSzt,"['ryantology', 'igers', 'igdaily', 'selfie', 'cb', 'cbday', 'cbday50', 'asian', 'men', 'barber', 'haircut', 'sg', 'semilockdown', 'covid19', 'essentialservices']",10
28,1260198609422700546,2020-05-12,21:22:16,"@AlanLew56185276 @JaneCaro @MaralynParker @GladysB These roles are Govt sector. They also don’t have hourly rates &amp; generally work very long hours without overtime or penalty rates. Nothing selfish about that. They don’t work for profit, merely to serve the community. They are our frontline workers in this pandemic.",[],45
29,1260043475548090371,2020-05-12,11:05:49,Happy Nurses day guys  #frontlineworkers @ Johor Bahru  https://t.co/NAwS7fWGYG,['frontlineworkers'],6
30,1259314118131101696,2020-05-10,10:47:37,Happy Mother’s Day for lots of mums across the globe ! #frontlineworkers #enjoy #behappy #grateful #love #family #staysafe #stayhome #bekind 😘🌈😘 @ Singapore  https://t.co/p3SuloK0h1,"['frontlineworkers', 'enjoy', 'behappy', 'grateful', 'love', 'family', 'staysafe', 'stayhome', 'bekind']",12
