,id,date,time,tweet,hashtags,num_words
0,1362831838469783554,2021-02-20,02:30:05,Seniors should wait for vaccination letters before registering: Gan Kim Yong  https://t.co/C2zwGFKfnL,[],11
1,1362806415564304384,2021-02-20,00:49:03,Seniors should wait for vaccination letters before registering: Gan Kim Yong  https://t.co/yiN46Cxo2Y,[],11
2,1362786408281243650,2021-02-19,23:29:33,S'pore will continue to monitor for adverse effects from Covid-19 vaccine: Gan Kim Yong  https://t.co/kfV5QQtZZf,[],13
3,1362784390883893255,2021-02-19,23:21:32,S'pore will continue to monitor for adverse effects from Covid-19 vaccine: Gan Kim Yong  https://t.co/EaZTtbUbjG,[],13
4,1362753355223736327,2021-02-19,21:18:13,"VIDEO: Singapore is hoping to conduct #COVID19 vaccinations for most residents aged 70 and above ""within a month or so"", says Health Minister Gan Kim Yong. He gives a timeline of when others can expect to get their jabs  https://t.co/RkNBDOS7SZ   https://t.co/ziD9jLYqze",['covid19'],37
5,1362740658868391936,2021-02-19,20:27:46,Case of S’porean who had cardiac arrest after vaccination taken ‘very seriously’: Gan Kim Yong  https://t.co/jXbB0ulkKf  https://t.co/WF2HLnwGuG,[],16
6,1362727695067475974,2021-02-19,19:36:15,"Case of S'porean who had cardiac arrest after vaccination taken 'very seriously', criteria &amp; processes will be refined: Gan Kim Yong  https://t.co/cLbydupNeS",[],19
7,1362720528499310592,2021-02-19,19:07:46,"“Covid-19 vaccinations for people aged 60 to 69 will start around the end of March, with the rest of the population to follow suit in April, said Singapore Health Minister Gan Kim Yong on Friday (Feb 19)” https://t.co/dltI7MlpUY",[],34
8,1352514123121086469,2021-01-22,15:11:10,International leisure travel not likely this year: Gan Kim Yong  https://t.co/bkQOhcyKVi #readOnTNP via @thenewpaper,['readontnp'],11
9,1349278091445555200,2021-01-13,16:52:20,Next in line to get their COVID-19 vaccines - Health Minister Gan Kim Yong and Education Minister Lawrence Wong.  https://t.co/MvX07wkQgU,[],18
10,1346472416332062728,2021-01-05,23:03:34,"Always change the story, so useless!  @GANKIMYONG @leehsienloong @kshanmugam No?  https://t.co/JdbzWUGCyY",[],7
11,1340970045019619330,2020-12-21,18:39:07,"Today, Ministers @GANKIMYONG and @LawrenceWongST, co-chairmen of the Multi-Ministry Taskforce on #COVID19, held an appreciation event for partners of the COVID-19 community care facilities (CCFs). It also marks the stand down of the CCFs at SingEx and Big Box.  https://t.co/k7dCiVKy0A",['covid19'],34
14,1328852525143900161,2020-11-18,08:08:25,"Sorry, not in Singapore.  @GANKIMYONG What do you think, dear Minister?  https://t.co/XkpUVp2uHO",[],10
16,1318564379323813888,2020-10-20,22:47:00,"COVID-19: Social gatherings of up to 8 people may be allowed in Phase 3, says Gan Kim Yong  https://t.co/0iIW1HNZMJ",[],16
17,1285926959109664768,2020-07-22,21:17:33,If I blow candles do I have to keep my mask on? @gankimyong  https://t.co/wOOIBMDSoA,[],12
18,1261866770031239169,2020-05-17,11:50:56,Number of COVID-19 community cases 'likely' to go up as circuit breaker measures are eased: Gan Kim Yong  https://t.co/vkvLcDZPGh local cases of concern. Take care of migrant cases seriously. Many locals have lost their jobs. U are not helping them well,[],40
19,1246799574125010944,2020-04-05,21:59:17,Singapore Expo being prepared to house COVID-19 patients who have recovered but may still be infectious: Gan Kim Yong  https://t.co/ngvjt2U8P8,[],19
20,1246004465414496259,2020-04-03,17:19:48,I like the calm fathering manner of  Gan Kim Yong,[],10
21,1244971351787442179,2020-03-31,20:54:35,"On having gatherings at home, Health Minister Gan Kim Yong: ""It is not a question of whether you can or you cannot (do these things), the key question is whether you need to have these activities."" #Singapore #covid19","['singapore', 'covid19']",36
22,1243138195388125184,2020-03-26,19:30:16,Singapore scientists plan to start testing COVID-19 vaccine this year: Gan Kim Yong  https://t.co/E8JX5ahQnr,[],13
23,1236304310767464449,2020-03-07,22:54:51,@PhilBhojwanay @TODAYonline Gan kim yong is a idiot. As a health minister he should go down to the hospital and provide leadership and direct the hospital chief and lay down proper guidelines. I don't think Gan knows what he is doing and what he suppose to do?,[],44
24,1225670681959919618,2020-02-07,14:40:37,"Weston Robot’s remotely controlled sanitiser spraying robot allows the operator to manoeuvre the robot in a safe room, minimising potential exposure to virus. Hope we’d be able to help a Singapore fight #coronavirus @leehsienloong @GANKIMYONG @mpjoteo @TTSH @STcom @sporeMOH  https://t.co/0MPM9Ybozc",['coronavirus'],34
