,id,date,time,tweet,hashtags,num_words
0,1364654629183774720,2021-02-25,03:13:12,Support please. Combo R150 and hand sanitizer R20 each. #HELPPromoteMyBusiness  https://t.co/l7WN0sFKgB,['helppromotemybusiness'],7
1,1364321350672916490,2021-02-24,05:08:52,"@_97teej Don’t do that no more, i did that I don’t know which hand sanitizer i used but it fuckedt up my lips😭😭,i have sores they keep coming back on my lips not on the sides but on my lips.",[],42
2,1364209808786644997,2021-02-23,21:45:38,"all these because of what her friends send her on whatsapp/facebook  like seriously, the only thing that will happen is the hand sanitizer being less effective",[],27
3,1364209613910859779,2021-02-23,21:44:52,mum keep insisting that i shouldnt leave hand sanitizer in the car because the car can catch fire since im leaving it out in the hot sun at work  https://t.co/eY19F665My,[],29
4,1364127822998958085,2021-02-23,16:19:51,Contactless hand sanitizer are here in Singapore.   https://t.co/kNDF4jAVlM,[],7
9,1362691525965193216,2021-02-19,17:12:32,#workfromhome #workfromanywhere #bosswoman Green Cross Hand Sanitizer Gel 250 ml. We offer Free Shipping to almost all countries worldwide. Paypal and Credit card payments accepted with money back guarantee. Shop at  https://t.co/Tdp9vxehVn  https://t.co/4PMGH36awb,"['workfromhome', 'workfromanywhere', 'bosswoman']",27
10,1362604296617959424,2021-02-19,11:25:54,"@JennaGuillaume yeah! I have a feeling it'll become one of those things where some books will be more directly about the world after COVID and others will not include it at all or only have little references to hand sanitizer and masks and lockdown in a ""oh yeah, remember that"" kind of way?",[],51
13,1360976505451384838,2021-02-14,23:37:39,"today i never expected about,i'm going to have Valentine's day present😊but suddenly i got a present from my friend,my favourite snack waiwai😋 and the other s if i think like funny,but it's really important to me hand sanitizer😊i'm so surprise,Thank yu so much to my dear friend  https://t.co/JXXbBoyJ7K",[],49
15,1355208808738353152,2021-01-30,01:38:53,Bought 3x Mexicana Hand Sanitizer!! 2 for myself and donating one of them for Auction - Daniel’s Comeback Fundraising Project!!😉😉  @konnect_danielk  #KangDaniel #강다니엘  https://t.co/VCU0fFgkvE,"['kangdaniel', '강다니엘']",18
16,1353467861025525760,2021-01-25,06:20:58,@Bandungfess Jangan2 hand sanitizer. Canda hand sanitizer,[],6
19,1340183675036725249,2020-12-19,14:34:22,"""Dettol hand sanitizer holders"" in #Singapore #Singapore  https://t.co/C1mtgQW1Dy #zerowaste #free","['singapore', 'singapore', 'zerowaste', 'free']",5
28,1317379186684796928,2020-10-17,16:17:28,"""Half used hand sanitizer "" in #Singapore #Singapore  https://t.co/ZXJP16UD67 #zerowaste #free","['singapore', 'singapore', 'zerowaste', 'free']",5
29,1316954033438023680,2020-10-16,12:08:04,"When I ran past it this morning, I saw a canister of water and hand sanitizer, presumably left by a well-wisher for public to use.  https://t.co/g1F8q1E6xi",[],24
31,1310771494331453442,2020-09-29,10:40:51,"Whenever I go People’s Park Centre, I feel like I have a duty to use extra hand sanitizer. Every touched surface is like 🦠 to me. Prejudice much. #TuesdayThoughts",['tuesdaythoughts'],28
33,1304004509845172228,2020-09-10,18:31:17,Imagine your card declines at the club and they start giving you hand sanitizer shots,[],15
38,1299626367462457349,2020-08-29,16:34:06,someone’s hand sanitizer smells like my mom now i’m 🥺,[],11
39,1295197205805117442,2020-08-17,11:14:12,Teacher’s Day is coming ! Have you prepared gifts for your kids’ teacher yet?  Grab these compact light weight organic hand sanitisers for them!   DM to order! Limited stocks!  #handsanitizer…  https://t.co/qH4OiiIaOC,['handsanitizer'],29
40,1293556960416030720,2020-08-12,22:36:27,"Courtesy Well-being bag from Shangri-La Singapore containing; Masks, Alcohol Wet Wipes, Hand Sanitizer, Jasmin Body Milk. #staycation2020 #shangrilasingapore @ShangriLaSG  https://t.co/bh6cwDa0HF","['staycation2020', 'shangrilasingapore']",14
42,1291098923096997888,2020-08-06,03:49:05,"Have u purchase your Life Saver Hand sanitizer yet ?  Try this moisturising , safe to use with kids/pets hand sanitizer!  - food grade  - 100% safe with kids / pets  - essential oils + hyaluronic  - moisturise…  https://t.co/TPIgJE1Vzt",[],30
43,1291028156510547968,2020-08-05,23:07:53,"""Lifebuoy Hand Sanitizer Case"" in #Singapore #Singapore  https://t.co/HQZeXHIWCs #zerowaste #free","['singapore', 'singapore', 'zerowaste', 'free']",5
