,id,date,time,tweet,hashtags,num_words
0,1361102806929739780,2021-02-15,07:59:31,Healthcare Professionals and Students' Awareness of Chagas Disease: Design and Validation of Chagas Level of Knowledge Scale  https://t.co/I93ZODbfgU,[],17
1,1361092011147677696,2021-02-15,07:16:37,"9 out of 11 S&amp;P 500 sectors ended higher, but only 35.6% of the index’s constituents closed in the green. Energy (+0.82%), materials (+0.65%) and healthcare (+0.46%) were among the best performers, whereas utilities (-0.41%) and real estate (-0.30%) were lagging behind.  https://t.co/1BLM8oSh7E",[],35
2,1361049078730137600,2021-02-15,04:26:02,Implementing the patient care collaborative model in three general internal medicine units: a mixed-methods healthcare improvement initiative  https://t.co/RzRrYQN4l4,[],16
3,1360970003722330114,2021-02-14,23:11:49,@YourAnonCentral All myanmar civilian are scared of military . Now they are trying kidnapping all government officer especially healthcare workers in naypyidaw . mandalay and myanmar . #HelpMyanmar,['helpmyanmar'],23
4,1360929996139765761,2021-02-14,20:32:50,why they put all that like their healthcare is free?,[],10
5,1360921736561131521,2021-02-14,20:00:01,Nurses and first responders have developed new practices to align with pandemic measures. Here's a look at their challenges and how they've augmented #healthcare with #data:  https://t.co/84WmSIJ75H,"['healthcare', 'data']",22
6,1360916354123984896,2021-02-14,19:38:38,"Retrenched from her Changi Airport job, she’s making a career switch at 50 – to healthcare  https://t.co/eC9OkOZZn2",[],15
7,1360902282641084420,2021-02-14,18:42:43,"@madonsela_dudu @JuliciousMusic @BFSF1212 Healthcare system collapsed under him,",[],5
8,1360874478985768963,2021-02-14,16:52:14,"Retrenched from her Changi Airport job, she's making a career switch at 50 – to healthcare  https://t.co/COuy2dM83u #singapore #jobs","['singapore', 'jobs']",13
9,1360871078919249921,2021-02-14,16:38:43,"Where is human right under military coup? There are many doctors, healthcare workers and millions of senior citizens who haven't received vaccine yet.@freya_cole @RapporteurUn @hrw @KenRoth @POTUS @LeaderMcConnell #WhatsHappeningInMyanmar #Feb14Coup #Reject_the_Myanmar_Military","['whatshappeninginmyanmar', 'feb14coup', 'reject_the_myanmar_military']",22
10,1360830512751734787,2021-02-14,13:57:31,Shameless! They robbed a nation. Now they robbed vaccines. No way these young officers should be priority to get vaccines first than senior citizens and healthcare workers. #RejectMilitaryCoup #Shameles  https://t.co/IrqpJDNoPL,"['rejectmilitarycoup', 'shameles']",27
11,1360818805707055105,2021-02-14,13:11:00,Learn how leading healthcare labs and global health ministries use secure QR code to make their COVID reports secure and verifiable. #FiresideChat  https://t.co/7jFICKYpLd,['firesidechat'],21
12,1360744495151685632,2021-02-14,08:15:43,Britain has delivered 14.56 million shots of the 15 million target of the priority group including those over 70 years of age &amp; frontline healthcare workers.  It’s now offering it to those between 65-69 years of age.,[],33
13,1360730355519524866,2021-02-14,07:19:32,Retrenched Changi Airport Staff Starts Over In Healthcare At 50  https://t.co/qR09Y6Wfw6,[],9
14,1360729473017028609,2021-02-14,07:16:02,"Retrenched from her Changi Airport job, she’s making a career switch at 50 – to healthcare  https://t.co/oNY0EogkmL  https://t.co/jo88Bd2ZEt",[],15
