,id,date,time,tweet,hashtags,num_words
0,1361073116345114625,2021-02-15,06:01:33,@WWIIpix I have been told about this story quite a few times. It was right after the Battle of Bukit Chandu where Lieutenant Adnan Saidi’s men fought till the end. The old Alexandra hospital is still around today and its near IKEA.  A new Alexandra hospital is located in Jurong.,[],50
1,1361072687792021504,2021-02-15,05:59:50,French hospitals to move into crisis mode over possible surge of COVID-19 cases: Report  https://t.co/PCjRlggEEj,[],14
2,1361069925067083778,2021-02-15,05:48:52,So boring that need to stay overnight in a hospitalz! 🏥 @ Changi General Hospital (CGH)  https://t.co/NTD0BUmJRV,[],14
3,1361057397792333824,2021-02-15,04:59:05,"@NumbersMuncher @AlexBerenson You are such a horrible proponent of Lockdowns, you've killed many people as they commited suicide, and didn't go to the hospital out of fear of Covid19.",[],25
4,1361050960643072001,2021-02-15,04:33:30,"Police say Nicki Minaj's father was killed by a hit-and-run driver.  64-year-old Robert Maraj was struck by a hit-and-run driver in New York on Friday evening, he was taken to a hospital where he was pronounced dead Saturday  https://t.co/180TNorYx4 @Quicktake",[],34
6,1361000981815681024,2021-02-15,01:14:54,because i used to bang my head. Now I regret it because I constantly get severe headaches lol. I got sick a lot and it required me to ambik darah setiap hari dekat hospital for almost a month. My major depression episodes have been happening for years since then,[],49
7,1360982478836563975,2021-02-15,00:01:23,"Currently in Myanmar,  time 10:19 pm at 14.02.2021 YANGON GENERAL HOSPITAL has been detained by military coup.They said they will officially discuss with staffs at 1 am 15.02.2021 only when the internet has been cut off .",[],31
8,1360976072708263936,2021-02-14,23:35:56,Army turned out to be rebels who harming #Myanmar civilians at night.  Now hijacking hospitals. #WhatsHappeninglnMyanmar  https://t.co/QNuqknGJBi,"['myanmar', 'whatshappeninglnmyanmar']",14
9,1360967043126677505,2021-02-14,23:00:03,"Singapore reported 14 #COVID19 cases on Feb 14.  - 14 imported cases - 0 locally transmitted case  - 13/1 a/sym  Total: 59,800 Discharged: 59,621 (+17) Isolation facilities: 118 (-1) Hospital: 32 (-2) ICU: 1 Deaths: 29   https://t.co/cOO43Mvz59  https://t.co/hwwdQR3Ue6",['covid19'],19
10,1360965300749959170,2021-02-14,22:53:07,"Lots of hospitals and workers, doctors and nurses compound are being surrounded by Military right now. @RapporteurUn @UNHumanRights Please don’t believe Myanmar Military if they say workers, doctors and nurses go back to hospital by themselves. #WhatIsHappeningInMyanmar",['whatishappeninginmyanmar'],35
11,1360964731243098114,2021-02-14,22:50:52,We really need help! Help us! They are start attacking citizens now (21:20PM)!They started from hospital! And they shot water and guns in Chin state @USEmbassyBurma @BBCWorld @freya_cole @EUCouncil  #RejectMyanmarMilitaryCoup #Feb10Coup  https://t.co/tay3onGsDK,"['rejectmyanmarmilitarycoup', 'feb10coup']",26
12,1360961924368764931,2021-02-14,22:39:42,"There are currently 32 confirmed cases who are still in hospital. Of these, most are stable or improving, and 1 is in critical condition in the intensive care unit.  https://t.co/OcbHtLsfQt",[],27
13,1360961921852133378,2021-02-14,22:39:42,"17 more cases of COVID-19 infection have been discharged from hospitals or community isolation facilities. In all, 59,621 have fully recovered from the infection and have been discharged.  https://t.co/OcbHtLsfQt",[],26
15,1360946664882597891,2021-02-14,21:39:04,French hospitals to move into crisis mode over possible surge of COVID-19 cases: Report  https://t.co/UwfW6EUB4m  https://t.co/e3T8TNAVEE,[],14
17,1360945525197922304,2021-02-14,21:34:33,French hospitals to move into crisis mode from Thursday  https://t.co/M5v2G0We3U,[],9
18,1360942194698280964,2021-02-14,21:21:18,@Kat_Baran_ Oh! That's good! Congrats on getting that arranged. Hospitals are bad places during this pandemic... ☹️   All the best! 😁,[],17
19,1360929212358533129,2021-02-14,20:29:43,"Feb 14: This clip features Royal Artillery soldier Fergus Anckorn, who was in Alexandra Hospital when Japanese soldiers burst in &amp; began killing patients &amp; staff. He survived by playing dead but was later sent to the Death Railway (which he survived too).  https://t.co/1pjfCGQSgb",[],40
20,1360913517453266948,2021-02-14,19:27:21,@AhgassePride I’m warded in the hospital now but I’m getting better,[],12
21,1360912435645845506,2021-02-14,19:23:03,The Prevalence of Preoperative Medical Testing and Consultation in Cataract Surgery Patients at a Teaching Hospital  https://t.co/tk2H8LCqP4,[],16
22,1360874413026017281,2021-02-14,16:51:58,Miu the cat is still at the hospital (that’s the second New Year holiday she’s spent in one!) but I’m glad that the folks at VES are taking such good care of her. They even gave her a bed upgrade and sent pictures over ;___; I am EMOTIONS  https://t.co/nlgGXU3zyB,[],50
24,1360855226497044480,2021-02-14,15:35:44,Racists will never give up. We know precisely what this means. It must be a good lesson for black people to stop contributing towards building churches but universities and private hospitals. We are the majority we can do it and glory shall indeed be given to God.  #voetsekracist,['voetsekracist'],47
25,1360851264926404609,2021-02-14,15:19:59,"@vergangenheitt if it does,surely they will need to show a scene on bonghwan at the hospital...cause we need to know what’s happening to him...",[],26
27,1360846285511806980,2021-02-14,15:00:12,Want to contribute to charity and keep fit at the same time?  Participate in the Changi Run 2021 to raise funds for Changi General  Hospital’s HomeCare Assist beneficiaries. Find out more and register at:  https://t.co/vjPRgvaqKh,[],34
28,1360841903072231429,2021-02-14,14:42:47,Just posted a photo @ National University Hospital - NUH  https://t.co/z5ZoTvzfqQ,[],8
29,1360818492677652482,2021-02-14,13:09:46,"Night raids conducted by Myanmar (Burmese)police and military at community, hospital and factories as well as other work places. #RejectMilitaryCoup #CrimeAgainstHumanity #WhatsHappeninglnMyanmar  https://t.co/fXcn9NLcyO","['rejectmilitarycoup', 'crimeagainsthumanity', 'whatshappeninglnmyanmar']",20
32,1360809075198541826,2021-02-14,12:32:20,Just posted a photo @ Changi General Hospital A&amp;E  https://t.co/8vs7YKKyAX,[],9
35,1360799536784896006,2021-02-14,11:54:26,"Feb 14: Japanese troops attack the British Military Hospital at Alexandra, massacring at least 200 medical staff &amp; patients. The buildings remain in use as Alexandra Hospital to this day &amp; ghostly experiences are often reported here.  https://t.co/9vDvzM43VR",[],33
36,1360793705968377857,2021-02-14,11:31:16,"Saturday February 14th 1942.  Nearly a million people are crammed into an area of about 3 sq miles as the allies fight to defend the city of Singapore. The 1st Malayan brigade, after stern resistance are forced to retreat leaving the Alexandra hospital in the hands of the Enemy.  https://t.co/bjmuXG2yeD",[],45
37,1360787529323204609,2021-02-14,11:06:43,'Our job to step in': Hospitals take on COVID-19 patients from other overwhelmed regions | CTV News  https://t.co/Exd1wZsRN0,[],16
38,1360776680722210819,2021-02-14,10:23:37,"A group of volunteers helped turn an unused hospital into a #Covid facility for patients in Indonesia, one of the worst hit countries in SE Asia. Great uplifting story! #solutionsjournalism   https://t.co/NhxjSq3NNj","['covid', 'solutionsjournalism']",28
39,1360749229669380100,2021-02-14,08:34:32,A cross-sectional study on antibiotic prescription in a teaching hospital in Ghana  https://t.co/s7Z0U8U6YV,[],11
40,1360717928237309954,2021-02-14,06:30:09,"“Seeing all the other #hospitalstaff turning up every day to fulfill their duty gives me #courage and inspiration. I, too, put one foot in front of the other and stride through the sliding doors of the #hospital”:  https://t.co/pIFPTxjEmJ @kevinmd #doctors #COVID_19","['hospitalstaff', 'courage', 'hospital', 'doctors', 'covid_19']",34
41,1360680764225036292,2021-02-14,04:02:29,"@salmanonline When u and his corrupt family pay from your filthy money then u can name it the way u want!you stole DT and named it solidaire,public hospitals and schools were built from our money and named after him, that’s corruption!but ur filth anw u won’t understand",[],51
