,id,date,time,tweet,hashtags,num_words
0,1361075386138783744,2021-02-15,06:10:34,Australia suspends travel 'bubble' with New Zealand as Auckland goes into COVID-19 lockdown  https://t.co/ZluVSa8mT1  https://t.co/qzGwlXNQqy,[],13
1,1361072611166330883,2021-02-15,05:59:32,Australia suspends travel 'bubble' with New Zealand as Auckland goes into Covid-19 lockdown  https://t.co/FJ15Wb3Zy5,[],13
2,1361068603810803712,2021-02-15,05:43:37,#Australia suspends travel 'bubble' with #NewZealand as Auckland goes into lockdown  https://t.co/yj3Wgn2JmN,"['australia', 'newzealand']",9
4,1359365885673132032,2021-02-10,12:57:37,Adham Baba: Ministers&amp;#8217; 3-day Quarantine Part Of &amp;#8220;Travel Bubble&amp;#8221; For Country&amp;#8217;s Investments  https://t.co/hdzIjYn3XQ via @therakyatpost,[],12
5,1359050668145737729,2021-02-09,16:05:03,Singapore delays business travel bubble plans  https://t.co/YxtJb5BwL7 #singapore #business #italy  https://t.co/kZEoYvALKM,"['singapore', 'business', 'italy']",6
6,1358991523082338305,2021-02-09,12:10:02,Travel bubble with Indonesia a ray of hope for M’sia inbound players -  https://t.co/hDbgZ9hRyq  https://t.co/P8Kn5DtNzU,[],13
8,1358725691504697344,2021-02-08,18:33:43,S'pore business travel bubble plan delayed  https://t.co/o5MKUzv5WJ  https://t.co/cX6C0kHabA,[],5
9,1358611086652526593,2021-02-08,10:58:19,Business 'bubble' scheme put on ice  #Philippines #Business #Travel #SoutheastAsia   https://t.co/6erYyVQgWK @AnnabethLeowBT Via  https://t.co/3eUkv4knL5  https://t.co/MUr9aWJqXV,"['philippines', 'business', 'travel', 'southeastasia']",7
10,1358608249725935616,2021-02-08,10:47:03,Singapore's Business Travel Bubble Zone Plan Delayed  https://t.co/ArIvGh72vg,[],6
13,1333295938002055171,2020-11-30,14:24:57,I hope the travel bubble between #Singapore 🇸🇬 and #Japan 🇯🇵 opens up soon,"['singapore', 'japan']",10
14,1331970747938422784,2020-11-26,22:39:07,Travel bubble: what Singapore and Hong Kong’s contrasting reactions to its suspension tell us about our societies   https://t.co/4Lhi0bUOFX,[],18
16,1330716378240716801,2020-11-23,11:34:42,Breaking news: people want to travel. It’s a shame the bubble is now postponed.,[],15
17,1330485518509989888,2020-11-22,20:17:21,"And then the bubble burst. Ok, that’s all.  #sg #hk #airtravelbubble #atb #covid19 #missrona #travel  https://t.co/p8jfY9SqsA","['sg', 'hk', 'airtravelbubble', 'atb', 'covid19', 'missrona', 'travel']",9
18,1329702127552266240,2020-11-20,16:24:26,@sporeMOH @govsingapore Hi @govsingapore can clarify the situation regarding the travel bubble with Hong Kong now that the 7-day moving average has exceeded five cases?,[],22
19,1329604800439218178,2020-11-20,09:57:41,Erm didn’t we just establish a travel bubble with HK?,[],11
22,1326387664426332160,2020-11-11,12:53:56,"Singapore, Hong Kong open 'world first' travel bubble  https://t.co/iShCxvzOIB via @AusBT",[],9
23,1326346824807014402,2020-11-11,10:11:40,Air Travel Bubble between Singapore and Hong Kong to Start on 22 November 2020 with Daily Flights   https://t.co/c3CcaOoFDS  #travel #hongkong #news #covid19 #singapore #sgnews #leisure,"['travel', 'hongkong', 'news', 'covid19', 'singapore', 'sgnews', 'leisure']",15
24,1326024007280324609,2020-11-10,12:48:54,"@dreampipe So far only Hong Kong, India, China, Taiwan. No sign of it in Singapore, very frustrating. Good job the travel bubble is coming soon!",[],24
25,1317655075574018049,2020-10-18,10:33:45,Singapore and HK announce travel bubble. I was gonna book flight tickets out but air travel details have not been announced yet. Bummed.,[],23
26,1317374581150277633,2020-10-17,15:59:10,"Waiting for the day to go overseas again. Even with the recently announce HK travel bubble. For 1 it's limited, For another we will have to see company policy even though the government says okay.  https://t.co/HYx7yK0WFy",[],33
27,1316926384820944897,2020-10-16,10:18:12,"The air travel bubble agreement between Singapore and Hong Kong is the first special travel arrangement so far which allows people from Singapore to visit another destination for leisure. To date, Hong Kong is the 10th place to have a travel arrangement with Singapore.  https://t.co/U1LfMN8NHn",[],43
28,1316924142726402054,2020-10-16,10:09:17,Several S’pore travel agencies prepare for trips to Hong Kong following air travel bubble agreement  https://t.co/ljcLy30DBD  Download the TODAY app at  https://t.co/Ms0E8OIubm,[],21
