,id,date,time,tweet,hashtags,num_words
1,1360524879792021506,2021-02-13,17:43:03,China holiday train travel down nearly 70 per cent amid COVID-19 restrictions  https://t.co/xnfqTxcyJb  https://t.co/HC90o4kWrK,[],11
2,1360457975706521600,2021-02-13,13:17:12,idk i kinda feel like travel restrictions is kinda like karma? for those ppl who won’t stfu about travel especially those who think “loving to travel” is a personality trait lol anyway 🎶good day in my mind🎶,[],38
3,1360184297034977283,2021-02-12,19:09:42,@KP24 @elonmusk We need an international movement for  easing travel restrictions for vaccinated people.,[],12
4,1360184043703177216,2021-02-12,19:08:41,@BorisJohnson Then start easing travel restrictions 😢,[],5
5,1360078401332150276,2021-02-12,12:08:54,"Travel restrictions in place to protect lives, says PM regarding the ban on inter state travel. But he just came back from Jakarta, with a specially granted 3-day home quarantine. Nowadays we're led by the law our leader makes, no more by what he does.",[],44
6,1359868001239982085,2021-02-11,22:12:51,I fixed up 2 calls for tomorrow also ..got bored in 1/2 day only ...long weekend ka aadat nahi raha ...especially with all the restrictions ..not being able to travel freely to other countries is 😞😞,[],33
7,1359845687681183749,2021-02-11,20:44:11,@conorgarratt Agree that makes no sense and jokes aside the travel restrictions are a nightmare. We haven’t been back for 13 months and there’s no chance of family visiting any time soon.  I guess what’s still unclear is whether those vaccinated may still catch and transmit the 🦠...,[],48
8,1359814094950264835,2021-02-11,18:38:39,"@tseenster GONG XI FA CAI, Tseen. May you have peace and prosperity. It’s looking a bit different over here - people can’t travel and restrictions on guest numbers and visiting and lo hei. But still the festivities go on",[],39
9,1359722081412206592,2021-02-11,12:33:01,White House considers domestic travel restrictions as virus variant mutation surges in Florida : too late!  https://t.co/zvQ8lplxEu,[],15
10,1359707161652195329,2021-02-11,11:33:44,"They say absence makes the heart grow fonder. ❤️  In this year of social distancing, I think that’s proven to be true. As families and friends were separated due to restrictions on travel and social gatherings, one question endured… https://t.co/M4IuhfdYW0  https://t.co/h9vJFp7hPb",[],39
11,1359690945009131520,2021-02-11,10:29:17,"110221 原来我很爱你CRUSH weibo update   On this special Chinese New Year Eve, many are spending the new year away from family due to travel restrictions. Hope that #原来我很爱你Crush can bring you some warmth, wishing you a happy, safe and joyous Lunar New Year  #LinYanjun  https://t.co/iuVyorzFSK","['原来我很爱你crush', 'linyanjun']",39
12,1359455706911416323,2021-02-10,18:54:32,SATS swings into 3Q loss of $2.8 mil amid travel restrictions  https://t.co/civJ8S3ExZ,[],9
13,1359413090467663873,2021-02-10,16:05:12,Grant Shapps now saying the harsh new travel restrictions are much needed so why were there no fucking restrictions at all up to now?,[],24
14,1359411784751456260,2021-02-10,16:00:00,Around 15 countries have stepped up efforts to attract digital nomads to make up a slice of tourism revenue lost to travel restrictions.   https://t.co/KuAxz39ofB,[],22
15,1359351403349643268,2021-02-10,12:00:04,Check our latest map visualizing governments' common policy responses to the COVID-19 pandemic - from vaccination protocols and school closures to travel restrictions.  Let me know what you think!  #Map #COVID19 #Vaccine  https://t.co/sakwEITeYq,"['map', 'covid19', 'vaccine']",28
16,1359304183787237376,2021-02-10,08:52:26,Johor Baru braces for a quieter Chinese New Year as travel restrictions bite  https://t.co/jIvs88OfdS #singapore #jobs,"['singapore', 'jobs']",13
17,1359180399348387840,2021-02-10,00:40:34,Britain tightens COVID-19 travel restrictions with hotel quarantine and prison threat  https://t.co/lGYJgZIZT3  https://t.co/cVUCewgSbE,[],11
18,1359151681519325184,2021-02-09,22:46:27,This isn't exactly what I wanted to read  #COVID19 #travelrestrictions    https://t.co/3sXQnFLpvM,"['covid19', 'travelrestrictions']",7
19,1359128457645416454,2021-02-09,21:14:10,COVID-19: Singapore tightens travel restrictions for Vietnam travellers; New South Wales visitors to take test on arrival  https://t.co/tkBD6C7Yqj  https://t.co/GwtuJ3OEHA,[],17
20,1359093482162327553,2021-02-09,18:55:11,Johor Baru braces for a quieter Chinese New Year as travel restrictions bite  https://t.co/2KxRtQaEEX via @TODAYonline,[],14
21,1359075957957513217,2021-02-09,17:45:33,Johor Baru braces for a quieter Chinese New Year as travel restrictions bite  https://t.co/SPzDSD23H2  https://t.co/G78XJQHhnn,[],13
22,1358756011025133569,2021-02-08,20:34:12,Travel restrictions to remain for 'foreseeable' future says Housing Minister  https://t.co/sz6iJpCykD RT @breakingnewsie,[],11
23,1358660261888987136,2021-02-08,14:13:43,Tahiti's sudden tourism restrictions provide a lesson to people who can't wait to travel  https://t.co/mJc9oJhSz4,[],12
