,id,date,time,tweet,hashtags,num_words
1,1360997334432112642,2021-02-15,01:00:25,last 2 days of hbl. lesgooooo,[],5
2,1360582212895313923,2021-02-13,21:30:52,I’m feeling so sad 😭 one man can make the difference for so many life’s  @alanlorenzofficial the only one  Our legend passed away ... I can’t believe it 😢😢 Let’s continue his legacy 🙏❤️  https://t.co/NvLK0cKcrh,[],33
3,1360504757438173186,2021-02-13,16:23:05,#gesslearns #pe #HBL #Sportunterricht Commentary: Your PE teacher’s secret headaches during a year of COVID-19  https://t.co/UcuvJuRTlt,"['gesslearns', 'pe', 'hbl', 'sportunterricht']",12
4,1360124004963647489,2021-02-12,15:10:07,Happy new year to all my friends from Asia #asia #ncy #newyear #chinesenewyear #healthy #wealthy  https://t.co/9Wq3vjEy8c,"['asia', 'ncy', 'newyear', 'chinesenewyear', 'healthy', 'wealthy']",9
5,1359868207130021888,2021-02-11,22:13:40,When u get married on HBL day but you need the attendance,[],12
6,1359714219256541192,2021-02-11,12:01:46,"@aditi_hbl @newsclickin Don't give up newsclickin, we are with you and now it's common and everyone know who speak against this BJP they creat problem @abhisar_sharma @ndtv @kishanektamorch",[],21
7,1359496064475172865,2021-02-10,21:34:54,Bonus! Its my working saturday of HBL session lagi..... ugh why ☹️,[],11
8,1359400452924735489,2021-02-10,15:14:59,i went all the way to school only to realise the lecturer texted on teams at 10.30 last night saying there was hbl class today instead i’ll k1ll u,[],28
9,1359115618688004102,2021-02-09,20:23:09,yess this coming term they lessening hbl class,[],8
10,1359049938726838275,2021-02-09,16:02:09,Thankfully HBL ended early today,[],5
13,1358995709819715585,2021-02-09,12:26:40,next tests will be physics n Aero dynamics but I don't understand tf they talking in hbl send help,[],18
14,1358952378850922496,2021-02-09,09:34:29,hbl kul 10 but im down here accompanying my gdmother in the market,[],12
16,1358658082453086208,2021-02-08,14:05:04,I wish lessons are just HBL all the way,[],9
17,1358605471179890688,2021-02-08,10:36:00,i don’t even want to participate in today’s HBL. i’m exhausted.,[],14
19,1358435135792705536,2021-02-07,23:19:09,"@gracexxi_ and also if my video is off anot HAHAHAHAHAHA HAIS LIFE OF HBL , u cant even trust the com and urself HAHAHA",[],22
22,1356645919999938563,2021-02-03,00:49:27,Rising HBL Stars 🏀🇹🇼⭐️  Rookies making a name for themselves early  ➡️  https://t.co/sEhyP0uIua  https://t.co/bcklwIyplV,[],10
23,1355897184927924224,2021-01-31,23:14:14,"It's sad that I need to go to school tmrw when it's supposed to be hbl 🙂 thank you ""project""",[],17
24,1355531740777836544,2021-01-30,23:02:06,Supposed to have hbl on Monday but I need to go to school for project 🙂 The funny part is 3 of them year 2 and I'm the only one from year 1 how 🥴,[],29
25,1353493742657757185,2021-01-25,08:03:49,my god do i wish it was hbl,[],8
26,1351678978432483331,2021-01-20,07:52:36,why couldn’t we just fuckin hbl today😭,[],8
27,1351327161106370561,2021-01-19,08:34:36,Hbl is sucha god blessing lah❤️,[],6
28,1351171846260064260,2021-01-18,22:17:26,"18/01/21 Theres alot to say in my mind but sokay I have my ranting account. Today is somewhat productive but disappointed in myself cause I fell asleep after hbl. At least i did my workout after that and didn't give in to my laziness. I shall not give up, never again!",[],49
29,1351021104144510979,2021-01-18,12:18:26,"Before hbl start, fast game food. Rice is too slow so meh  https://t.co/o9qjjKuWAz",[],12
32,1350314044998078466,2021-01-16,13:28:50,im happy to be in hnitec but is so sad tht next week my frens hbl i go sch 😭😭 da tkle gi skola tgt n balek tgt 😤😤 I'm a loner now hAISS,[],31
33,1349758691449344001,2021-01-15,00:42:04,soooo abruptly bought a macbook just for hbl next week...but sokayh need it for sch anyways,[],17
34,1349524084715995136,2021-01-14,09:09:49,If u need to sleep just listen to hbl lesson,[],10
36,1348461802019901440,2021-01-11,10:48:41,First hbl slept the whole lesson.🤦🏽‍♂️,[],6
37,1326787146229932033,2020-11-12,15:21:20,"Alr was stressed with HBL, this @TanviiSingh irritated me more with her legs riddle 🙄",[],13
38,1326208460518641669,2020-11-11,01:01:51,ppd interview ltr hopefully it will go smoothly . anyws hbl je pon so it will b fine i guess,[],19
39,1321982241996644352,2020-10-30,09:08:22,CANT BE ASKED WITH HBL,[],5
42,1320945710729023488,2020-10-27,12:29:34,just remembered my lifeskills interview will be on hbl 🤡,[],9
43,1319122660933005313,2020-10-22,11:45:25,hbl just malas sia like the work is so irrelevant,[],10
44,1318526860553146375,2020-10-20,20:17:55,hbl makes my day look soo long coz i can take multiple naps in a day 😴,[],16
