,id,date,time,tweet,hashtags,num_words
0,1361088612457091072,2021-02-15,07:03:07,Lockdown is not all bad for FGIDs.This paper showed some actually had it better during COVID-19.  https://t.co/56AeBGPTBf   Our paper show that WFH 🏠may be beneficial for FD/IBS.    https://t.co/BLjElg1tdp  #IBS #COVID19 #GItweet #Gastroenterology  #ANMA @drkeithsiau @DrCalvinKoh,"['ibs', 'covid19', 'gitweet', 'gastroenterology', 'anma']",26
2,1361059941843406855,2021-02-15,05:09:12,Japan to further ease Covid-19 entry curbs but not for tourists: Media  https://t.co/KYajUAlxVq via @stcom #Retailer #WFH,"['retailer', 'wfh']",13
3,1361029751402614790,2021-02-15,03:09:14,"Economic Affairs Minister Mustapa Mohamed said the government has made several new proposals to ""improve"" the project, saying that both Malaysia and Singapore have until Dec 31 to negotiate the matter.  https://t.co/5mvJLMh0O2 via @stcom #WFH #DORSCON","['wfh', 'dorscon']",31
4,1361001609392611328,2021-02-15,01:17:24,"@Gamskee If you are interested in working with us, just contact us directly via DM or email ohayo@collateralds.com. All the best!   https://t.co/n5ouRbiDK5",[],20
5,1361001373228130305,2021-02-15,01:16:28,"@Gregor_Wakounig Will be interested in knowing more. If your friend is interested in working with us, s/he can contact us directly via email at ohayo@collateralds.com   https://t.co/n5ouRbiDK5  Thanks!",[],26
6,1360986394009554949,2021-02-15,00:16:56,Day 45  white pencil - a 365 days quick detail sketching using the ipad/notesapp #interiordesign #sketch #paperless @appleforarch #drawing #art #illustration #like #make #build #Concept #design #note #wfh  https://t.co/Hnl7V2CVVl,"['interiordesign', 'sketch', 'paperless', 'drawing', 'art', 'illustration', 'like', 'make', 'build', 'concept', 'design', 'note', 'wfh']",12
7,1360969375411556354,2021-02-14,23:09:19,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused.  https://t.co/56X4i2LY2u via @stcom #Coronavirus #WFH,"['coronavirus', 'wfh']",15
10,1360908953769676809,2021-02-14,19:09:13,"""Phuket's economy needs foreign demand to bounce back but we also have to balance infection risks and the economy,"" said Bhummikitti.  https://t.co/youDRwcT60 via @stcom #Quarantine #WFH","['quarantine', 'wfh']",21
13,1360848573324292096,2021-02-14,15:09:17,"He said his client, Syed Suhail Syed Zin, 44, was scheduled to be hanged before those who were sentenced after him.  https://t.co/HxYklk01hT via @stcom #DORSCON #WFH","['dorscon', 'wfh']",21
16,1360619615085154305,2021-02-13,23:59:29,Day 44  white pencil - a 365 days quick detail sketching using the ipad/notesapp #interiordesign #sketch #paperless @appleforarch #drawing #art #illustration #like #make #build #Concept #design #note #wfh  https://t.co/x8JiGwqXsE,"['interiordesign', 'sketch', 'paperless', 'drawing', 'art', 'illustration', 'like', 'make', 'build', 'concept', 'design', 'note', 'wfh']",12
19,1360546593565466626,2021-02-13,19:09:20,"Until we resolve the issues, subscribers need not log in to access ST Digital articles.  https://t.co/96Dcg778vI via @stcom #SmallBusinessOwner #WFH","['smallbusinessowner', 'wfh']",16
23,1360458890643599362,2021-02-13,13:20:50,WFH Is Corroding Our Trust in Each Other   https://t.co/np9nPZymX2,[],8
24,1360445507705790465,2021-02-13,12:27:39,@WxOxD Yep. The email (ohayo@collateralds.com) works. Thank you for the compliment.,[],10
25,1360421071900401666,2021-02-13,10:50:33,"@WxOxD Hello! If you are looking for a children's book illustrator, I'll like to put an artist of out team forward for your consideration. Just DM us or email ohayo@collateralds.com if you want to work with her. Thank you!  https://t.co/8Io98G6EEV",[],36
26,1360385700386938880,2021-02-13,08:30:00,"#newnormal, new innovations– with #WFH still in place, SUTD students Tan Hong Zhang and Dylan Raharja, and NUS student Lim Wei Xiang Andy came up with a business to sell customisable #3dprinted bio-degradable planting pots for home gardeners.  https://t.co/66qG99r1vr  https://t.co/rn30AvuIxM","['newnormal', 'wfh', '3dprinted']",34
27,1360335160479264769,2021-02-13,05:09:10,BioNTech co-founder says its Covid-19 vaccine 'highly likely' works against British variant  https://t.co/CnnTlpFiQl via @stcom #WFH #SmallBusinessOwner,"['wfh', 'smallbusinessowner']",12
28,1360304971749748744,2021-02-13,03:09:13,"Dr Leong Hoe Nam, an infectious diseases expert at Mount Elizabeth Novena Hospital, added that one potential source of risk could be when passengers use airplane toilets.  https://t.co/g1Fog1MbDL via @stcom #WFH #COVID19","['wfh', 'covid19']",28
29,1360274815714754578,2021-02-13,01:09:23,Elite Thai visa programme aims to lure expats seeking coronavirus haven  https://t.co/kGVpWGU1ww via @stcom #WFH #Pandemic,"['wfh', 'pandemic']",12
30,1360242247040552965,2021-02-12,22:59:58,Day 43  white pencil - a 365 days quick detail sketching using the ipad/notesapp #interiordesign #sketch #paperless @appleforarch #drawing #art #illustration #like #make #build #Concept #design #note #wfh  https://t.co/rI1OX6HuBg,"['interiordesign', 'sketch', 'paperless', 'drawing', 'art', 'illustration', 'like', 'make', 'build', 'concept', 'design', 'note', 'wfh']",12
33,1360205822349905920,2021-02-12,20:35:14,The guys of @AniTrendz visited our studio back in 2019 and did a short interview with the artists present! Do visit us again when everything is back to normal!    https://t.co/xjWuUSPMg5,[],27
35,1360153977338421248,2021-02-12,17:09:13,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused.  https://t.co/iCDHdkx5IL via @stcom #Coronavirus #WFH,"['coronavirus', 'wfh']",15
36,1360125527852371971,2021-02-12,15:16:10,Baker McKenzie cuts floorspace in new City office lease on Covid WFH success  https://t.co/hIu9EQLpjs RT @FinancialNews,[],14
37,1360120983760248832,2021-02-12,14:58:07,Wfh and still living under one roof with my parents is my current privilege.,[],14
38,1360066040491724801,2021-02-12,11:19:47,Public Holiday but got to work pa rin. WFH here. Wala si housemate. Tara? lol jk!,[],16
40,1360013757259350017,2021-02-12,07:52:02,Fully agree. Support from leaders who understand the need for #flexibility is essential in assisting employees to effectively navigate #WFH and pave the way for a better #futureofwork.  #employeeexperience #remotework   https://t.co/SILnKyrE60  https://t.co/ReaNMV2Rfg,"['flexibility', 'wfh', 'futureofwork', 'employeeexperience', 'remotework']",25
41,1359942594256633856,2021-02-12,03:09:15,The invisible struggle of girls with ADHD  https://t.co/cphgVTU4qo via @stcom #WFH #Pandemic,"['wfh', 'pandemic']",8
42,1359916757729726466,2021-02-12,01:26:35,Day 42  white pencil - a 365 days quick detail sketching using the ipad/notesapp #interiordesign #sketch #paperless @appleforarch #drawing #art #illustration #like #make #build #Concept #design #note #wfh  https://t.co/q4xkTsSLIn,"['interiordesign', 'sketch', 'paperless', 'drawing', 'art', 'illustration', 'like', 'make', 'build', 'concept', 'design', 'note', 'wfh']",12
44,1359889260547960839,2021-02-11,23:37:19,IS THIS WHEN I SHOULD SAY HENG I CAN WFH?!,[],10
47,1359821780874104833,2021-02-11,19:09:11,But Reuters/Ipsos polling conducted from Friday to Tuesday shows there are far fewer undecided likely voters this year - around 8 per cent - and they are just as likely to pick Biden as they are Trump.  https://t.co/jl1qaAEx26 via @stcom #Coronavirus #WFH,"['coronavirus', 'wfh']",36
50,1359791601648889856,2021-02-11,17:09:16,"Until we resolve the issues, subscribers need not log in to access ST Digital articles.  https://t.co/n3B8JXnOGZ via @stcom #WFH #Quarantine","['wfh', 'quarantine']",16
54,1359759125693911040,2021-02-11,15:00:13,Very keen to understand the company culture alluded to here.    https://t.co/3zrViDwk49  #cathead #schooluniform #office #wfh #standingdesk  https://t.co/XF5ivLlrXC,"['cathead', 'schooluniform', 'office', 'wfh', 'standingdesk']",10
55,1359756517038202880,2021-02-11,14:49:51,"Bought 2 for my WFH setup, definitely worth the price! So comfortable!! #ErgoTune  https://t.co/q39F7jKUV1",['ergotune'],11
58,1359721695393640451,2021-02-11,12:31:29,Work is done! Time to off and enjoy 2 weeks of WFH...  https://t.co/6x7gZZVmuu,[],11
