,id,date,time,tweet,hashtags,num_words
1,1364599325075120134,2021-02-24,23:33:26,what kind of house ? when you go home you are afraid to go home that’s not a house,[],19
4,1364297030521159681,2021-02-24,03:32:14,i pity this girl stuck outside her house (meanie parents😠),[],10
5,1364169110280540161,2021-02-23,19:03:55,so guys i’m married :),[],5
6,1363896681083768832,2021-02-23,01:01:23,"Apparently this eggy spinach soup is currently a trending dish at food courts in Singapore; people were kind enough to drop it off so we could try while observing SHN. It's delicious, and the egg is a mix of century egg and salted egg 😗👌  https://t.co/iTW954X2GY",[],43
7,1363895959978012677,2021-02-23,00:58:31,"My phone does not do it justice, but the view is terrific at night too. Love this city. #shn  https://t.co/1v2WK4VImV",['shn'],18
9,1363695042854981634,2021-02-22,11:40:09,Hope for a productive day! 1st day working SHN,[],8
11,1363422273948983296,2021-02-21,17:36:15,"S'porean serving SHN uses Post-its to befriend SHN guest in opposite hotel, buy each other bubble tea  https://t.co/nTiRvYA7Og",[],15
12,1363413443647217671,2021-02-21,17:01:10,"S'porean serving SHN uses Post-its to befriend SHN guest in opposite hotel, buy each other bubble tea  https://t.co/Aqv5oc7Pil  https://t.co/HjRUCQHC14",[],15
14,1363317986648489987,2021-02-21,10:41:51,Wish I am ill so I get to take a long MC... I don't even mind testing positive for a month if I get to SHN...,[],25
15,1363044587380514824,2021-02-20,16:35:28,someone date this kid pls,[],5
16,1362828584981651457,2021-02-20,02:17:09,@milksteamedbuns ME PLS I NEED MONEY,[],5
17,1362788041845186561,2021-02-19,23:36:03,falling asleep with her is the best,[],7
18,1362722998487158786,2021-02-19,19:17:35,Exempting WEF delegates from SHN is a slap in the face for the sacrifices that Singaporeans have made  https://t.co/RoBMGQhjU1,[],18
19,1362722012758634498,2021-02-19,19:13:40,i’m lowkey having a panicky moment rn i don’t know what to do,[],15
20,1362673223637209088,2021-02-19,15:59:48,Exempting WEF delegates from SHN is a slap in the face for the sacrifices that Singaporeans have made - The Online Citizen Asia  https://t.co/chPqvYmubT,[],22
21,1362672497867464704,2021-02-19,15:56:55,Exempting WEF delegates from SHN is a slap in the face for the sacrifices that Singaporeans have made  https://t.co/Zi6RizYnOb,[],18
22,1362605462634463233,2021-02-19,11:30:32,10 Facts About Connect @ Changi Whereby Travellers Can Come to S’pore Without SHN  https://t.co/kfFlx07j08,[],13
24,1362439560169283586,2021-02-19,00:31:18,i love watching this girl sleep,[],6
25,1362429565834907648,2021-02-18,23:51:35,pls don’t sleep mad at me,[],7
27,1362362624441163778,2021-02-18,19:25:35,“Why double standards?”: Netizens slam Govt for exempting World Economic Forum attendees from SHN period  https://t.co/VIjv36v2gp,[],15
32,1362308291724931073,2021-02-18,15:49:41,Know any travellers who needs to serve Stay-Home-Notice (SHN) suitable accommodation of their choice upon arrival at Singapore?  AIMS Global Mobility Team has rolled out a comprehensive SHN support package and services to make their SHN a breeze! Scan the WhatsApp QR code now!  https://t.co/Fg3ewBCRyO,[],43
34,1362279843463790597,2021-02-18,13:56:39,someone pls be her boyf just don’t be a skater and you are good enough,[],16
36,1362257097602129926,2021-02-18,12:26:16,The food in the Singapore SHN hotel (Swissotel) is pretty good so far. They've been dropping off some Oreos and Bananas too.  https://t.co/HBGmGnzCJa,[],21
42,1355722070496169989,2021-01-31,11:38:24,Finally completed my 14 days SHN quarantine.  https://t.co/ucsxttAmFe,[],6
81,1352191685690683393,2021-01-21,17:49:55,So I offered to be the delivery man for another SHN penis  His list a bit  'posh' need to go to Cold Storage to get them,[],26
93,1351151630843064325,2021-01-18,20:57:06,"We were supposed to meet up for lunch or something but @IdahElissa gave birth and my kids kena SHN..  Such is life, one can only plan. But alhamdulillah for everything.",[],29
94,1351066212109856777,2021-01-18,15:17:41,My kids on 5days SHN.. I stock up like kedai runcit. I think we'll last for the whole mth.,[],17
97,1350610409838043136,2021-01-17,09:06:29,"The SHN at #Singapore border will be tighter from 18 Jan 2021, 2359hrs onwards. 14 days SHN at dedicated government facilities plus an additional 7days SHN at your residence. #COVID19  https://t.co/ycqbmWljLo","['singapore', 'covid19']",23
98,1350340853659705345,2021-01-16,15:15:22,Hubs alrd book tribe car for today but i’m on SHN.. apa la nasib 😭,[],15
100,1349189777254477824,2021-01-13,11:01:24,View for 14 days.  #shn #covid19 #singapore🇸🇬 #quarantinelife #backtowork @ Swissotel The Stamford  https://t.co/b37QFZxWjv,"['shn', 'covid19', 'singapore', 'quarantinelife', 'backtowork']",6
101,1348497028221833218,2021-01-11,13:08:40,5th day back in Singapore doing quarantine time #SHN. It has been good being able to dwell and not be rushed to think about the next thing I have to do. Thanks to all hotel staff @ Hotel Jen Tanglin who are serving. Thanks for your encouraging notes.  https://t.co/U21eqC1Z2B,['shn'],45
106,1342143032083140608,2020-12-25,00:20:09,@saltypootato Sorry but 5 days shn bro 🤣,[],5
107,1341603351461584897,2020-12-23,12:35:39,Singapore skyline at night. View courtesy of @swissotelthestamford and this awesome hotel room. #shn #quarantine #quarantinelife #2020 @ Swissotel The Stamford  https://t.co/32qx9ChDOI,"['shn', 'quarantine', 'quarantinelife']",15
108,1339873802784710656,2020-12-18,18:03:02,Just want to get a refill... i left 5 days only.. this water bottle is too much 😜 i hope you give soda also 🥰  #Shn #BluredG #nyrm #grandhyattsingapore @grandhyattsing  https://t.co/oBmAfA9nwZ,"['shn', 'bluredg', 'nyrm', 'grandhyattsingapore']",22
109,1339267435019399169,2020-12-17,01:53:33,So tempting to take eva out for a ride. But damn im on SHN,[],14
110,1338765471638646785,2020-12-15,16:38:56,@ganglygoose think u might need to extend ur shn bc it must be some fever dream u havin if u think i said that,[],23
112,1337303313239326726,2020-12-11,15:48:50,Breach SHN just to buy bubble tea? You know what? I say ban the damn tea we don't need the sugar .... Now who is with me,[],25
113,1335747683190005761,2020-12-07,08:47:19,Labour of love over the last six days 😊 thanks @thelionrockpress and @keyakamat 🥰🥰 was determined to finish this before our #SHN ended #puzzles #athome #singapore #entertainment @ Singapore  https://t.co/M77S5LnSyv,"['shn', 'puzzles', 'athome', 'singapore', 'entertainment']",19
114,1334851717859426314,2020-12-04,21:27:04,Huge thanks to PP for organising this lovely @glenfiddichwhisky for us to ‘sustain’ ourselves through our 7 day SHN #singapore #fridaynight #fridayvibes #whisky #athome @ Singapore  https://t.co/S5ktm5EsJR,"['singapore', 'fridaynight', 'fridayvibes', 'whisky', 'athome']",18
116,1334508508893622276,2020-12-03,22:43:17,"Fooled around with video recording and editing. Two seconds a day, documenting the SHN experience.  https://t.co/QPULqABDqV",[],15
117,1334379284740198407,2020-12-03,14:09:47,Done with SHN! Time for a haircut...,[],7
118,1334332558675333124,2020-12-03,11:04:07,"Pest control to deal with SHN hotel guests' cockroach complaints  https://t.co/lwCSzFZRQa #readOnTNP via @thenewpaper,",['readontnp'],11
120,1333951698285551622,2020-12-02,09:50:43,How we are spending our 7 day #SHN. Thanks @keyakamat and @thelionrockpress #singapore #quarantine #puzzle #singaporeig @ Singapore  https://t.co/OMZkqQIP6V,"['shn', 'singapore', 'quarantine', 'puzzle', 'singaporeig']",9
139,1329624214295470080,2020-11-20,11:14:50,20201120 SHN with my first love. . #live #love #laugh #singapore #seen #scene #instagram #iphonography #shotoniphone #dogsofinstagram #dogs #furkids #nicoletheratterrier @ Singapore  https://t.co/9TT9kgSNmJ,"['live', 'love', 'laugh', 'singapore', 'seen', 'scene', 'instagram', 'iphonography', 'shotoniphone', 'dogsofinstagram', 'dogs', 'furkids', 'nicoletheratterrier']",6
142,1327447599452884992,2020-11-14,11:05:45,Choon when you’re stuck WFH or on 5 days SHN or on full lock stock barrel quarantine...   High Contrast - Days go by  https://t.co/XKk5HEx6XV via @YouTube,[],23
143,1326087534833664001,2020-11-10,17:01:20,Seriously this FT that come back to SG ah. Can u at least get a pre-paid sim cards. If not the MOM ppl is going to hunt me day and night and ur SHN will be extended if u all dyn follow their procedure.  https://t.co/Qv7WNLr94P,[],43
145,1323104727891013632,2020-11-02,11:28:43,@Perignonic Not SHN hor Ivan sannnn? Still can go out lah. But do rest more horrrrrr!,[],15
154,1318156239768047617,2020-10-19,19:45:12,SHN for a week here... Let's go!!! (@ Hotel Nuve Urbane in Singapore)  https://t.co/xuYO6jNe2k  https://t.co/JOM7DdLDYA,[],11
155,1317697413533020162,2020-10-18,13:21:59,"SHN DAY 13 - LUNCH  And you thought curry was over, well it's back!   Murtabak served for lunch but I'm holding this out since my aunt delivered lunch.   #StayHomeNotice #covid_19 #singapore @ Mercure Singapore Bugis  https://t.co/KzHDdw6gkj","['stayhomenotice', 'covid_19', 'singapore']",27
156,1317636799750115329,2020-10-18,09:21:08,"SHN DAY 13 - BREAKFAST  No curry dishes this morning.   Yesterday's dinner was 1 epok-epok, fries and roti john.   Let's see what's next for lunch  #StayHomeNotice #covid_19 #singapore @ Mercure Singapore Bugis  https://t.co/U325x3UppJ","['stayhomenotice', 'covid_19', 'singapore']",21
157,1317283036434731008,2020-10-17,09:55:24,"SHN DAY 12 - BREAKFAST  Roti Prata (curry, again)  This is one curry dish that I am ok with. We were served fish curry with rice and tofu for dinner yesterday.  #StayHomeNotice #covid_19 #singapore  https://t.co/FT96nLrNYx","['stayhomenotice', 'covid_19', 'singapore']",29
158,1317260653489311744,2020-10-17,08:26:27,"@frhn @yokey017 @HerpeticCaprine @contrabandkarma I think they test you immediately so they know if you will be put under SHN (negative) or Quarantine (positive) &amp; if you need any medical treatment. After 14 days, if you get a second neg then you will end your SHN. This is like a double confirmation. :)",[],46
159,1316561150256074753,2020-10-15,10:06:53,"SHN BREAKFAST DAY 10  Curry (again) with Beras Kencur  I'll be posting up the meals, as much as I've remembered to snap in due time! And you'll see whaat I mean aitee..   #StayHomeNotice #covidsg #singapore  https://t.co/4pH3VGxDu2","['stayhomenotice', 'covidsg', 'singapore']",28
160,1316358240599408640,2020-10-14,20:40:35,"PIZZA THERAPY  Sent in a request to my wife, @khatijahbegum to deliver the best therapy in the world, 🍕, and specifically from @dominossg.   Why can't they serve pizza for SHN?   #StayHomeNotice #covidsg #singapore  https://t.co/5VEAoCJCNQ","['stayhomenotice', 'covidsg', 'singapore']",26
162,1314536418253840384,2020-10-09,20:01:19,Celebrating the end of our Mat/Paternity leave with a bottle of bubbles 🥂 on day 7 of Quarantine #SHN 🇸🇬   Forever grateful to @twitter 🐦 for giving me this last 4 months with family 🙏🏼 👨‍👩‍👧‍👦 👶🏼 👧🏼 @finn_zoe  https://t.co/nvvhRpUgtS,['shn'],28
164,1313790925164994560,2020-10-07,18:39:00,Chao cheebye la fuck ur mother all u stupid fuckers serving SHN then put payment as cash u funny or what,[],21
166,1312048957413969921,2020-10-02,23:17:02,Back to our home #2 🇸🇬 Day 1 / 14 quarantine #shn - sea/pool view to really tease us 😜😎🙌🏼 #quarantinewithkids  https://t.co/PJo2r92Ygh,"['shn', 'quarantinewithkids']",13
171,1308768306258685952,2020-09-23,22:00:54,"🤧SHN HOTEL FOOD THREAD: -&gt;   hi so i don’t know if y’all got to see much of the food served during our gov funded stay in prison; sorry hotel*.   here’s a collection of food pics post arrival from nyc, 21/09/2020   x  #covid19 #stayhomenotice #SHN #QuarantineLife","['covid19', 'stayhomenotice', 'shn', 'quarantinelife']",42
172,1306825872154918912,2020-09-18,13:22:22,But should maintain the 14 days SHN once they come back.,[],10
173,1306220328419389440,2020-09-16,21:16:09,Singapore 🇸🇬 SHN Hotel correct as of Sep 2020. You need to call them to check for the latest pricing.  https://t.co/6Sr0ZGKGW4,[],18
177,1303444903846965252,2020-09-09,05:27:36,@Shawnish1 Didn’t you profile mention that you’re from Singapore? So you should know what the abbreviation “SHN” stands for.,[],20
178,1303061517110132736,2020-09-08,04:04:10,"Also, the first thing to do after SHN is getting a hair cut. It has been 5 weeks!   I sleeked the sides of my hair with wax and then hairspray, to make my hair seem shorter than it really is on flights.",[],41
179,1303060704669257728,2020-09-08,04:00:56,Bought loads of stuff for skincare and grooming. Can’t wait to receive the parcels when I’m back from SHN! 🤍,[],21
181,1302617524144467974,2020-09-06,22:39:53,"@jdeamattson @ankurgarg_111 Exactly this. I have friends from US, UK &amp; Australia who are long term (10 years plus each) Singapore residents and EP holders who are still stuck overseas for 4+ months, chasing weekly for updates on when they can return home. It’s a SHN capacity issue.",[],44
184,1298880678256193537,2020-08-27,15:11:00,"You don't like it, you can have permanent SHN wherever you came from. Don't come here and yaya papaya and tell us our gahmen rules are unnecessary. You can only complain like us if you know what ""yaya papaya"" means, hokay??",[],39
185,1298178101562585088,2020-08-25,16:39:13,@incoherentboy @jbhavan @flyscoot I hope they pay for the testing too when we come back to Singapore and serve SHN.,[],17
190,1295998140068196352,2020-08-19,16:16:49,Currently serving SHN in a hotel and singing #folklore out loud,['folklore'],10
191,1295548144214654976,2020-08-18,10:28:42,I dreamt that I was holidaying in Spain.  But my biggest worry was that my boss would be mad that I need to serve 14 days SHN when I get back.,[],30
196,1294164794577125377,2020-08-14,14:51:46,Done SHN 14 days.. Now staying for another months here (@ Singapore Marriott Tang Plaza Hotel - @marriottsg in Singapore)  https://t.co/nFlnPLWjZC  https://t.co/OzmC4bxCfq,[],16
199,1293537461595967488,2020-08-12,21:18:58,SHN day 12.. 2days more to go!!! Yeay (@ Carlton Hotel in Singapore)  https://t.co/2RLfuXEYpl  https://t.co/Z1AMk131zv,[],10
201,1292353664544169984,2020-08-09,14:54:59,@jahnveeshah We looked for flight and based on that applied for approval. We got it for 21st July. Done with our shn and back home safely.,[],24
205,1291195089071624192,2020-08-06,10:11:13,SHN day 6.. 8 days more to go (@ Carlton Hotel in Singapore)  https://t.co/DZxl3l2LmI,[],10
207,1290115858237292546,2020-08-03,10:42:44,All travellers entering S'pore to wear electronic monitoring device while serving SHN outside dedicated facilities  https://t.co/ogb91dQTbo,[],14
208,1289970474521436161,2020-08-03,01:05:02,An amazing meal at the Shangri-La Hotel with my dear friend Albert Chiu.   Albert just finished his 14 day SHN at noon on Saturday after returning from overseas and I am honoured to be his first dinner “date” after…  https://t.co/SMdU4RYpTB,[],37
209,1289806191703371777,2020-08-02,14:12:14,Looks like we have beg #GrandHyattSingapore for our quarantine meals each day. How can they forget it everyday. Awesome service. Long live Hyatt service quality #SHN #Singapore #Quarantine,"['grandhyattsingapore', 'shn', 'singapore', 'quarantine']",24
213,1289094515064631296,2020-07-31,15:04:17,Serving SHN at home. Constantly being nagged by my mum. NON STOP,[],12
221,1287721296973963264,2020-07-27,20:07:36,"New toys have arrived!  #googlenest #SHN #SG #Singapore #jclsolo @ Punggol, Singapore  https://t.co/y9d2fc6F68","['googlenest', 'shn', 'sg', 'singapore', 'jclsolo']",6
222,1287034376572862464,2020-07-25,22:38:01,53 years and still looking amazing!   Happy Birthday அம்மா (Amma) 😘❤️  P.S - I am FaceTime because I’m still on SHN Shangri-La's Rasa Sentosa Resort &amp; Spa @ Shangri-La's Rasa Sentosa…  https://t.co/uPcI2b1i7R,[],25
226,1285358883834195968,2020-07-21,07:40:13,Sunrise and I'm off to bed! No point in changing to Singapore time when I can't go out and about 🤷🏼‍♀️ Goodnight tweeps 🥱 #crewlife #SHN #RoomLockdown #Singapore  https://t.co/CdBUqW7CtA,"['crewlife', 'shn', 'roomlockdown', 'singapore']",20
227,1285191649727934465,2020-07-20,20:35:41,When your SHN stay comes with a view! 💛 . . . . . #singapore #travel #shangrila #instagood #photography #love #asia #photooftheday #travelgram #travelphotography #sg #gardensbythebay #foodporn #igsg #wanderlust #sgig…  https://t.co/HYnMvzkkb0,"['singapore', 'travel', 'shangrila', 'instagood', 'photography', 'love', 'asia', 'photooftheday', 'travelgram', 'travelphotography', 'sg', 'gardensbythebay', 'foodporn', 'igsg', 'wanderlust', 'sgig']",8
231,1283572915644928005,2020-07-16,09:23:25,And when will we get to travel again without been subjected to SHN &amp; covid tests when when arrive back in SG? 😪,[],21
232,1281578319054430208,2020-07-10,21:17:36,"#GE2020 This uncle came by at 8:15pm and was glad there was an extension because he was waiting for his neighbour to wheel him to Chongfu School. But when asked if he was afraid of potentially being exposed to people on SHN, he says he’s already old, and he’s not afraid to die  https://t.co/jI9sLq8pH9",['ge2020'],53
