,id,date,time,tweet,hashtags,num_words
0,1364699375922868224,2021-02-25,06:11:00,💎 .Help You Getting Comfortable Eyelash Extensions  ✨ .80 Happy Clients  📍 .Located At Masai / Southkey 🪞 .Click Link For Eyelash Appointment  https://t.co/Bqf7ZmlIoq,[],17
1,1364698969729732613,2021-02-25,06:09:23,💎 .Help You Getting Comfortable Eyelash Extensions  ✨ .80 Happy Clients  📍 .Located At Masai / Southkey,[],12
2,1364643960623411203,2021-02-25,02:30:48,"Today, EMURGO's Yoroi has reached an impressive milestone.  Our Yoroi Wallet Chrome Extension has passed 100k active users. Try out Yoroi today to securely store your $ADA or $ERG and see why so many people use it as their wallet of choice.  https://t.co/rFI15uDwyt  https://t.co/SnWsexiqKL",[],40
3,1364620163048378368,2021-02-25,00:56:14,Want to do soft gel extensions but really think I do not have the patience to endure it getting stuck in my hair 🥲,[],23
4,1364553887592689666,2021-02-24,20:32:53,There will be some interest in the likely extension of certain support measures that will be announced in the March 3 UK Budget. But there will be little detail of how and when the fiscal black hole of approaching £100bn will be repaired.  https://t.co/fRJIHQmudP,[],41
5,1364545772516163584,2021-02-24,20:00:38,How high are you lifting your lashes this year? Voted Top 10 Best Eyelash Services.   Keratin Lash lift &amp; Tint $79  Eyelash Regrowth $180  Eyelash Extensions $88   Book now  https://t.co/3osr2ruMAR . Contact us at: 🏠Orchard Gateway #B2-01 ☎ 67023062  https://t.co/Fd01d86nfD,['b2'],29
6,1364525862498967555,2021-02-24,18:41:31,"{TRANS} [📢] Mnet #Kingdom &lt;INTRODUCTION STAGE&gt; Voting Period Extension Guide  ✔Voting period has been extended to Sat, 27th Feb 23:59 KST (10:59PM SGT) ✔ Vote for 3 teams including ATEEZ (invalid if voting for only 1 or 2 teams)  #FEVER_Part_2 #ATEEZ #에이티즈 @ATEEZofficial","['kingdom', 'fever_part_2', 'ateez', '에이티즈']",31
7,1364471015519121409,2021-02-24,15:03:35,No weapon can overcome the weakness of an undisciplined mind. They can only serve as an extension of the self.,[],20
8,1364455072613171201,2021-02-24,14:00:14,How high are you lifting your lashes this year? Voted Top 10 Best Eyelash Services.   Keratin Lash lift &amp; Tint $79  Eyelash Regrowth $180  Eyelash Extensions $88   Book now  https://t.co/3osr2ruMAR . Contact us at: 🏠Orchard Gateway #B2-01 ☎ 67023062  https://t.co/tJM3ffQmEZ,['b2'],29
9,1364449271269924864,2021-02-24,13:37:11,"“When i understood that the people i surround mySelf with are an extension of my energy, my beliefs, my goals? i got more selective.”",[],24
