,id,date,time,tweet,hashtags,num_words
0,1364621984789716992,2021-02-25,01:03:29,"Dear ASEAN friends, although our governments are bitching us, we know that you all are thogether and supporting Myanmar for the justice.  Myanmar people also appreciate it. We think it's time to gather and start #MilkTeaAlliance to reveal the truth.  #WhatsHapppeningInMyanmar  https://t.co/HfrAG0bCto","['milkteaalliance', 'whatshapppeninginmyanmar']",38
3,1364524992185171970,2021-02-24,18:38:04,"__________ gather in groups to sleep through the winter. Sometimes up to 1,000 of them will coil up together to keep warm.",[],20
4,1364513255125749762,2021-02-24,17:51:26,"FREEDOM FROM PRESS Today at Nay Pyi Taw. Monk and people gather at place where Mg Wai Yan Htun (16 yr old) was shot to dead by Juntas and died, while he was trying to rescue who injured protesters. Never forgive the Juntas killed innocent life #WhatsHappeningInMyanmar  #Feb24Coup  https://t.co/22JlYXarYv","['whatshappeninginmyanmar', 'feb24coup']",45
6,1364347816290578432,2021-02-24,06:54:02,I’m missing alot of people but adulting makes it difficult to gather everyone. Sigh.,[],15
7,1364329913763827712,2021-02-24,05:42:54,Greed. Waiting for $Ada to drop its prices so that I could gather more coins was one of my worst decisions this past week.  Anyone else can relate?,[],28
8,1364255097983627264,2021-02-24,00:45:36,"YANGON, MYANMAR (Feb 23) : People gather and light the candles as a form of silent protest in front of The Secretariat. #WhatsHappeningInMyanmar #Feb23Coup  https://t.co/q33tDPCJTz","['whatshappeninginmyanmar', 'feb23coup']",20
9,1364120873309859842,2021-02-23,15:52:14,Disney+: making a grand entrance  Netflix be like QUICK GATHER ALLL THE SHOWS WE CAN GRAB. SEND NOTIFICATION NOW  https://t.co/y0lZLOe9AE,[],19
10,1364116183780220932,2021-02-23,15:33:36,#Myanmar citizens can't even protest freely anymore! Military junta block&amp;restrict main roads where most protesters gather at. Where is human rights?Where is freedom? Military dictators' wickedness is unlimited for real! Please help stop this DESPOTISM.  #WhatsHappeningInMyanmar  https://t.co/Ectq3CZZxb,"['myanmar', 'whatshappeninginmyanmar']",35
11,1364113088723574785,2021-02-23,15:21:19,Hundreds gather in front of the Indonesian Embassy in Yangon denouncing the Indonesian government after Reuters reported that Indonesia is pushing a plan for the ASEAN that would keep the junta to its promise of holding elections.  https://t.co/O6Qj2nGjIJ #whatshappeninginMyanmar,['whatshappeninginmyanmar'],37
12,1364077529611571205,2021-02-23,13:00:01,Schneider Electric is proud to be one of the sponsors for  https://t.co/YWt7gGr4bC's Digital Week 2021 where they gather ASEAN's best and brightest for a 4-day virtual conference from 23-26 February!  Claim your FREE PASS from Schneider Electric here:  https://t.co/rGDQUViIco  https://t.co/SyHSIS50LF,[],34
14,1363841518985961473,2021-02-22,21:22:11,"The curfew time is in a minute &amp; the curfew time is starting from 8pm to 4am and according to 144, it’s not allowed to gather more than 5 people starting from 4am to 8pm!Nearly 200 people were arrested in Naypyitaw during Burma General Strike! #WhatsHappeningInMyanmar #Feb22Coup  https://t.co/IcC40FpP1t","['whatshappeninginmyanmar', 'feb22coup']",41
15,1363839340925779968,2021-02-22,21:13:32,"The curfew time is in a minute and the curfew time is starting from 8pm to 4am and according to 144, it is not allowed to gather more than 5 ppl starting from 4am to 8pm!Nearly 200 ppl were arrested in Naypyitaw during Burma General Strike! #WhatsHappeningInMyanmar #Feb22Coup","['whatshappeninginmyanmar', 'feb22coup']",42
16,1363831434859872258,2021-02-22,20:42:07,Military government is not capable to gather that many people for their events. I wonder do they ever feel embarrassing about this feedback from the entire nation.@UNHumanRights @hrw @YourAnonCentral  #WhatsHappeningInMyanmar  #AgainstMyanmarMilitaryCoup  #Feb22Coup,"['whatshappeninginmyanmar', 'againstmyanmarmilitarycoup', 'feb22coup']",27
17,1363807007463985154,2021-02-22,19:05:03,As an artist who involved with MANY zines. it depend on tone of the project.   Had worked on zines that laid back and friendly too.   But most zines are focusing on gather charity fund. That's why some decide to bring formal tone for professionalism and nothing is wrong with it.,[],49
18,1363773065927086080,2021-02-22,16:50:11,"MANDALAY, MYANMAR : Numbers of people gather to protest against a military coup on February 22, 2021.  #BurmaGeneralStrike  #Mandalay  #WhatsHappeningInMyanmar  #Feb22Coup  #RejectMyanmarMilitaryCoup  https://t.co/sg2YLYuwsh","['burmageneralstrike', 'mandalay', 'whatshappeninginmyanmar', 'feb22coup', 'rejectmyanmarmilitarycoup']",14
19,1363760602368405505,2021-02-22,16:00:39,"When it comes to #gamedev, you need to know what keeps your audience engaged and build the right partnerships with the industry. Gather perspective from these all-star Aussie game makers at 𝐆𝐚𝐦𝐞𝐬 𝐌𝐚𝐫𝐤𝐞𝐭 𝐁𝐨𝐨𝐭𝐜𝐚𝐦𝐩 on 24 Feb. Sign up:  https://t.co/3R8g38abYG  https://t.co/eMn3N2DbQS",['gamedev'],33
20,1363759417355689986,2021-02-22,15:55:57,"@RapporteurUn 22/2/21 The junta has blocked all routes to the US Embassy, which is one of the safest spots for protesters to gather. Why are they trying to drive us away from the sight of embassy? @RapporteurUn @KenRoth @Reaproy @USEmbassyBurma BURMA REVOLUTION  #WhatsHappeningInMyanmar  https://t.co/EYE442Ol7o",['whatshappeninginmyanmar'],36
21,1363755628699676674,2021-02-22,15:40:53,"22/2/21 The junta has blocked all routes to the US Embassy, which is one of the safest spots for protesters to gather. Why are they trying to drive us away from the sight of embassy? @RapporteurUn @KenRoth @Reaproy @USEmbassyBurma BURMA REVOLUTION  #WhatsHappeningInMyanmar  https://t.co/Jfrl91ZQYZ",['whatshappeninginmyanmar'],36
22,1363744721143668737,2021-02-22,14:57:33,"IN PICTURES: Protesters against Myanmar's military coup gather in Yangon, Monday, Feb 22  https://t.co/fRHki33ZzE  (Photos: Naung Kham)  https://t.co/pdaKqXw6yb",[],14
23,1363723776479744002,2021-02-22,13:34:19,"Anti-military regime protesters gather in Myaynigone, Yangon for the nationwide GS. BURMA REVOLUTION #BurmaGeneralStrike #WhatsHappeningInMyanmar #Feb22Coup  https://t.co/ystToa56S5","['burmageneralstrike', 'whatshappeninginmyanmar', 'feb22coup']",12
24,1363717047633412097,2021-02-22,13:07:35,"Massive crowds gather in #Mandalay  for #BurmaGeneralStrike, on Feb 22, 2021 two days after two men were killed by #Myanmar Police and Military forces.  #WhatsHappeningInMyanmar  #Feb22Coup  #CivilDisobedienceMovement  #RejectMyanmarMilitaryCoup  #FightForDemocracy  https://t.co/9TjPih2vK9","['mandalay', 'burmageneralstrike', 'myanmar', 'whatshappeninginmyanmar', 'feb22coup', 'civildisobediencemovement', 'rejectmyanmarmilitarycoup', 'fightfordemocracy']",19
25,1363698322746220545,2021-02-22,11:53:11,"Blockage of roads by junta on ways to Ambassys.  Protesters usually gather in front of those Ambassys and ask for help. Junta's wickedness is endless. Today(22.2.2021) is NationWide Strike Day. Let's win this! Hold on tight, everyone 💪 #WhatsHappeningInMyanmar  https://t.co/IOb0EtJXfC",['whatshappeninginmyanmar'],35
26,1363673618878668801,2021-02-22,10:15:01,"Nga Moe Yeik bridge which leads to Sule where protesters gather, was blocked by road train and the tires were also flatten.   Local time around 6:30am.  FB live:  https://t.co/W7ruEhkGpE  #Feb22Coup  #WhatsHappeningInMyanmar  https://t.co/ZPx04RVd9P","['feb22coup', 'whatshappeninginmyanmar']",28
27,1363671154376904706,2021-02-22,10:05:13,FT Has been very vocal on their happiness towards the referees and VAR. Why not everyone of us gather and start making a difference.   These referees need to face the music. Why are they not facing consequences of poor performance?,[],40
28,1363670528100212739,2021-02-22,10:02:44,@nathanlawkc Doctors and medical workers gather in front of the Yankin Children Hospital in Yangon for the Five 2's March to protest the military coup.  https://t.co/LboktsBNf6,[],24
