,id,date,time,tweet,hashtags,num_words
0,1362488822144012288,2021-02-19,03:47:03,@JackTheArtGuy1 I LOVE KEIICHI BC HES SUCH A POSITVE BEACON OF LIGHT HES SO FULL OF SELF-LOVE AND I LOVE THAT HE OWNS HIS OWN HAIR SALON !!!!! 🥺,[],25
1,1362376712097472514,2021-02-18,20:21:34,"Went to a hair salon nearby my 🏡, $60 for a haircut re, I said goodbye &amp; drove myself to Maccas😊",[],18
3,1357667189508116482,2021-02-05,20:27:36,#CNY #prep #haircut  Summer needs to look good for year of the Ox @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/4V2Xou6uBP,"['cny', 'prep', 'haircut']",14
4,1339998837411233792,2020-12-19,02:19:53,@ChadPergram There’s no hair salon available to do her hair 😂😂😂,[],10
5,1328869325541937153,2020-11-18,09:15:11,1st photo: My normal nonsense self 2nd pic: SUPERMODEL GORGEOUS SEXY BEAST Feeling all fresh with my new cut &amp; colour Thanks @ahhhlong.648 &amp; @musubi_sg @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/nafKqqnPR4,[],23
7,1326097264306245634,2020-11-10,17:40:00,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/1MQYHld4sV,[],8
8,1326005190131150849,2020-11-10,11:34:07,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/nJ18QSgYbg,[],8
10,1323991419518767105,2020-11-04,22:12:07,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/D0RQvTcmVp,[],8
11,1320969064605454338,2020-10-27,14:02:22,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/RDWSnve9Nq,[],8
12,1319586625136058370,2020-10-23,18:29:02,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/781jjjoR1Q,[],8
13,1318103758476316672,2020-10-19,16:16:39,GoodBye Hair~ make over at LeGracious Hair Salon #legracioushairsalon #ELMOisFAT @ Singapore  https://t.co/SVkyQ1Fr9s,"['legracioushairsalon', 'elmoisfat']",9
15,1314448280936484864,2020-10-09,14:11:06,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/NrnMbO8wnF,[],8
17,1310384611101495297,2020-09-28,09:03:31,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/V5RtNgVtFY,[],8
18,1309668282161651715,2020-09-26,09:37:05,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/OsCAZoc2z5,[],8
19,1309355976995340288,2020-09-25,12:56:06,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/xjbWYIYZ6J,[],8
20,1309319510697050112,2020-09-25,10:31:11,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/ovkGnmZq4b,[],8
21,1309014547072798722,2020-09-24,14:19:22,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/wZuiZiYhJx,[],8
22,1309002328964509696,2020-09-24,13:30:49,♠️ Beauty catches the attention  but character catch the heart  #thursdaythoughts  #ootdstyle #bethebestversionofyou  Hair // @calvingan26  📸 // @yokeqi @ Hairloom: Hair Salon Singapore  https://t.co/eZsbow9k2k,"['thursdaythoughts', 'ootdstyle', 'bethebestversionofyou']",14
23,1308582262083145731,2020-09-23,09:41:38,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/Y2BrEcAAQj,[],8
24,1306395094531047424,2020-09-17,08:50:36,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/ibofnvZb6J,[],8
25,1305201482711564291,2020-09-14,01:47:37,Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/ugBSzT7mhM,[],8
27,1301465046262841344,2020-09-03,18:20:21,@tedlieu @TheJusticeDept But. But. But.  What about the hair salon???,[],8
28,1301464203899727873,2020-09-03,18:17:00,@brianklaas But..... let’s focus on the hair salon.,[],8
30,1299545631011278851,2020-08-29,11:13:17,Hair color : Beige blonde  Length : Medium  Style : Air-touch  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/UX0uHqitDl,[],16
31,1297848238373044228,2020-08-24,18:48:27,How Many Of You Go To Hair Salon To Destress and Recharge? 🙋🏻‍♀️  A lot of people always commented that I am blessed with thick and long hair. You might not know that I have sensitive scalp and poor health conditions…  https://t.co/Smy7Yovytq,[],40
32,1297716701706874880,2020-08-24,10:05:46,Hair color : Blue grey  Length : Medium  Style : Bob Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by Takuya…  https://t.co/E1vE3kJm9u,[],18
35,1290852631204835330,2020-08-05,11:30:24,Hair color : Beige blonde  Length : Medium  Style : Air-touch  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/XhIPFmcaGc,[],16
36,1286848739609542661,2020-07-25,10:20:22,Hair color : Coral baby blue  Length : Long  Style : Ombré babylights  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON…  https://t.co/P0IG1YhYzq,[],16
37,1286600181752958977,2020-07-24,17:52:41,...long overdue haircut #milanadlyesmadi @ Yp Unisex Hair Salon  https://t.co/0KFZYwtyPB,['milanadlyesmadi'],7
38,1285600284887179264,2020-07-21,23:39:27,Will be funny if I bring my guinea pig to a hair salon and tell my stylist I want the same color as my pig. Lol. Isn't this shade beautiful?  https://t.co/FOjI0YYG1H,[],29
39,1284059525386043392,2020-07-17,17:37:02,"Leather is the new denim.🖤 Aye, but I still love all my denims ok. ＿ #hairloom #hairstyles #redhead #hotd #ahaartistes #ahundredantsartistes #JoeyPink #黎格欣 ♡ @ Hairloom: Hair Salon Singapore  https://t.co/0H6KRCOKFm","['hairloom', 'hairstyles', 'redhead', 'hotd', 'ahaartistes', 'ahundredantsartistes', 'joeypink', '黎格欣']",18
40,1283222384934154242,2020-07-15,10:10:32,Masks prevented major coronavirus outbreak at hair salon: Study  https://t.co/BPxVmX6V5G via @TODAYonline,[],10
41,1280073228787081216,2020-07-06,17:36:55,"New month, new haircut @ Rainee's Hair Salon  https://t.co/64OrsPWkpd",[],6
42,1276846503714099200,2020-06-27,19:55:03,Wasted my money at the hair salon today.,[],8
43,1268164905066270721,2020-06-03,20:57:29,Hair color : Milky ash blomde Length : Long Style : Layred  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/9sfjsiMIVs,[],18
