,id,date,time,tweet,hashtags,num_words
1,1364556652645548041,2021-02-24,20:43:52,Urgh appointment for my haircut suppose to be at 8pm and I’m still waiting.  https://t.co/kI6ZrJS1SB,[],15
2,1364545919652397058,2021-02-24,20:01:13,"@Dioclet54046121 @GarrettGoggin @DebraG_Robins Much of the eligible inventory could be long term investment  and would not be part of deliverable supply. For gold, the CME even recommends a 50% haircut on eligible inventory  https://t.co/nitmFvHK1t",[],29
3,1364521772339638275,2021-02-24,18:25:16,My haircut looks so sexy damn.,[],6
5,1364496250976964610,2021-02-24,16:43:52,@MakanCurry When Byakuya gets a haircut✂️,[],5
6,1364478612926173189,2021-02-24,15:33:46,@MothershipSG That drip 💯 also that hair cut 🔥,[],6
7,1364470029194911745,2021-02-24,14:59:40,my classmate has a muzan haircut,[],6
8,1364363967833903107,2021-02-24,07:58:13,Mikasa do be so hot in that haircut. 🥵,[],8
9,1364270482183360520,2021-02-24,01:46:44,"I answered ft and realized this one just got a haircut, I have no choice but to propose 😭😭🤤🤰🏽",[],18
10,1364204165753282560,2021-02-23,21:23:13,“after I got a haircut yoongi hyung avoided eye contact with me” PAIN. JUST PAIN.,[],15
13,1364093823085764609,2021-02-23,14:04:45,How Jimin just looks younger after his haircut. In fact baby-er 🥺🥺🥺  https://t.co/NKpVH3X6e3,[],10
14,1364086542805868551,2021-02-23,13:35:49,"Just wanna end today’s work and head home.. get a haircut, bathe and sleep..",[],15
15,1364075215009894401,2021-02-23,12:50:49,Ok but girls with the rly short no. 1 or 2 hair cut???? Yes,[],12
16,1364041513739513856,2021-02-23,10:36:54,2 logsheets till the end of internship. 3 haircuts till enlistment.,[],9
18,1363910062771593216,2021-02-23,01:54:33,#Thalapathy65 haircut pannitaru 🔥🔥 Apdina shooting begins soon,['thalapathy65'],6
19,1363897727260626950,2021-02-23,01:05:32,"Shops, haircuts return in April as UK lifts COVID-19 lockdown slowly  https://t.co/s87bvy5xeL  https://t.co/Y5RlkuP2Rv",[],11
20,1363786723969298433,2021-02-22,17:44:27,@ReallyAmerican1 So all it takes is an awesome haircut and an overnight trip to the Ritz Carlton. Elitist is the front MAGA in the back. #TexasStrong,['texasstrong'],24
22,1363647693680037893,2021-02-22,08:32:00,Jiminie’s new haircut... Sleek :),[],5
23,1363554663463755777,2021-02-22,02:22:20,From bowl haircut to my ns haircut 💇‍♂️,[],7
24,1363475009667268608,2021-02-21,21:05:49,"Recording for 宝藏般的乡村 Cr. MoonlightMelody_尤长靖   The more i see this haircut, the more cute it looks! 🥰 P.s. last episode of this variety show!  #YouZhangjing #尤长靖 #AzoraChin #Zhangjing  https://t.co/a9zkAcci2a","['youzhangjing', '尤长靖', 'azorachin', 'zhangjing']",22
