,id,date,time,tweet,hashtags,num_words
1,1364655650043813896,2021-02-25,03:17:15,"#RT @cafemom: Knock yourself out, buddy. Via @kaL12578 on Twitter #marriage #adulting  https://t.co/0pvvRJ3EkI","['rt', 'marriage', 'adulting']",7
2,1364642459062472706,2021-02-25,02:24:50,Lol i’m still thinking i am just too young to think of marriage  but envying and wondering why ppl around me start to get married this early at the same time 😂,[],32
3,1364632140978257923,2021-02-25,01:43:50,"#SavingOurMarriage Today's Challenge Ziyaphenduka Satisfaction This , Satisfaction That Orgasm This &amp; This, Kunzima Kwa Department Of Marriage",['savingourmarriage'],14
5,1364588747124211716,2021-02-24,22:51:24,"Matt can’t even help his own marriage, much less “helping industrial companies modernise their marketing strategy”",[],17
6,1364585450262855682,2021-02-24,22:38:18,"so oscar asked caelan (HUGE FAN OF JENNIE - wants to marry jennie in the future) how much he liked jennie and asked about their marriage, kids, dogs and honeymoon and then oscar DEADASS proceeds to tell caelan jennie and GD are dating HAHAH #CHUANG2021  https://t.co/hO7eqJqOUb",['chuang2021'],43
7,1364578170511503361,2021-02-24,22:09:23,marriage is so scary lol,[],5
10,1364529332467560448,2021-02-24,18:55:19,"My parents went for a staycation to celebrate their 30th wedding anniversary. Their love has only grown stronger after all these years. I’m truly blessed to have them as my role models ❤️  P.S: If my marriage doesn’t look like this in the future, I don’t want it.  https://t.co/xGuOCW08uz",[],50
11,1364518690130124803,2021-02-24,18:13:01,"A Chinese divorce court ordered a man to pay his ex-wife $7,700 for housework she did over the course of their 5-year marriage  https://t.co/5WZhMjQqLF",[],21
14,1364466189456445440,2021-02-24,14:44:24,Scary how you can  break up after being together for 7 years &amp; get married &amp; live together forever even if you’ve been together for a year before marriage. Time really doesn’t determine shit🙃,[],33
15,1364454964777558017,2021-02-24,13:59:48,theyre so good at marriage theyre on their second one,[],10
16,1364425790092316674,2021-02-24,12:03:52,"Prince Thor of Olympia in @Disney’s “The Little Mermaid The Series (Season 1, Episode 08 : Marriage of Inconvenience)”, Oct 24, 1992  https://t.co/yyafIgGZFc",[],16
17,1364424095190814723,2021-02-24,11:57:08,"Flounder and Sebastian in @Disney’s “The Little Mermaid The Series (Season 1, Episode 08 : Marriage of Inconvenience)”, Oct 24, 1992  https://t.co/g3LZUDWh0D",[],15
18,1364423292673744899,2021-02-24,11:53:57,"When it comes to the minimum wage, immigration, race relations, M4A/single-payer, gay marriage, marijuana legalization, public opinion has gone very sharply leftward very quickly. At the same time, Republican ideology has lurched rightward, making outreach more difficult.",[],36
19,1364420485602185216,2021-02-24,11:42:48,"Ariel in @Disney’s “The Little Mermaid The Series (Season 1, Episode 08 : Marriage of Inconvenience)”, Oct 24, 1992  https://t.co/pjQFfrExmy",[],13
20,1364415897096445954,2021-02-24,11:24:34,"the kid is a cutiepie i love him already, you really feel super heartbroken for him ;;;;  and this is so fresh for me in danmei because kid is from MC’s previous marriage  and later on MC’s gonna be with his CP which the kid calls him “Uncle Pumpkin” ;u; ((gonna top his dad))",[],55
21,1364407890648264707,2021-02-24,10:52:45,"#Emanet #SehYam   That’s just it Seher, there’s no need to run anywhere anymore. Deep down you know you feel strongly about your feelings for him &amp; you want this marriage..   So just spare us &amp; stop being fidgety, running away etc🙂  Subbed cr: emanet.english &amp; mihrilee 💕  https://t.co/tPc3ToeoXs","['emanet', 'sehyam']",42
23,1364347535247163393,2021-02-24,06:52:55,"@jasfile Most societal ills have their roots In not honoring the sanctity of life, the sanctity of marriage and the sanctity of work- the first ever ordinances that God instituted. The church must not fail in emphasizing these.",[],37
24,1364283971069038595,2021-02-24,02:40:20,"Typical heartbreak things, but i’ve learned it the hard way.  Also, the idea of pairing up, be it in a relationship or a marriage even, for me is a scam.  When it comes to a matter of the heart and involving other human being, do not give it a 100%. Just don’t.",[],53
25,1364275772324786176,2021-02-24,02:07:45,"@khumzayyy @TaraDomOs @CandieModiselle The fact that women could be afraid is not debatable, my point is that you can not demonize every men out there. If all women were afraid of their partners, marriages would have broken like glass. Excellent men are still there, a greater portion actually",[],45
26,1364219080077570054,2021-02-23,22:22:29,"#FeeltheJoy Don't let those #joyful moments pass by, #journal #Marriage  https://t.co/yoax1zXA0a  https://t.co/4K4KbUO1AX","['feelthejoy', 'joyful', 'journal', 'marriage']",5
27,1364210127474073600,2021-02-23,21:46:54,Rasa Sekulovic at @PlanAsiaPacific shares existing initiatives in Nepal that can end child marriages. #AVPNSouthAsia2021 #education #socialimpact @PlanNepal  https://t.co/mfPn1GXBKb,"['avpnsouthasia2021', 'education', 'socialimpact']",13
28,1364205071022493697,2021-02-23,21:26:49,"16 year old activist, Chetana Chhetri, at @PlanNepal speaks of the consequences of child marriages: 25% of women in Nepal have higher education; 33% of women are married before 18 years  #AVPNSouthAsia2021 #socialimpact #education  https://t.co/WTEKxk9EL8","['avpnsouthasia2021', 'socialimpact', 'education']",26
29,1364204257960812549,2021-02-23,21:23:35,"South Asia has witnessed largest decline in child marriage worldwide, but Covid-19 threatens to reverse progress, cautions Rasa Sekulovic, @PlanAsiaPacific @PlanNepal at #AVPNSouthAsia2021 #socialimpact  https://t.co/if9KO1FUd1","['avpnsouthasia2021', 'socialimpact']",20
30,1364203685815885824,2021-02-23,21:21:19,"~21% of young women globally are married before their 18th birthday. Rasa Sekulovic of @PlanAsiaPacific says, ""The consequences of child marriages are severe.""  #AVPNSouthAsia2021 #socialimpact","['avpnsouthasia2021', 'socialimpact']",20
31,1364199603499921409,2021-02-23,21:05:05,"The last session of the day ‘Investing in Girls’ Education and Youth Empowerment for Ending Child Marriage in South Asia; ft. Rasa Sekulovic, Chetana Chhetri &amp; Priya Varadarajan. Join us:  https://t.co/CuLbxlgeTx  #AVPNSouthAsia2021 #SocialImpact #Education  https://t.co/YOt270kjmJ","['avpnsouthasia2021', 'socialimpact', 'education']",29
