,id,date,time,tweet,hashtags,num_words
0,1361023408675250178,2021-02-15,02:44:01,"Incidence and duration of common, early-onset adverse events occurring during 2 randomized, placebo-controlled, phase 3 studies of sodium oxybate in participants with narcolepsy  https://t.co/JUJcbkUkaM",[],19
2,1360871846636183555,2021-02-14,16:41:46,"#COVID19 update in #Singapore 🇸🇬 on Feb. 14:  ◾ Cases in the community: 0 ◾ Cases residing in dormitories: 0 ◾ Imported cases: 14  59,800 coronavirus cases  #Phase3 #WearAMask #SocialDistancing  #StayHome #StayAtHome #StayAtHomeSaveLives  https://t.co/dEgNuelfC6","['covid19', 'singapore', 'phase3', 'wearamask', 'socialdistancing', 'stayhome', 'stayathome', 'stayathomesavelives']",16
3,1360673985839595520,2021-02-14,03:35:32," https://t.co/JETl5kfTwH It is Day 48 Post Circuit-Breaker, Phase 3. The second day of CNY is usually a whirlwind of visitations but this year, not so much. But it was still an enjoyable day.  Saturday, 13th February 2021.",[],31
4,1360591049668792324,2021-02-13,22:05:59,Finished inking page 9 last night... just 3 more to go. Taking a break tonight. I really wanna clear the ink phase this month and not drag production any longer.,[],28
6,1360493380157931522,2021-02-13,15:37:53,"#COVID19 update in #Singapore 🇸🇬 on Feb. 13:  ◾ Cases in the community: 0 ◾ Cases residing in dormitories: 0 ◾ Imported cases: 9  59,786 coronavirus cases  #Phase3 #WearAMask #SocialDistancing  #StayHome #StayAtHome #StayAtHomeSaveLives  https://t.co/MV7csrMK3I","['covid19', 'singapore', 'phase3', 'wearamask', 'socialdistancing', 'stayhome', 'stayathome', 'stayathomesavelives']",16
7,1360444286450434048,2021-02-13,12:22:48,"#WFHDiaries (CB Phase 3, Day 22 (Day 287): Monday Work Shenanigans x First Time Trying Yun Nans 云海肴 @ Jewel Changi Airport - 18 Jan 2021  https://t.co/u5qakVacSU #yunnanssg  https://t.co/YPOup21JUt","['wfhdiaries', 'yunnanssg']",17
8,1360406515144744960,2021-02-13,09:52:42,Will affect CBA Phase 3. We'll know in 10 days time.,[],8
9,1360271267576729601,2021-02-13,00:55:17," https://t.co/l0YNZYyAab It is Day 47 Post Circuit-Breaker, Phase 3. Survived the first day of CNY.  Friday, 12th February 2021.",[],13
10,1360156585469702144,2021-02-12,17:19:35,"#COVID19 update in #Singapore 🇸🇬 on Feb. 12:  ◾ Cases in the community: 2 ◾ Cases residing in dormitories: 0 ◾ Imported cases: 16  59,777 coronavirus cases  #Phase3 #WearAMask #SocialDistancing  #StayHome #StayAtHome #StayAtHomeSaveLives  https://t.co/cQRm8Stpa8","['covid19', 'singapore', 'phase3', 'wearamask', 'socialdistancing', 'stayhome', 'stayathome', 'stayathomesavelives']",16
11,1360115377145999365,2021-02-12,14:35:50,Time for vacation and CBA Phase 3.,[],6
12,1360113637684174849,2021-02-12,14:28:55,@woonomic this is my first. what happens in the middle phase? and what happens in the final phase? on the assumption that there are 3 phases,[],24
13,1360082077711028224,2021-02-12,12:23:31,"#WeekendswithMitsueki (CB Phase 3, Day 21 (Day 286): Productive Sunday x A Jolly #mitsuekisalad x Chance Encounters x First Time Trying Tip Top Western Food @ Marine Parade x #mitsuekilobangs (Jan Edition) - 17 Jan 2021  https://t.co/ixf5reyJQa  https://t.co/EJKeWayUoE","['weekendswithmitsueki', 'mitsuekisalad', 'mitsuekilobangs']",26
