,id,date,time,tweet,hashtags,num_words
0,1364020339529846790,2021-02-23,09:12:45,"Interesting read...   27 hard truths about the life of an air stewardess, according to a former S'pore Girl  https://t.co/6nL7cswucQ",[],16
1,1363771889449984007,2021-02-22,16:45:30,A career change opportunity if you are an ex-stewardess.   Apply now:  https://t.co/7D7qr042gM  #COVID19 #COVID #jobseekers #job #jobvacancy #jobopportunity #hiring #hiring2021 #hiringnow #career  #careerchange #careeropportunities #changecareer #airlines #airhostess #stewardess  https://t.co/h4eOldrzEU,"['covid19', 'covid', 'jobseekers', 'job', 'jobvacancy', 'jobopportunity', 'hiring', 'hiring2021', 'hiringnow', 'career', 'careerchange', 'careeropportunities', 'changecareer', 'airlines', 'airhostess', 'stewardess']",10
2,1363771816142020609,2021-02-22,16:45:13,A career change opportunity if you are an ex-stewardess.   Apply now:  https://t.co/JJCBxKDm6W  #COVID19 #COVID #jobseekers #job #jobvacancy #jobopportunity #hiring #hiring2021 #hiringnow #career  #careerchange #careeropportunities #changecareer #airlines #airhostess #stewardess  https://t.co/fwcbG9RMDn,"['covid19', 'covid', 'jobseekers', 'job', 'jobvacancy', 'jobopportunity', 'hiring', 'hiring2021', 'hiringnow', 'career', 'careerchange', 'careeropportunities', 'changecareer', 'airlines', 'airhostess', 'stewardess']",10
3,1356488412950188035,2021-02-02,14:23:34,Friend: Silkair was an opp for not so attractive girls to fullfil their stewardess dream,[],15
4,1333751054287060993,2020-12-01,20:33:25,Ada golf club amek stewardess jadi caddy?!!!!!!!!!!!!! 👀👀👀  https://t.co/GJGS4bXu2m,[],7
7,1316693650378686464,2020-10-15,18:53:23,"Always request 2 packets of nuts but there’s one time i took a night flight, one of the stewardess pass me like 1 full bag of nuts before i got off. Hahahaha 😂",[],31
8,1297393296839385088,2020-08-23,12:40:41,[Stewardess two rows away] Me: okay let’s get the chicken  [Stewardess one row away] Me: hmm maybe the beef  [Stewardess fast approaching]  Me: [sweating] I’LL HAVE THE FISH [Stewardess leaving]  Me: [hates fish] fuck,[],36
9,1282932412222242816,2020-07-14,14:58:17,"Last tam you all take aeroplane, then the air stewardess gave you the towel with nice smell like their smile that one, arr this one ☝️ la the smell. We use this as after shave splash and cool water 💦 weii ...…  https://t.co/bP80gTOSIH",[],39
10,1278108383128588290,2020-07-01,07:29:19,everytime i come back from work my mum never fails to ask “why you look like air stewardess”   well mum idk what to say 😂😂😂😂,[],24
12,1257958355324162048,2020-05-06,17:00:18,"Oh wait, @SingaporeAir’s stewardess is really working in MRT now?",[],9
15,1244180064524099584,2020-03-29,16:30:17,"Dear #cabincrew / #flightattendant / #steward / #stewardess ,  Stay strong. Our 'flying' world is shaking. But we were TRAINED to SURVIVE.  Hold on. Better things are coming.  #cabincrewlife #flightattendantlife #airsteward #miss #flying #throwback #picoftheday #blackandwhite  https://t.co/S185T5VJi3","['cabincrew', 'flightattendant', 'steward', 'stewardess', 'cabincrewlife', 'flightattendantlife', 'airsteward', 'miss', 'flying', 'throwback', 'picoftheday', 'blackandwhite']",20
16,1235646112930783238,2020-03-06,03:19:25,@qatarairways Qatar airways is the best. Had an amazing stewardess who engaged in a chat with me upon seeing that i couldn’t fall asleep. I wish there could be a way for her to receive my words of appreciation somehow,[],40
17,1220702818220175361,2020-01-24,21:40:06,"i was having period also first day ..longg flight..guess what??BOCOR SIAA idk ...my sister teman me to toilet..while my mom, asked for the pad to the stewardess..they did..qantas air is so so so thoughtful🌸💕",[],39
