id,Comment Datetime,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1.36E+18,24/2/21,22:48:22,"Today in clinic, familiar experience of South Asian patients,migrant workers in Singapore, walking in and their faces lighting with sheer joy at seeing a Dr who may speak their language. It breaks my heart every time to have to correct them; I’m Black and not Tamil or Bengali 💔",[],50,Foreign Worker,49,2,-11.11156186,7,3,1,1.958013805,0,0,1
1.36E+18,24/2/21,22:26:17,This is an extreme form of contemporary modern day slavery. Similar stories of abuse are sadly common for treatment of migrant workers and domestic workers in Asia,[],27,Foreign Worker,27,2,-10.93940014,3,1,0,3.666531361,0,0,0
1.36E+18,24/2/21,16:00:20,"Nicole Ooi leads Welcome In My Backyard, an initiative to change existing prejudices and help migrant workers in Singapore.   https://t.co/G1JkPzE0P4",[],19,Foreign Worker,19,1,-13.70779031,4,1,1,3.240793479,0,0,0
1.36E+18,24/2/21,15:01:42,"Since construction, marine and process work resumed, 14 workplace injury fatalities were recorded in the second half of 2020. Migrant workers are particularly vulnerable.",[],22,Foreign Worker,24,1,-11.79587917,4,1,0,3.628269769,0,0,0
1.36E+18,24/2/21,8:40:01,"@NeilHumphreys Until we learn to treat others like us, I think. I've seen people defend the treatment of the migrant workers as ""they are so lucky they should shut up and go home"".",[],31,Foreign Worker,32,2,-10.38658881,8,1,3,5.619941023,1,1,1
1.36E+18,24/2/21,5:01:42,"6,500 Migrant Workers Have Been Sacrificed for Qatar’s World Cup Dream, Says Report  https://t.co/nBk605abST",[],13,Foreign Worker,14,1,-16.0021323,1,0,0,3.240793479,0,0,0
1.36E+18,24/2/21,0:40:28,"""an average of 12 migrant workers from these five south Asian nations have died each week since the night in December 2010 when the streets of Doha were filled with ecstatic crowds celebrating Qatar’s victory""   https://t.co/360XDufSkn",[],34,Foreign Worker,35,2,-12.08869127,5,1,0,2.448008782,0,0,0
1.36E+18,23/2/21,22:41:52,"our state-owned papers will never give the amount of coverage that is needed for the protest in Myanmar or write the exposé of the treatment of migrant workers but of course, we have space for investigative journalism of how wild boars found their way into the heartlands.",[],45,Foreign Worker,47,2,-10.65125802,6,2,1,2.448008782,0,0,0
1.36E+18,23/2/21,21:03:06,"Alice Visperas,said the PH was open to lifting cap in exchange for vaccines from UK/Germany, which it would use to inoculate outbound workers and Filipino repatriates. Seems fair to make host countries to Filipino migrant workers ensure they are vaccinated whether coming or going",[],46,Foreign Worker,46,2,-12.12433139,11,2,0,2.456733451,0,0,1
1.36E+18,23/2/21,17:52:17,"Boycott Qatar games. #Qatar2022 #fifa2022 People are not cattle to be discarded. #Boycottqatargames Revealed: 6,500 migrant workers have died in Qatar as it gears up for World Cup   https://t.co/JCALHysvxQ","['qatar2022', 'fifa2022', 'boycottqatargames']",24,Foreign Worker,26,2,-13.39267324,6,0,0,3.131225514,0,0,0
1.36E+18,23/2/21,15:50:28,One local case today in a migrant worker dormitory. I sincerely hope that migrant workers living in dormitories will be prioritized for vaccination.  Stay vigilant. Mask up. See doctor and get tested immediately if you have any symptoms. Use TraceTogether app/token. 😷💉  https://t.co/M1I9W73ASf,[],42,Foreign Worker,42,2,-12.24770588,7,2,1,2.330995385,0,0,0
1.36E+18,23/2/21,0:22:34,Check out how we celebrated Hobi's birthday last week! 💜🥳🎂💜  Do join us to advocate for the rights of migrant workers by liking &amp; sharing the video.  #BTSARMYCares #HopeShines #jhope #GlobalGoodwillARMY #HobiDay2021 @BTS_twt   https://t.co/ltWo8smZs1,"['btsarmycares', 'hopeshines', 'jhope', 'globalgoodwillarmy', 'hobiday2021']",24,Foreign Worker,26,2,-14.13126025,6,0,2,2.448008782,0,0,0
1.36E+18,22/2/21,16:02:28,"In order to protect the welfare and rights of migrant workers and fishing crew on foreign vessels, Indonesia ratified the Law on the Protection of Migrant Workers in 2017. However, a lack of enforcement is hindering the Law from serving its purpose.   https://t.co/28dLRBoXpx  https://t.co/yLT4ewqosK",[],41,Foreign Worker,42,2,-11.71766696,6,1,0,2.071837845,0,0,1
1.36E+18,21/2/21,15:31:01,"""Like [being] in jail"": important story about ongoing restrictions on migrant workers in SG. I hope they can be vaccinated ASAP so that as soon as there's sufficient data on vax transmission prevention these restrictions can be lifted.  https://t.co/flwTeEAAdn",[],37,Foreign Worker,38,2,-12.20089954,7,0,0,2.841556931,0,0,1
1.36E+18,21/2/21,12:01:36,Migrant workers in #Singapore still face tough restrictions despite no Covid cases in dorms,['singapore'],13,Foreign Worker,13,1,-13.08331385,1,1,0,5.374010098,1,0,0
1.36E+18,21/2/21,6:43:04,"A year since COVID-19, dorm life leaves migrant workers still hoping for better  https://t.co/mrWgtPDojh  https://t.co/SYRCTa3dD6",[],13,Foreign Worker,13,1,-14.68399282,2,1,0,7.796947404,1,0,0
1.36E+18,18/2/21,23:41:33,"Finally a report which looks at the condition at the migrant worker dormitories now. A stark reminder that while the rest of the population live a pretty much 'normal' life now, the migrant workers still have so many restrictions in their daily life. ☹️☹️   https://t.co/LHUb6D7w3F  https://t.co/ENE4t2KUId",[],43,Foreign Worker,43,2,-11.5359055,3,2,0,2.421098743,0,0,0
1.36E+18,18/2/21,16:22:56,"so AGAINST PRCs and foreign migrant workers for WHAT? they clean OUR streets, build OUR roads, build OUR 5 star hotels, OUR tourist attractions. what do they get in return? horrible dorm conditions, shitty racist treatment because YOU think you're superior for HOLDING PINK IC.",[],43,Foreign Worker,45,2,-13.68801955,7,1,2,1.511492352,0,0,0
1.36E+18,18/2/21,13:17:31,"Similarly, when refugees and migrant workers are denied access to healthcare services, it puts us and our loves ones at risk. (4/n)",[],22,Foreign Worker,23,1,-10.99219951,3,2,2,4.552690862,0,0,0
1.36E+18,18/2/21,13:17:30,"The well-being of vulnerable groups such as detainees and 'invisible communities' such as refugees, and migrant workers, affects the well-being of every single one of us.  (2/n)",[],25,Foreign Worker,28,2,-11.7786984,1,1,0,6.847954677,1,0,0
1.36E+18,18/2/21,12:00:00,"Others may view them as lower class and invisible but Welcome In My Backyard, challenges these Singaporean prejudices and aim create safe spaces for the migrant workers.   https://t.co/qAm3o9Kv0X",[],27,Foreign Worker,27,2,-12.87960104,2,2,1,2.926671992,0,0,0
1.36E+18,18/2/21,2:27:08,"How Are Singapore's Migrant Workers Coping With COVID-19 Restrictions, One Year On? | Talking Point  https://t.co/viERLD6Cv5 via @YouTube",[],14,Foreign Worker,15,1,-15.84862054,1,0,0,4.118105275,0,0,0
1.36E+18,1/2/21,23:13:14,the main sector of people that falls under poverty are actually the migrant workers lmao,[],15,Foreign Worker,15,1,-10.79449557,3,0,0,8.715588971,1,0,0
1.36E+18,1/2/21,2:51:55,"How true is this $450 though?  During Circuit Breaker I was taking care of these migrant workers, made friends with them and they told me they earn about $1000 and above. Some even $1500 up to $2000 if they’re supervisors etc.  Cause if $450 is real that’s just sad.",[],46,Foreign Worker,49,2,-11.18651167,8,3,2,5.619941023,1,0,0
1.34E+18,29/12/20,14:01:15,Singapore relaxes Covid restrictions in bid to boost economy   https://t.co/RbjwzZIX1R but migrant workers are still more or less imprisoned,[],18,Foreign Worker,18,1,-13.53572591,2,3,0,4.118105275,0,0,0
1.34E+18,21/12/20,12:41:30,I think this says everything about the kind of language employed to communicate with #migrantworkers in #Singapore. #PassiveAggression @ Singapore  https://t.co/fA5b2w8tg2,"['migrantworkers', 'singapore', 'passiveaggression']",16,Foreign Worker,16,1,-12.40324129,4,0,0,4.74633546,0,0,0
1.34E+18,16/12/20,18:28:13,Together with the Chair of the Netherlands Charity Association in Singapore Freeke Quik I could offer our support for the migrant workers 👍🏻 to all volunteers of @home_migrantssg we added some cookies for a 🌲feel  https://t.co/XqlIF85SVv  https://t.co/qMTR3BqlXh,[],33,Foreign Worker,33,2,-12.76500684,2,0,3,2.599683975,0,0,0
1.33E+18,24/11/20,11:06:47,@tonyjoyce I’m heartened by the groundswell of volunteerism. I got financially involved in the migrant workers one.,[],17,Foreign Worker,16,1,-11.50346822,3,0,0,6.847954677,1,0,0
1.32E+18,29/10/20,18:08:39,Deserving.. been tough 6 months for migrant workers,[],7,Foreign Worker,8,0,-12.0179386,2,0,0,17.98042144,2,0,0
1.31E+18,5/10/20,19:31:22,"migrant workers in support of the government’s initiatives to mitigate the pandemic. While we’re glad to have excited patrons coming back to a hive of activities and lifestyle programmes at the #SGSportsHub, this migrant worker project will no doubt be cemented in our history",['sgsportshub'],45,Foreign Worker,43,2,-11.14791919,7,1,1,2.037437516,0,0,1
1.31E+18,23/9/20,16:33:36,"After Goliath failed to take down David, the latter found a vulnerable spot in the former’s armour and knocked him out.  May this be the start of the takedown of the systemic inequalities faced by migrant workers and marginalised groups in our criminal justice system.  https://t.co/vvJkAfPptV",[],46,Foreign Worker,45,2,-11.43118518,7,2,1,2.099456841,0,0,0
1.31E+18,23/9/20,13:36:01,So happy to receive pictures of my contributions to the Singapore migrant workers in isolation from COVID-19. Charlotte Mei and her team raised SGD$2403 and bought 9507 packets of snacks to help our migrant workers tide through COVID-19 quarantine. Way to go Singapore!  https://t.co/TZn1bt8qIL,[],42,Foreign Worker,44,2,-12.99462598,6,1,2,2.200661341,0,0,0
1.30E+18,1/9/20,21:17:30,Bangladeshi #migrantworkers who keep common spaces in HDBs clean are some of the most overworked and underpaid in #Singapore. Even in comparison to #locals doing the same work. Based on a new report by @home_migrantssg  https://t.co/8KdBj8GobN,"['migrantworkers', 'singapore', 'locals']",31,Foreign Worker,31,2,-12.10952471,4,1,0,3.088635882,0,0,0
1.30E+18,19/8/20,22:02:00,"@ishkarnBHANDARI Ishkaran, let us follow every detail with utmost vigilance and get justice from CBI. This case should bring justice to migrant workers to Palghar sadhus to disha to SSR to each and every innocent person who got killed or humiliated by these political n movie mafia. United we win",[],49,Foreign Worker,49,2,-12.50533718,10,3,2,1.929447711,0,1,0
1.30E+18,18/8/20,21:53:14,"I hope there is a law in Singapore, you have to put the speaker off on phone convo. I wonder why mostly Migrant workers from South Asia dont care about privacy, talk loud with the speaker on in public place, even don’t use earplugs when listening to the music. #noisepollution  https://t.co/6lyx95TtaR",['noisepollution'],50,Foreign Worker,49,2,-11.45967558,8,1,1,1.605778451,0,0,0
1.29E+18,28/7/20,9:42:15,A hotel in the East is looking for barbers to provide on-site haircuts to 200+ migrant workers who have long been cleared of covd but unable to return back to their dorms. Workers are able to pay $7 for a haircut.  Pls pm YZ (93826964) if interested,[],43,Foreign Worker,47,2,-11.89207453,9,2,0,2.642339342,0,0,1
1.28E+18,5/7/20,21:01:51,Will the voters make the incumbent party pay for this on 10 July?   Whatever it is there should be deeper reflection on our treatment of foreign workers.   “... cases have exploded among migrant workers who live in the country’s far-flung dormitories.”   https://t.co/rg7JU8a4hU,[],39,Foreign Worker,40,2,-11.18006708,6,0,1,3.03135167,0,1,0
1.28E+18,3/7/20,20:15:15,#ge2020 Charles Yeo makes a point that Govt should’ve listened to the migrant workers NGOs when they first warned about the impending covid “time bomb”. Shows Govt should’ve been more consultative.,['ge2020'],32,Foreign Worker,30,2,-13.35048473,7,1,0,3.032445499,0,0,0
1.28E+18,3/7/20,20:05:49,It’s interesting to see Paul Tambyah initially complimenting MOH for handling the migrant workers in Feb but criticising MOM for threatening employers who want to get their workers tested. He says the GE is a distraction for the Govt in handling covid. #GE2020,['ge2020'],43,Foreign Worker,42,2,-12.14698512,11,1,0,2.568461536,0,0,0
1.28E+18,2/7/20,22:17:04,In #Singapore it’s not grassroots party volunteers but #MigrantWorkers who have no access to citizenship (or voting rights) who put up #SingaporeElection infrastructure.  https://t.co/rH91FgXt0u,"['singapore', 'migrantworkers', 'singaporeelection']",21,Foreign Worker,20,1,-12.59692003,4,2,0,3.834386858,0,0,0
1.28E+18,25/6/20,20:41:10,"I told my colleagues if those people at Robertson Quay are migrant workers, their pass will be revoked straight away. MOM revoked those expats work pass... I stand corrected.",[],29,Foreign Worker,29,2,-11.91541389,8,1,1,3.788599393,0,0,1
1.28E+18,23/6/20,11:14:34,CII-India BusinessForum which represent #CorporateIndia in #Singapore raised about SG$160000 for MigrantWorkers’AssistanceFund by Gov supported Migrant Workers’Centre &amp; donated in presence of Hon MinPMO &amp; 2FinMin @indraneerajah and HC @JawedAshraf5 in VC 👉 https://t.co/0cJ1DS0boN  https://t.co/DWpMYLpzQP,"['corporateindia', 'singapore']",26,Foreign Worker,29,2,-16.98210495,5,1,0,1.68406826,0,0,0
1.27E+18,18/6/20,12:49:15,"Forum: Stop seeing migrant workers as threat to Singaporeans' job security  https://t.co/pxyksetCwy one day your job will be taken over by an FT, a fool to believe they create jobs for us.",[],31,Foreign Worker,31,2,-12.00470895,5,0,1,2.750784746,0,0,0
1.27E+18,17/6/20,8:51:22,#singapore #covid19 #16thjune #2020 update.. One of the lowest number so far after the #outbreak in #migrantworkers .. Let's continue to keep the numbers down.. ✌🏼☺️ .  #RoyaleClass  #singapore🇸🇬  #singaporelife…  https://t.co/07vVWPfSfv,"['singapore', 'covid19', '16thjune', 'outbreak', 'migrantworkers', 'royaleclass', 'singapore', 'singaporelife']",17,Foreign Worker,18,1,-14.10883654,2,0,0,4.355014118,0,0,0
1.27E+18,14/6/20,10:14:30,Safe distancing still not possible for many migrants in over crowded dormitories. #MigrantWorkers #singapore #COVID19,"['migrantworkers', 'singapore', 'covid19']",12,Foreign Worker,12,1,-13.69543721,0,1,0,8.409600461,1,0,0
1.27E+18,10/6/20,12:40:48,Fun fact: Little India is not the original enclave for Indians in Singapore. It was set up by Europeans who wanted to build sugarcane plantations/businesses so they got Indian migrant workers to resettled there.  Which is why the streets in Little India are European names.,[],46,Foreign Worker,46,2,-11.27318898,9,0,0,2.394494736,0,0,0
