Unnamed: 0,Unnamed: 0.1,id,date,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,0,1.36453e+18,24/2/21,18:40:03,"They might well, as is often the case, have wanted to see Amber Heard’s text messages and to investigate an allegation of physical abuse. Of course, that is not what the contact form says, is it? It talks about a verbal abuse by Mr. Depp - David Sherborne  https://t.co/3m7bqXgJVe  https://t.co/kNLk37MUDl",[],48,Social Distancing,48,2,-11.877087666545744,9,1,0,2.526143258199059,0,0,0.0
1,1,1.34774e+18,9/1/21,10:50:05,"Virtual tour of campus and online course advising for prospective students, is hard for engagement purposes. Nothing beats actual physical visits...   New norm? I hope not! As soon as COVID19 is over, I hope not too much of the world has changed, especially in human contact. 😕",[],46,Social Distancing,46,2,-11.07078118685745,8,1,1,3.582415278503379,0,0,0.0
2,2,1.31846e+18,20/10/20,15:33:24,"@KavanaghCk @UnaMullally @hlinehan @IrishTimes Lockdown, I have successfully moved to Asia (did my quarantine here, had no physical contact with the outside world for 15 days). In that 7 months i have turned 40, got engaged, became an Uncle to twins and have not been able to physically celebrate any of this with my family",[],48,Social Distancing,51,3,-11.633054883009228,13,1,4,2.4422539254870257,0,0,0.0
3,3,1.3177e+18,18/10/20,13:43:59,"@johnistoasted It's smart to have them during this time. In Singapore, we use QR codes to check into any place for contact tracing. Many restaurants have converted to QR code menus too for cleanliness I guess. I prefer physical menus but I understand the present circumstances.",[],44,Social Distancing,45,2,-11.837695806415791,9,1,3,3.1078486800276623,0,0,0.0
4,4,1.31492e+18,10/10/20,21:29:38,@lankan_true Anuone can have the virus. That's why health guidelines including no physical contact and safe distancing must be enforced. Everyone should wear masks. Supervisor should have gloves. (Like we did election.) We can't halt everything until corona vanishes (might take years). 1/2,[],39,Social Distancing,43,2,-11.883626804510579,10,1,1,2.374984126733309,0,1,0.0
5,5,1.27707e+18,28/6/20,10:40:11,"Tngh tunggu ni yang serious, kalau takde I'm staying single 😘 so far haven't went out with other girl except hani and my ex contact tho and trust me we did nothing physical 😇",[],30,Social Distancing,32,2,-14.260243630771154,5,1,3,3.5824152785033796,0,0,0.0
6,0,1.34463e+18,31/12/20,20:42:50,"This virus changed the world. We have to lead our lives differently. The mask may hide our smile, but we learn to smile through our eyes. Safe distancing keep us apart, but we find ways to be closer in heart and mind.  https://t.co/x3FVsJ4L7D",[],42,Social Distancing,42,2,-11.113118445493615,10,3,5,3.7236888373929395,0,0,0.0
7,1,1.34347e+18,28/12/20,15:53:51,The principle behind safe distancing and whatever things is not about the fines that have to be paid if not following but about our own health and safety,[],28,Social Distancing,28,2,-9.830351462977127,5,3,1,6.433233378023571,1,0,0.0
8,2,1.34239e+18,25/12/20,16:59:36,"I am sorry to all the ships at ARC but I love how peaceful, quiet and SAFE this place really is! Muahahaha!   Social distancing ACHIEVED! @ ARC - Alexandra Retail Centre  https://t.co/I7L6m4oaHb",[],29,Social Distancing,30,2,-13.349946411176631,4,2,1,3.2258992360300045,0,0,0.0
9,3,1.34199e+18,24/12/20,14:08:19,"@Cleavon_MD Live in Singapore. Very safe. National plan and people protect one another. Mandatory masks, social distancing, technology based contact tracing and quarantine. Restaurants, malls, shops, schools open. 2 cases in about a month. Will take the vaccine when available.",[],38,Social Distancing,39,2,-11.650089606491246,6,3,0,1.7762765573373303,0,0,0.0
