Unnamed: 0,Unnamed: 0.1,id,date,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,0,1.3441e+18,30/12/20,10:15:24,"With all the safe entry sessions in Singapore, how big is the data storage per day?",[],16,Safe Entry,16,1,-10.733711743595222,1,0,0,5.472696338814408,1,0,0.0
1,1,1.34387e+18,29/12/20,18:57:18,"Scanned a TT only SafeEntry QR code. Told the staff I can't scan it, here's my token. Staff said oops. They can't scan too. Come on in.  Isit mandatory TT coming soon?",[],29,Safe Entry,32,2,-12.984718061270273,7,0,2,3.58953603029358,0,0,0.0
2,2,1.34344e+18,28/12/20,14:00:31,"Food is in the pantry Singapore is a safe country In your heart, I want to do a SafeEntry 💘 @ MBS Skypark Observation Deck  https://t.co/NFJJnZ6agu",[],23,Safe Entry,23,1,-13.38111476128293,4,0,2,2.7525372586311883,0,0,0.0
3,3,1.34176e+18,23/12/20,22:47:18,Just got home after a long day of SafeEntry work. Too tired plus something didn't turn out smoothly by the time I ended work. And I got home and somehow got dragged into my mum's unreasonable fight with my sis. Emotionally distressed... I need time to slowly process everything 😨,[],47,Safe Entry,49,2,-11.415884223985548,10,1,3,2.1959666401403335,0,0,0.0
4,4,1.33913e+18,16/12/20,16:34:11,"Lol just saw a Chinese from China arrive and tried entering jewel only to get rejected entry by the safe entry guy. Feel bad tho, the girl was asking so nicely but the guy don’t understand Chinese so he just getting annoyed. Would’ve helped but I’m lazy..",[],50,Safe Entry,47,2,-11.665432279282333,12,3,0,2.1636566982326215,0,0,1.0
5,5,1.338e+18,13/12/20,13:49:55,@he_koh @mrbrown Great idea. I’m baffled that TT penetration is so low when Smartphone penetration in Singapore is so high. Are people still using SafeEntry on SingPass??,[],26,Safe Entry,25,1,-13.42713805288219,5,2,0,3.3157710131598908,0,0,0.0
6,7,1.33704e+18,10/12/20,22:16:46,It is a tradition of mine since 10 years ago to take a pic with the Taka Christmas 🎄 becos they make the best 🎄 every year. This year there wasn’t any tree but instead replaced with marking stickers and safe entry gantry. A little disappointed but I shall forward to the next.  https://t.co/eu5PVxWfwk,[],51,Safe Entry,51,3,-11.322609219167205,7,4,2,2.4215157340680813,0,0,1.0
7,8,1.33684e+18,10/12/20,9:05:01,About 6 officers manning the only #SafeEntry desk into the wet market.  https://t.co/N1vUHZcjD2,['safeentry'],10,Safe Entry,11,1,-13.355922291251286,1,0,0,6.461991358276103,1,0,0.0
8,9,1.3361e+18,8/12/20,8:16:51,Hot damn I've been taking Singapore's SafeEntry QR Codes for granted,[],9,Safe Entry,11,1,-15.33154688349146,3,0,0,5.472696338814405,1,0,0.0
9,10,1.33334e+18,30/11/20,17:12:13,"So do squirrels, birds and other tree dwellers have to Safe Entry themselves in for every tree they visit? 😂 @ Membina Court  https://t.co/4MBZ5a3iWt",[],21,Safe Entry,21,1,-13.063263275852693,2,1,0,3.3157710131598903,0,0,0.0
