id,Comment Datetime,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1.34E+18,24/12/20,1:01:13,@mobile_ameryu I forgot. Watching Home Stay without notice FB 😅😅,[],8,Stay Home Notice,8,0,-14.21411999,1,0,0,13.0041958,2,0,0
1.34E+18,11/12/20,17:29:07,"@C0MRAD3NlC Stay home notice, basically if you came back from overseas you gotta stay home for 2 weeks",[],16,Stay Home Notice,17,1,-12.11005364,3,1,1,9.788014619,1,0,0
1.33E+18,28/11/20,12:54:09,@razamataz63 Maybe see if #Days announces anything this weekend. But the cast is on break anyway right now so they just may extend the break to coincide with the new stricter stay home notice,['days'],32,Stay Home Notice,32,2,-11.08764282,4,1,0,4.335384798,0,0,0
1.33E+18,20/11/20,21:43:07,Sinterklaas has finished his Stay At Home Notice at the Dutch residence in Singapore. Together with my Belgian colleague I had the privilege of sharing our first pepernoten of 2020. Sint and his Pieten are back even in our Covid-19 year.  https://t.co/fVGKiTT2Pv,[],40,Stay Home Notice,41,2,-12.37254711,5,1,4,3.251563689,0,0,0
1.32E+18,14/10/20,22:36:31,Today is Day-12 of my stay home notice at JWmarriott. MOH called me and said I am issued with quarantine order because there was a positive case on my flight from Seoul. They transferred me to government facility and here I’m with a tracking wristband at Sofitel. What a day😭,[],51,Stay Home Notice,50,2,-11.03401336,8,2,5,3.112720911,0,0,0
1.31E+18,1/10/20,0:12:10,@QweenSativaa Destination: 14 day stay home notice.,[],5,Stay Home Notice,6,0,-14.27465944,1,0,0,9.845058269,1,0,0
1.30E+18,9/9/20,10:42:43,"She got a 5 days stay home notice, can only go out to go to the doctor. The fine for breaking it is up to $10,000.",[],24,Stay Home Notice,27,2,-9.401400794,6,0,0,10.17421263,2,0,0
1.29E+18,15/8/20,11:09:11,"Notice I only eat late fast food dinner when I came home from my work place. 🤔  It’s a sign, healthy living equates to stay away from office!  P.s. am I pointing middle finger here? Anyway try this latest floss flavour. Quite good for me who am always so-so with floss.  #kfc  https://t.co/GFEz4BvYOG",['kfc'],51,Stay Home Notice,51,3,-12.2842643,8,1,4,2.940412402,0,0,0
1.29E+18,12/8/20,22:41:51,🍪 I’ve ended my Stay Home Notice today and I couldn’t have gotten through it without these delicious Earl Grey Infused Cookies from coffee.crisis. Each one comes with a chocolate surprise in the middle.⠀ ⠀ 🍫All you…  https://t.co/NHnoLduomi,[],36,Stay Home Notice,36,2,-12.72488287,6,1,2,3.690746308,0,0,0
1.28E+18,18/7/20,1:59:07,"#COVID__19 : From 19 Jul, travellers entering Singapore from Australia’s Victoria state, Japan and Hong will have to serve their 14-day Stay Home Notice at a government facility. Singaporeans advised not to travel for the time being.  https://t.co/LSPDwF13Cg",['covid__19'],35,Stay Home Notice,35,2,-12.78905108,6,1,0,2.530525507,0,0,0
1.28E+18,29/6/20,11:48:25,Cam sial kene stay at home notice,[],7,Stay Home Notice,7,0,-14.95650835,0,0,0,9.818905353,1,0,0
1.28E+18,24/6/20,12:39:54,New term - SHRO (stay home restriction order) is different from SHN (Stay Home Notice),[],14,Stay Home Notice,15,1,-14.54898076,2,0,0,4.868940318,0,0,0
1.27E+18,21/6/20,23:50:29,"After 3 months’ stay at home notice, today we got hanging out. But I didn't feel so excited. After all, I am so familiar with this city, nothing new. Nothing unexpected happened, everything is the same, nothing changed.",[],36,Stay Home Notice,38,2,-10.67293634,8,0,3,6.002005829,1,0,0
1.27E+18,31/5/20,23:21:27,@KumarDk75710 @PMOIndia @MEAIndia @DrSJaishankar @MOS_MEA @harshvshringla @IndianDiplomacy @airindiain @PIB_India @DDNewslive @JawedAshraf5 All cleared at temperature screenings.  They were in quarantine like conditions in Singapore since 7 April. None of those in stay home notice or under observation are on passenger lists .🙏,[],29,Stay Home Notice,30,2,-14.60276677,3,1,0,2.289706436,0,0,0
1.26E+18,25/5/20,12:46:20,"_EoSHNo Pasta_ (End of Stay-Home Notice Pasta) . Since the onset of COVID-19 cases and the circuit breaker started in Singapore, I have been disciplined to restrict myself from going elsewhere that is not…  https://t.co/ElpQKGmrcQ",[],31,Stay Home Notice,33,2,-13.20296865,7,1,2,5.436238007,1,0,0
1.26E+18,19/5/20,18:12:58,Out in the real world... After 28 days of Stay Home Notice.. #StayHome #StaySafe.. #SGUnited  https://t.co/udcfJMkc2Z,"['stayhome', 'staysafe', 'sgunited']",11,Stay Home Notice,12,1,-14.74919437,0,0,0,5.082360501,1,0,0
1.26E+18,19/5/20,18:10:16,"Coming out for the first time, after a 28 days of Stay Home Notice... #SGUnited #Singapore  https://t.co/zMaqjDb3Sc","['sgunited', 'singapore']",13,Stay Home Notice,14,1,-13.05913892,1,0,0,5.634614613,1,0,0
1.26E+18,16/5/20,22:52:00,"Finding Nemo architecture !!! I start to notice, stay at home really affects our health, I guess.. my on and off giddiness is back - I do need morning exposure every morning. During Ramadan, I only run in the evening.. #runningjournal  https://t.co/7NN3CXzHMJ",['runningjournal'],38,Stay Home Notice,39,2,-12.15968887,9,1,4,3.574528916,0,0,0
1.26E+18,15/5/20,21:20:41,"@hizlittlepinky actually, allowed naman kami lumabas but not for too long.. only to buy essential stuff, exercise or go to work..   unless you’re under stay-home notice..",[],25,Stay Home Notice,25,1,-13.38759062,4,2,0,8.581824859,1,0,0
1.26E+18,14/5/20,17:58:20,"hola from singapura! just checked into the luxury rasasentosa on sentosa island, my ""home"" for the next 14 days in compliance with the island republic's stay home notice (shn) during this trying period, all paid for…  https://t.co/A05SZBJtpt",[],34,Stay Home Notice,36,2,-12.92268919,4,1,1,2.612134998,0,0,0
1.26E+18,12/5/20,14:32:27,Serving stay home notice with a Chef flatmate is really ❤️  https://t.co/yUH7uGAF8s,[],10,Stay Home Notice,10,0,-14.24956812,2,0,0,8.006236254,1,0,0
1.26E+18,10/5/20,19:17:03,21 days into Stay Home Notice....8 days to go,[],8,Stay Home Notice,10,0,-11.77908357,1,0,0,11.1632422,2,0,0
1.26E+18,6/5/20,23:49:31,"#year2020  . . . When you finish complaining about the lockdown, stay at home notice, getting bored at home...remember...we are part of the history... . . . When the world united as one to fight together...and the…  https://t.co/awR9LsctJK",['year2020'],33,Stay Home Notice,33,2,-11.01467472,7,1,2,5.408264732,1,0,0
1.26E+18,2/5/20,15:02:47,"I haven't been studying Japanese for these past few months due to being busy with work stuff and other things, so now since Singapore's so called ""circuit breaker"" was extended until June, then my ""stay home notice""…  https://t.co/nSAr4Zbix1",[],35,Stay Home Notice,37,2,-12.10793482,7,2,1,4.094642442,0,0,0
1.25E+18,22/4/20,11:19:27,@jenniferludt @TomBossert you don’t need to ask anyone for permission unless you have been issued a Stay at Home Notice SHN. Hear you re: US,[],24,Stay Home Notice,23,1,-12.5356885,7,0,2,3.896508728,0,0,0
1.25E+18,20/4/20,9:40:49,"Strict 14 days stay home notice for all employees under construction “sector” across the country. Even going to market is not allowed, okay I’ll be locked up until next month right after my birthday. 🤦🏻‍♂️   Pero mas okay na yon atleast safe. 👌🏻",[],41,Stay Home Notice,41,2,-12.46138265,7,1,1,4.202365655,0,0,0
1.25E+18,19/4/20,10:30:29,@jamesplloyd And announced all placed on stay at home notice now   https://t.co/4ATWxREp9l,[],10,Stay Home Notice,10,0,-13.29109834,2,0,0,12.57959928,2,0,0
1.25E+18,18/4/20,12:47:43,"After nine days of asking for salt and getting tiny individual packets, my Stay Home Notice hotel finally decided to give me this and I just want to say I hope we both learned something today  https://t.co/JqC6VRslB3",[],36,Stay Home Notice,36,2,-11.92674747,8,2,4,4.518875508,0,0,0
1.25E+18,17/4/20,15:31:19,My housemates keeps on feeding me since the first day of Circuit Breaker 😭 I need to repay their kindness but I can't go out due to my 14days stay home notice argh!,[],30,Stay Home Notice,32,2,-12.21043427,6,1,3,4.92056291,0,0,0
1.25E+18,13/4/20,14:43:11,@hzqhadrna Stay home notice. Tapi aku kene kat Hotel.,[],8,Stay Home Notice,8,0,-17.42355209,1,0,0,5.798139011,1,0,0
