id,Comment Datetime,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1.36E+18,25/2/21,7:05:58,"While the #Sinovac vaccines do not have the proven effectiveness of the #Pfizer &amp; #Moderna ones, I've met several people who would prefer them (due to older methods of production).  If approved: Hopefully, #Singapore will let people choose which they prefer.","['sinovac', 'pfizer', 'moderna', 'singapore']",35,Vaccination,37,2,-11.82688897,8,0,0,2.923445999,0,0,0
1.36E+18,24/2/21,23:39:05,@Owllul moderna/pfizer use mrna hv better efficacy + larger demo during clinical trials.   sinovac 🇨🇳 use old tech + questionable efficacy. The plus to sinovac is that it’s cheaper logistically.   https://t.co/eJIqo0Be90,[],28,Vaccination,27,2,-15.11000898,5,0,0,3.74308768,0,0,0
1.36E+18,24/2/21,23:30:48,"EDIT: The Sinovac vaccines arrived on Tues evening instead of Wed. Also, Singapore's prime minister Lee Hsien Loong has yet to comment on the Sinovac shipment. Previously, when the Pfizer vaccines came, he called it a ""welcome present"", and for Moderna, he said he was ""pleased"".",[],45,Vaccination,46,2,-12.69716888,8,5,0,2.574883552,0,0,0
1.36E+18,24/2/21,22:51:46,Politicization of the Covid-19 vaccines is so weird. Western countries won't take the Chinese vaccine while China won't take the Pfizer/Moderna/Astrazeneca vaccine.,[],22,Vaccination,24,1,-12.92336675,4,1,0,7.513336021,1,0,0
1.36E+18,24/2/21,22:05:41,"Singapore received the first batch of Sinovac vaccines on Wed, the Chinese embassy said, adding that it is a ""new highlight"" to bilateral cooperation. Singapore's health ministry stresses that Sinovac has not been granted approval unlike the Pfizer-BioNTech and Moderna vaccines.",[],39,Vaccination,41,2,-12.30860037,8,1,0,2.662907531,0,0,0
1.36E+18,23/2/21,10:20:31,"🎙Ep 10: On Fillers, the COVID-19 Vaccine &amp; Safe Aesthetic Treatments  The Moderna #vaccine apparently causes swelling in patients with fillers. Dr. Teo shares the science behind this.   Spotify:  https://t.co/UotzyIzm8W Apple:  https://t.co/G46EjlujWd #ScienceofBeauty  https://t.co/3t01utSfSq","['vaccine', 'scienceofbeauty']",27,Vaccination,29,2,-15.91512208,3,0,0,2.663174759,0,0,0
1.36E+18,23/2/21,8:12:47,"My mum is the first in our family to take the vaccine. She is perfectly fine. I think she was administered Pfizer. Singapore has only Pfizer or Moderna. For the rest of us, do hurry and continue the safe distancing measures. We need to be accountable to society #COVID19",['covid19'],48,Vaccination,48,2,-10.56214202,13,2,2,3.515689009,0,0,1
1.36E+18,22/2/21,6:26:59,"Don’t blame me, I tried everything and he still doing this.  We now need the help of Pfizer and Moderna on that condition.",[],24,Vaccination,23,1,-10.12445221,4,3,2,5.285074595,1,0,0
1.36E+18,20/2/21,13:11:39,🇨🇭#Swiss pharma &amp; #biotech company @LonzaPB is building three #vaccine production lines in Visp @valaiswallis to supply annually 300 million doses of @moderna_tx vaccine for the rest of the world.  👀👉 https://t.co/FCZiFPO1Az  @ScienceValais @swissinfo_en @C_Darbellay,"['swiss', 'biotech', 'vaccine']",22,Vaccination,24,1,-14.60186243,3,0,0,2.211506526,0,0,0
1.36E+18,20/2/21,8:19:01,"Personal, unofficial projection of COVID-19 vax exercise in 🇸🇬 based on govt's target of additional 1 million first doses by early April.  - Assuming 50:50 Pfizer/Moderna - Total: 1.25m first doses (~22% pop), 660k second doses (~11.5%) by early Apr   https://t.co/6fhPmj61MC  https://t.co/NbvTQMrJhu",[],32,Vaccination,43,2,-15.26954411,3,0,0,3.111995897,0,0,0
1.36E+18,19/2/21,19:22:03,"Singapore reported 250k first doses last week so it perhaps shows the effect of Pfizer delivery delay, only administering second doses and no new first doses until the new supplies arrived recently from Pfizer and Moderna.",[],35,Vaccination,36,2,-12.30380992,5,1,0,4.029886039,0,0,1
1.36E+18,19/2/21,14:27:02,"@IPRTelangana @TelanganaHealth Time to increase testing and vaccination simultaneously as well as push central govt to EUA Pfizer, Moderna, Janssen, Novavax, sputnik vaccinations and vaccinate 50% telangana in next 3 months!  https://t.co/gCGLBEaR4P",[],27,Vaccination,29,2,-15.16881712,2,2,0,2.346536402,0,0,0
1.36E+18,19/2/21,12:59:10,Singapore received its next set of vaccines yesterday from Moderna (flew in on an SQ flight from Belgium). It's the 2nd approved vaccine for use here.  https://t.co/xZbQLWIdtZ,[],24,Vaccination,26,2,-12.39372719,3,1,0,3.295009292,0,0,0
1.36E+18,19/2/21,12:57:06,"The first batch of Moderna vaccine, which has been partly manufactured in Spain, arrived in Singapore this week. Spain is very proud to contribute to the global fight against COVID-19. #togetherstronger #SpaininSingapore.  https://t.co/TZS4V0Xhza","['togetherstronger', 'spaininsingapore']",30,Vaccination,30,2,-12.38721765,6,0,0,4.211673353,0,0,0
1.36E+18,19/2/21,10:26:55,"According to President Tsai, Taiwan has ordered ~20 million doses of covid-19 vaccine: 5.05 million from Moderna, 10 million from AstraZeneca and 4.76 million via COVAX.   https://t.co/B0eafs9M6T",[],22,Vaccination,28,2,-13.49761907,3,1,0,4.581278055,0,0,0
1.36E+18,19/2/21,6:42:02,"Bring on the boosters: Studies show Pfizer, Moderna COVID vaccines are less potent against aggressive variant  https://t.co/YTQfLCAfpQ",[],16,Vaccination,16,1,-15.1921368,2,0,0,5.110611106,1,0,0
1.36E+18,19/2/21,1:14:38,"Israel figured out how to use 120,000 Moderna doses it doesn’t need...vaccinate Palestinians with work permits  https://t.co/l0Mfg9NpJN #",[],17,Vaccination,18,1,-13.54593517,4,0,0,5.435687195,1,0,0
1.36E+18,18/2/21,20:44:29,US-developed Pfizer &amp; Moderna vaccines produce THREE TIMES LESS antibodies against South African strain of Covid-19 – lab studies  https://t.co/3NiE5RQZhI #,[],16,Vaccination,18,1,-17.34570399,1,0,0,3.551642379,0,0,0
1.36E+18,18/2/21,17:17:14,"Flag carrier Singapore Airlines delivered the first batch of Moderna's Covid-19 vaccine doses to the city state, onboard its B747-400 freighter, on 17 February. @SIAirlines  #aircargo #vaccinelogistics #sia #singapore #payloadasia   https://t.co/HwM7IC13Bd","['aircargo', 'vaccinelogistics', 'sia', 'singapore', 'payloadasia']",21,Vaccination,24,1,-15.86569086,3,0,0,2.454404677,0,0,0
1.36E+18,18/2/21,15:39:05,"@galattaman @TOIBengaluru Time to give EUA to pfizer, Moderna, Janssen, Novavax and sputnik vaccines and restrict first 3 months of production for use in India and allow private participation so that we can vaccinate maximum people before next monsoon kicks in.",[],38,Vaccination,39,2,-13.39563972,6,2,1,2.248877185,0,0,0
1.36E+18,18/2/21,15:33:35,"#VaccineVarta what is the logic behind not giving EUA and asking for bridge trials of vaccines approved by FDA, MHRA, EMA EU and WHO and being used in most countries all over the world? pfizer,moderna, Janssen etc? Given that bridge trials may take months now!",['vaccinevarta'],45,Vaccination,45,2,-12.44136739,7,1,0,1.977953233,0,0,0
1.36E+18,18/2/21,15:30:02,"#vaccinevartha what is the logic behind not giving EUA and asking for bridge trials of vaccines approved by FDA, MHRA, EMA EU and WHO and being used in most countries all over the world? pfizer,moderna, Janssen etc? Given that bridge trials may take months now!",['vaccinevartha'],45,Vaccination,45,2,-12.44136739,7,1,0,1.977953233,0,0,0
1.36E+18,18/2/21,12:47:38,"Singapore – The first shipment of Moderna’s Covid-19 vaccine has arrived in Singapore ahead of schedule.  On Wednesday (Feb 17), a Singapore Airlines (SIA) freighter arrived at Changi Airport at about 1:40   https://t.co/xeSRcS6zrn  https://t.co/FNbEGT4gwX",[],30,Vaccination,32,2,-14.12882071,3,0,0,2.527003551,0,0,0
1.36E+18,18/2/21,11:26:32,First Shipment of Moderna’s Covid-19 Vaccine Has Arrived Early in S’pore  https://t.co/LD6BDBgOai,[],13,Vaccination,11,1,-17.42046712,1,0,0,4.943076031,0,0,0
1.36E+18,18/2/21,8:49:52,"Moderna Covid-19 vaccine arrives in Singapore, ahead of schedule  https://t.co/9bhuZ8Qnsb  https://t.co/qXfL7l4heg",[],9,Vaccination,9,0,-16.13799757,1,0,0,7.847280453,1,0,0
1.36E+18,18/2/21,6:50:36,@KizzyPhD @TIME You're a bright star already high in the sky. Can't wait to get my Moderna vaccine!,[],14,Vaccination,16,1,-12.33722497,2,0,1,6.111149617,1,0,0
1.36E+18,18/2/21,6:07:04,First shipment of Moderna vaccine arrives in Singapore  https://t.co/paLGI5TQc2,[],8,Vaccination,8,0,-15.0110379,1,0,0,6.581527507,1,0,0
1.36E+18,3/2/21,16:28:28,"“HSA’s review of the available clinical data found that the benefits of the Moderna COVID-19 vaccine outweigh the known risks. The vaccine demonstrated a high vaccine efficacy of 94%""  https://t.co/2uRgoRlSTf",[],29,Vaccination,29,2,-12.75121795,3,0,0,3.835183726,0,0,0
1.35E+18,8/1/21,20:54:03,Congrats Moderna! Looking forward to the Approval in Singapore!! $mdrna,[],10,Vaccination,10,0,-12.63223154,1,0,0,11.51657661,2,0,0
1.34E+18,22/12/20,17:42:19,"@LividEye SG Govt signed advance purchase agreements &amp; make early down payments for Moderna, Pfizer-BioNTech, and Sinovac... more than S$1 bil set aside. They also made arrangements with pharmaceutical companies to facilitate their clinical trials and drug development in Singapore.",[],37,Vaccination,40,2,-13.62935627,6,3,0,2.048970967,0,0,0
1.34E+18,22/12/20,11:37:53,@prathgodbole Ah ok. I meant vs the general public. There is no question I'd expect the management of Pfizer or Moderna to go first.,[],22,Vaccination,23,1,-11.47379683,4,1,0,5.285074595,1,0,0
1.34E+18,19/12/20,10:39:43,Nurse who drew blood for Ma’s tests a few days ago said she wasn’t keen on the Pfizer or Moderna vaccs bcos “I’ve never seen a vaccine created so fast with so little testing” and she resents being a guinea pig.,[],44,Vaccination,41,2,-12.61079697,10,2,0,2.921776117,0,0,1
1.33E+18,1/12/20,18:24:02,"EMA to announce decision on Pfizer/BioNTech on 29 December, Moderna on 12 January. If outcome positive, European Commission could grant permit within days.  https://t.co/F2kjvCla0Z",[],22,Vaccination,24,1,-13.29388038,3,0,0,4.746664147,0,0,0
1.33E+18,18/11/20,6:02:47,Moderna: Covid vaccine shows nearly 95% protection  https://t.co/ATy8g3HQou,[],6,Vaccination,7,0,-16.56117883,1,0,0,8.963978707,1,0,0
1.33E+18,16/11/20,23:32:50,How close is a Covid-19 vaccine after the Moderna and Pfizer breakthroughs - and who will get it first?' | via @telegraph  https://t.co/tpS9rMkjqG,[],19,Vaccination,21,1,-12.8380711,2,1,0,8.69163941,1,0,0
1.33E+18,16/11/20,20:43:33,More details on Moderna vaxx storage:,[],6,Vaccination,6,0,-14.73064507,0,0,0,16.3881304,2,0,0
1.33E+18,16/11/20,20:25:05,"More on Moderna vaxx: ""For longer-term storage, it can be kept in freezers, though it doesn’t need the special facilities required for the Pfizer vaccine.""",[],25,Vaccination,25,1,-12.55329447,5,1,0,5.093688631,1,0,0
1.33E+18,16/11/20,20:25:05,"""Moderna said on Monday that new stability data showed its vaccine is stable at refrigerator temperatures for 30 days, much longer than a previously estimated seven days.""  https://t.co/fntJAhgJmc",[],26,Vaccination,27,2,-12.10431521,4,0,0,4.246330712,0,0,0
1.33E+18,16/11/20,20:23:04,"@Stowydad Moderna is fridges not freezers, is my understanding",[],8,Vaccination,8,0,-14.3346426,2,0,1,11.94874885,2,0,0
