,id,date,time,tweet,hashtags,num_words
0,1364578567418310668,2021-02-24,22:10:57,"@linchen9717 Thank you for standing up and addressing this. And guys, please, stop asking and harassing them because of this. It’s their decisions and private lives, and none of our business. As a fan, the least you could do is to just support them, and not spread rumours about them, when no-",[],52
2,1364505939722661891,2021-02-24,17:22:21,; supporting your friend’s business is good but if their service is not up to standard. Is hard to give support.,[],21
3,1364464363805962242,2021-02-24,14:37:09,@coinhako my Friday bank transfer for deposit has not showed up..and today is 3rd business day. No advice to my ticket raised to support team too.,[],25
4,1364409726319038465,2021-02-24,11:00:02,"Powell says US economy still needs Fed support, pushes back on inflation worries  https://t.co/RkPRQflD3m",[],13
5,1364310837352165381,2021-02-24,04:27:05,"Gaps in maintenance can put a system at risk while proactive, preventive programs that include software and firmware updates provide predictable, hassle-free services. Learn how services support your business:  https://t.co/cGVANLK0YH  #smartinfrastructure #securityservices  https://t.co/UP292hbbEo","['smartinfrastructure', 'securityservices']",28
6,1364310032687501319,2021-02-24,04:23:54,"Specialization, advanced training and support from @siemenssoftware help partners optimize core competencies that help win new business. Read how. #siemenspartners  https://t.co/zFdRhq9UU4",['siemenspartners'],18
7,1364307164697829377,2021-02-24,04:12:30,Support smoll business saya okayy  🌸SUSU GOATGEOS 🌸NZ CRUNCHIES 🌸AURELIA BEAUTY  ANY INQUIRY ⤵️  https://t.co/yVdXdNXcHo @nychasfoodie_  @aureliajb.nysa  @beautyshop.nysa  https://t.co/LxaRPi7lzV,[],13
8,1364267421272469510,2021-02-24,01:34:34,Useful Life Hack : Share and support your friend's small business as much as you share and hype the news of celebrity's newborn !!!,[],20
9,1364247522718277638,2021-02-24,00:15:30,"After today’s talk, I realised that support system is important in this business. You can be motivated or driven but without it, your goals might be hard to achieve",[],30
10,1364152565940674560,2021-02-23,17:58:11,@4ngelinaChin Thank you awak❤️  Hai semua❤️  I just started a new business! I jual chocojar hehe!   Shopee:  https://t.co/9VSNanstDo  hopefully you guys can support me thank you!!! 🥺  https://t.co/5CGzeoPNCC,[],24
11,1364133634077253633,2021-02-23,16:42:57,"We are committed to helping our clients meet their core business objectives through innovative, tailor-made skills development solutions. Our understanding that every client’s needs are different coupled our exceptional student support sets us apart.   #InvestInYou #Chartall  https://t.co/hN7Xk6ub31","['investinyou', 'chartall']",34
13,1364009588698316802,2021-02-23,08:30:02,"Join us on Tuesday, March 2, as we discuss effective methods for IT operations to support business velocity and remain competitive—becoming a true partner to the business.  https://t.co/Q5M50uFbwJ",[],27
