,id,date,time,tweet,hashtags,num_words
0,1364486773783453696,2021-02-24,16:06:12,WP's Pritam Singh raises several questions for DPM Heng Swee Keat on Budget 2021  https://t.co/vj60jJ5dHU  https://t.co/BSFbY61PUR,[],12
1,1363686162066411531,2021-02-22,11:04:51,"Deputy Prime Minister, Coordinating Minister for Economic Policies and Minister for Finance, Mr Heng Swee Keat, delivered the Budget Statement on Tuesday, 16 February 2021 in Parliament.  Publication of our views on various SG Budget 2021 changes:  https://t.co/5SIoI8u8C2  https://t.co/BjuIEns9pX",[],34
2,1363684558890180611,2021-02-22,10:58:29,"Singapore hopes to balance its Budget as economy picks up, said Deputy Prime Minister Heng Swee Keat – The Straits Times  https://t.co/ZwXlHnY79J",[],20
3,1363495325458042880,2021-02-21,22:26:32,"Record low in income inequality due to ‘massive transfers’, schemes tilted towards lower-income groups: Heng Swee Keat  https://t.co/laU5dERn5d  https://t.co/Cv96BOiMvP",[],16
4,1363491749499297795,2021-02-21,22:12:20,"Record low in income inequality due to ‘massive transfers’, schemes tilted towards lower-income groups: Heng Swee Keat  https://t.co/YU2SGaBMDu",[],16
5,1363457188455452673,2021-02-21,19:55:00,Ask the Finance Minister 2021 is about to begin. Watch DPM Heng Swee Keat field questions from Singaporeans on the latest Budget announcements in this #SGBudget2021 forum.   Tune in now:  https://t.co/jQZYt1kex8,['sgbudget2021'],28
6,1363145674548645890,2021-02-20,23:17:09,With Deputy Prime Minster of Singapore; Mr Heng Swee Keat #singapore #bigshot #deputyprimeminister  https://t.co/oD9X04jHzm,"['singapore', 'bigshot', 'deputyprimeminister']",10
7,1362702981477531648,2021-02-19,17:58:03,ITS Singapore readily welcomes the announcements on electric and cleaner vehicles in Deputy Prime Minister Heng Swee Keat's Budget 2021. We recognise the importance of public and private organisations rallying together towards a more environmentally sustainable land sector.  https://t.co/JcDkaLMxWi,[],36
8,1362596470650675201,2021-02-19,10:54:49,"At the 2021 Budget Statement, Deputy Prime Minister and Finance Minister Heng Swee Keat announced the following changes in continued support of workers, businesses, and the community.  Visit  https://t.co/eRlTdH5L0P for a complete summary of #SGBudget2021 support and tax changes.  https://t.co/fdmAWay92i",['sgbudget2021'],36
9,1362341091413000193,2021-02-18,18:00:01,"Following the #SGBudget2021 announcement, join our Deloitte experts in our Budget 2021 webinar as they unpack and dissect the key highlights shared by DPM Heng Swee Keat:  https://t.co/qKLFetDJ2p  https://t.co/LTVN49NkCO",['sgbudget2021'],25
10,1362327275799072770,2021-02-18,17:05:08,#ICYMI: Highlights from Budget 2021 announced by DPM Heng Swee Keat!   https://t.co/JEZTdl4DIF,['icymi'],9
11,1362101154230923273,2021-02-18,02:06:36,Singapore DPM Heng Swee Keat Announces More Support for EV Cars During Budget 2021  https://t.co/txCjhdB3Ea via @Tech360.tv Official,[],15
12,1334846951620136960,2020-12-04,21:08:08,The walk of lights @GardensbytheBay was opened by DPM Heng Swee Keat. Great outing for the Christmas Holidays  #Christmas #HolidaySeason  https://t.co/vqp0k5zUNM,"['christmas', 'holidayseason']",17
13,1328656059767025667,2020-11-17,19:07:44,High Commissioner P Kumaran had an introductory call on with DPM  Heng Swee Keat today and discussed important aspects of India-Singapore bilateral relations.  @MEAIndia @SGinIndia  https://t.co/bXjc2t5ULH,[],22
14,1289183561312948224,2020-07-31,20:58:07,Despite a “watershed” election nothing has changed. Ho Ching’s salary remains a state secret and Heng Swee Keat stands ready to issue a barrage of POFMAs against the idea that Singaporeans have a right to know what the First Lady earns when the state pays her salary,[],48
17,1282209664155807744,2020-07-12,15:06:20,"1/  Is there any doubt that Ng Chee Meng, or Heng Swee Keat would have comfortably won their constituencies, if it had been a straight up 1 on 1 contest?",[],27
18,1281801318147874817,2020-07-11,12:03:43,@kusanagiraikou If by prata flipper you mean Heng Swee Keat then yeah,[],11
19,1281659193477328896,2020-07-11,02:38:58,I was so nervous can.... heng swee keat ... heng heng ah and SWEE la,[],14
20,1281649173255688193,2020-07-11,01:59:09,3. Quality of candidates matters Jamus Lim and Tan Cheng Bock  4. Difficult time ahead for 4G Leaders especially for PM-Designate Heng Swee Keat- projected to win an embarassingly low victory of 54%  5. 2015 is a freak election - SG50 and LKY’s death   #GE2020 #SingaporeElection  https://t.co/oQ3TW8Rkvy,"['ge2020', 'singaporeelection']",36
21,1281627055415689216,2020-07-11,00:31:16,Close race in East Coast where Deputy Prime Minister (PM-Designate) Heng Swee Keat is contesting against Workers’ Party (Nicole Seah as star candidate)  #GE2020 #SGElection #SingaporeElection  https://t.co/CSqTx1H1xX,"['ge2020', 'sgelection', 'singaporeelection']",22
22,1281624562669465600,2020-07-11,00:21:21,Wonder if PAP won East Coast cause of Heng Swee Keat?,[],11
23,1281620147522826240,2020-07-11,00:03:49,#ge2020 Very very big slap for DPM Heng Swee Keat,['ge2020'],9
24,1280519606717874177,2020-07-07,23:10:39,"AGC says no offence was committed, following police reports lodged against PAP's Heng Swee Keat for comments at forum  https://t.co/IinLAJrcx5 via @TODAYonline.heng has no rights to say on majority behalf if he cannot proved we said hor.False statement",[],34
25,1280107943589842945,2020-07-06,19:54:51,"Not trying to be political but to be honest if you pit Heng Swee Keat, Shamugan and Tharman together and ask me to choose to PM...HSK wouldn't even be my second pick, let alone the first...  I have enough of rich privileged chinese men ruling the country...",[],47
27,1277990946999726080,2020-06-30,23:42:40,Tonight you alll laugh laugh at Heng Swee Keat’s clip. Videos like that will age like wine. Kids in the year 2050 would marvel at the heroic Heng Swee Keat’s speech and call it a vintage Tik Tok classic.   Perspectives.,[],41
28,1277964292327739392,2020-06-30,21:56:45,This is the East Coast Plan. #hengsweekeat #EastCoastGRC #PAP #SGElection  https://t.co/1iurQgaS04,"['hengsweekeat', 'eastcoastgrc', 'pap', 'sgelection']",6
29,1276809197724696579,2020-06-27,17:26:49,"Thread by @lim_jialiang: Let’s talk about Ivan Lim Shaw Chuan, Part II It won’t be a Singapore GE if we spend too much time on chinese mediocere we are. Heng Swee Keat has asked Ivan Lim to explain himself, and so he did. In a mis-dated press release, se…  https://t.co/se0G9elc52",[],49
30,1276725524581060608,2020-06-27,11:54:20,Heng Swee Keat says Ivan Lim should clarify these accusations    https://t.co/C5eNHgPVoT,[],10
31,1265206838594686978,2020-05-26,17:03:11,“... as long as you are willing to pick up new skills the govt will strongly support you...” Mr Heng Swee Keat. Good to see #upskilling front and centre in #budget #4 @PwC_Singapore,"['upskilling', 'budget']",28
32,1257997147640741888,2020-05-06,19:34:27,Heng Swee Keat on wage subsidies under Jobs Support Scheme for shareholder-directors  https://t.co/kFmux82sdN why are u helping shareholders/directors who are already rich..many self-employed have applied via NTUC for funds. No logic. Vote wisely,[],32
33,1256178576254070786,2020-05-01,19:08:05,People always forget that the money Heng Swee Keat is giving out is other people’s money  https://t.co/NxPQNmxrZs collector for so many years now giving us back  Yet he thinks he is Santa Claus...what u take from right to give out from left is not yours! Vote wisely.,[],48
34,1247860635280347137,2020-04-08,20:15:34,'We are in the middle of a storm': Heng Swee Keat disappointed Pritam Singh asked about size of S'pore reserves  https://t.co/RWo5ZMok3Z cash for votes what else. Thanks..my loyalty and votes remain with..,[],31
35,1247215866254462976,2020-04-07,01:33:29,Our Government is doing so much for us . Very proud and blessed to be Singaporean . hengsweekeat @ La Forketta  https://t.co/bkT7LLS8fi,[],18
36,1236896827250585600,2020-03-09,14:09:18,"The front page of Zaobao is also full of current Finance Minister Heng Swee Keat’s face, linking to an explainer for how his budget will help citizens and companies.  https://t.co/BqRpvvZmSo",[],30
37,1235573134905860096,2020-03-05,22:29:25,"ADB Establishes Office in #Singapore to Expand Strategic Collaboration. ADB President Masatsugu Asakawa and Singapore Deputy Prime Minister and Minister for Finance Heng Swee Keat today officially opened ADB’s new office in Singapore, ...  https://t.co/t1rNCKsIUj via @adb_HQ",['singapore'],34
38,1230116374501969920,2020-02-19,21:06:12,"Singapore has no immediate plans to ease property curbs, Deputy Prime Minister Heng Swee Keat says  https://t.co/x4vs1UGAtG via @markets",[],17
