,id,date,time,tweet,hashtags,num_words
0,1363655507311923207,2021-02-22,09:03:03,Singapore’s Labour Movement has been praised by the ILO for the many effective schemes and programmes introduced to support the workforce.    https://t.co/BDFjTpLFio  #Jobs #MinimumWages #NTUC #ProgressiveWageModel #PWM #Support #Triparti...  https://t.co/9TapL83gJ5,"['jobs', 'minimumwages', 'ntuc', 'progressivewagemodel', 'pwm', 'support', 'triparti']",22
1,1363411280002965508,2021-02-21,16:52:34,Staying afloat amid pandemic: What will happen to some firms when Jobs Support Scheme ends  https://t.co/QHlCB8PnIp #singapore #jobs,"['singapore', 'jobs']",15
2,1363411277423517697,2021-02-21,16:52:34,"Some firms fear they won't survive without Jobs Support Scheme, others pin hopes on taking new ...  https://t.co/B41jrUaWWl #singapore #jobs","['singapore', 'jobs']",15
3,1363411270687481861,2021-02-21,16:52:32,What is the Jobs Support Scheme?  https://t.co/UVHUGyasVt #singapore #jobs,"['singapore', 'jobs']",6
4,1363395200693858305,2021-02-21,15:48:41,What will happen to some firms when wage subsidies under Jobs Support Scheme end  https://t.co/N3kPzjvblB,[],14
5,1363337949702729728,2021-02-21,12:01:11,The extension of #Jobs Support Scheme will provide some relief to businesses in targeted sectors and help them to retain core staff and prepare for the gradual increase in demand. #SGBudget2021 Read our insights  https://t.co/GYB9xzpION  https://t.co/8EV1qTx1wb,"['jobs', 'sgbudget2021']",32
6,1363088598103429120,2021-02-20,19:30:21,The extension of #Jobs Support Scheme will provide some relief to businesses in targeted sectors and help them to retain core staff and prepare for the gradual increase in demand. #SGBudget2021 Read our insights  https://t.co/iES7Czw7pj  https://t.co/LZ0poNqoKU,"['jobs', 'sgbudget2021']",32
7,1362700992332980227,2021-02-19,17:50:08,StarHub Q4 net profit up by 3.5% to S$36.1 million on Jobs Support Scheme payouts  https://t.co/jgozACVIUg,[],13
8,1362689599936466950,2021-02-19,17:04:52,"Covid-19: Some firms say extended Job Support Scheme won’t save ailing business, others surprised by continued support  https://t.co/aINE8L7GPn via @TODAYonline",[],19
9,1362416468348952576,2021-02-18,22:59:33,"Covid-19: Some firms say extended Job Support Scheme won’t save ailing business, others surprised by continued support  https://t.co/Vwbo2DwxOZ  https://t.co/qsPMn78bDa",[],18
10,1362324068435902464,2021-02-18,16:52:23,Reskilling workers critical as Jobs Support Scheme tapers off  https://t.co/ozMFJ8ClSL #singapore #jobs,"['singapore', 'jobs']",9
11,1362161677463031811,2021-02-18,06:07:06,Reskilling workers critical as Jobs Support Scheme tapers off  https://t.co/9yVEOwbtUx,[],9
12,1295689920627892224,2020-08-18,19:52:04,@MOFsg had extended JSS for another 7 months potentially costed SGD 8 Billion which will be drawn from past reserves  #covid19 #jobsupportscheme #singapore,"['covid19', 'jobsupportscheme', 'singapore']",17
