,id,date,time,tweet,hashtags,num_words
0,1364558871004663811,2021-02-24,20:52:41,Singapore's Resilience Package: Support for Businesses and Jobs in 2021  https://t.co/p9KvVYD7xv #singapore #jobs,"['singapore', 'jobs']",8
1,1364447887510265863,2021-02-24,13:31:41,"@anand_sailor Hi Anand, we received the latest advise from our team. The mail package has been sent out on 16 February. You should be getting your SIM card  by today if not latest by Friday. (1/2)",[],33
2,1364054907175772162,2021-02-23,11:30:07,"Applications for Seed Awards 2021 now open! Maximum prize money of 15,000 Euros and a 12-month support package are awaiting for the winners! For more information, please visit:  https://t.co/tQ7TObdBXC",[],26
3,1364054907146371072,2021-02-23,11:30:07,"Applications for Seed Awards 2021 is now open! Maximum prize money of 15,000 Euros and a 12-month support package are awaiting for the winners! For more information, please visit:  https://t.co/tQ7TObdBXC",[],27
4,1362780902506565635,2021-02-19,23:07:41,"There's still time to book your FREE nursery and prenatal session!  Book a package of 3 postpartum home support visits and get a FREE PRENATAL nursery session  During your nursery session we will walk through your nursery plans, gadgets and gizmos to dis…  https://t.co/vk2UllHdSZ  https://t.co/06K3xBEhnG",[],41
5,1362582822666571778,2021-02-19,10:00:35,Are you looking for the cost-effective package with right technical &amp; development support which is critical for machine builders to simply implement the latest IIoT technology while securely connect machines to manage on-sites and remotely?  Join here  👉 https://t.co/4Qi8ZGiCfM  https://t.co/LtwURb4Hbo,[],34
6,1362308291724931073,2021-02-18,15:49:41,Know any travellers who needs to serve Stay-Home-Notice (SHN) suitable accommodation of their choice upon arrival at Singapore?  AIMS Global Mobility Team has rolled out a comprehensive SHN support package and services to make their SHN a breeze! Scan the WhatsApp QR code now!  https://t.co/Fg3ewBCRyO,[],43
7,1362245465882853377,2021-02-18,11:40:03,Budget 2021’s $870m Support Package For the Aviation Industry Will Increase Wage Subsidies by 50%  https://t.co/qqX4sKDkB0,[],13
8,1362161664829743104,2021-02-18,06:07:03,Aviation support package will increase pay subsidies for local workers  https://t.co/9SIXlQGLHl,[],10
9,1361881888395124740,2021-02-17,11:35:19,@Ang31ooo Yeah but for work i think its still not there. Gonna struggle with lot of packages as still there is no support.,[],22
10,1335526973137772546,2020-12-06,18:10:17,"Oh BTW an update, they actually reviewed my Care and Support package to the maximum amount so the balance payout in june was given to me.",[],26
11,1321770832482332677,2020-10-29,19:08:18,💍 We have launched 💍  Certified Wedding Planners for your Event Needs!  We have Promotional Packages for All Couples👫  Do check us out at  https://t.co/23dVwfjs2k  Do support us by sharing and following our page for more updates!  💖Let’s make Dream Weddings a Reality💖  https://t.co/TeX8rWSbLU,[],41
12,1268403835933868032,2020-06-04,12:46:54,Some residents were checking on date the next support package releasing the money. Hope this help.  For more details pls check.   https://t.co/e6MQPdKbSB @ Admiralty Zone 10 Residents' Committee  https://t.co/O2cN2NDUXE,[],25
13,1265188499990278144,2020-05-26,15:50:19,"#Singapore announces the ""Fortitude Budget"", the 4th #COVID19 financial package to help businesses keep #jobs for 10 months. Government support now totals at $92.8 billion, 20% of #GDP.  https://t.co/8B1m4i91pV","['singapore', 'covid19', 'jobs', 'gdp']",20
14,1257261433747697665,2020-05-04,18:50:59,Sir we already talk with him but nothing on going process sir to day I visit to hospital he all chasing for diposit for delivery packages please I need your support 🙏 sir,[],32
15,1254472754675384320,2020-04-27,02:09:46,@kiranindu8 @RaoKavitha @DGCAIndia @ysjagan @SingaporeUN @SingaporeAirID @AmitShah @leehsienloong @HardeepSPuri My hopes are there. at least my maternity packages don't treat me I am Non local. just look me as comen pregnant🤰 women normal hospital charges also I am really happy to give birth baby in Singapore. Thank you for all your support 🙏,[],42
16,1253617671800680451,2020-04-24,17:31:58,@fayazmd006 Singapore MP also try to support me but the government hospital saying we non local so he want charge me more than double double the maternity packages. Because of covid 19 I can't travel he all know the issue still the price to expensive. Because of non local brother,[],47
