,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_text,demojize_text
0,1267772505135083520,1267770819679154176,2020-06-02,18:58:13,4785314062,culturedf,Dave / Cultured Left Foot,,"I should clarify, I am not a foreign worker. I am an Employment Pass holder. Foreign Workers count as those that live in close packed dorms, make up the large majority of all of SG’s covid cases and can’t go to work for a long time.",en,[],[],[],0,0,0,[],https://twitter.com/CulturedF/status/1267772505135083520,0,[],"['clarifi', 'foreign', 'worker', 'employ', 'pass', 'holder', 'foreign', 'worker', 'count', 'live', 'close', 'pack', 'dorm', 'make', 'larg', 'major', 'sg', 'covid', 'case', 'go', 'work', 'long', 'time']","I should clarify, I am not a foreign worker. I am an Employment Pass holder. Foreign Workers count as those that live in close packed dorms, make up the large majority of all of SG’s covid cases and can’t go to work for a long time."
1,1261201939951304704,1261196856085921792,2020-05-15,15:49:09,16344278,leenugent,Lee Nugent,,"@vermasatya In Singapore, no. Same outbreak. It never settled. Nobody paid attention to the foreign worker dorms and those poor souls have taken the brunt. They are ALL being tested, so the numbers are high. Outside of that unfortunate community, transmission is 1-10 ppl per day roughly.",en,[],[],[],1,0,1,[],https://twitter.com/LeeNugent/status/1261201939951304704,0,"[{'screen_name': 'vermasatya', 'name': 'vermasatya', 'id': '18577138'}]","['singapor', 'outbreak', 'never', 'settl', 'nobodi', 'paid', 'attent', 'foreign', 'worker', 'dorm', 'poor', 'soul', 'taken', 'brunt', 'test', 'number', 'high', 'outsid', 'unfortun', 'commun', 'transmiss', 'ppl', 'per', 'day', 'roughli']","@vermasatya In Singapore, no. Same outbreak. It never settled. Nobody paid attention to the foreign worker dorms and those poor souls have taken the brunt. They are ALL being tested, so the numbers are high. Outside of that unfortunate community, transmission is 1-10 ppl per day roughly."
2,1252860933224886272,1252860933224886272,2020-04-22,15:24:58,2671787449,idkzave,˜”*°• kamado tanjirō •°*”˜,,"okay theres improvement, we need to start on the foreign worker dorms nowwwww",en,[],[],[],0,0,1,[],https://twitter.com/idkzave/status/1252860933224886272,0,[],"['okay', 'there', 'improv', 'need', 'start', 'foreign', 'worker', 'dorm', 'nowwwww']","okay theres improvement, we need to start on the foreign worker dorms nowwwww"
3,1251741795903393792,1251377910541418497,2020-04-19,13:17:55,19684195,utxo__,At the equator,,@biancoresearch @paranoidbull Singapore case is unique as about 95% of cases are happening in foreign worker dorms. Community cases are actually declining.,en,[],[],[],0,0,2,[],https://twitter.com/utxo__/status/1251741795903393792,0,"[{'screen_name': 'biancoresearch', 'name': 'Jim Bianco', 'id': '188369814'}, {'screen_name': 'paranoidbull', 'name': 'Paranoid Bull', 'id': '3368226849'}]","['singapor', 'case', 'uniqu', 'case', 'happen', 'foreign', 'worker', 'dorm', 'commun', 'case', 'actual', 'declin']",@biancoresearch @paranoidbull Singapore case is unique as about 95% of cases are happening in foreign worker dorms. Community cases are actually declining.
0,1360962974035320834,1360962974035320834,2021-02-14,22:43:53,939580784716812288,kajjafeeeiuv,nina ✨,,wad goes on in skz dorm,en,[],[],[],0,0,0,[],https://twitter.com/kajjafeeeIuv/status/1360962974035320834,0,[],"['wad', 'goe', 'skz', 'dorm']",wad goes on in skz dorm
1,1360941852103348227,1360941852103348227,2021-02-14,21:19:57,3149502374,rakuraiwielder,Kai TheEpic @ validating cheka hours 🦁,,talking about this just made me realised how well shinobu would fit into pomefiore lol. she's basically like vil when it comes to the dorm tradition of poison mastery too,en,[],[],[],0,0,0,[],https://twitter.com/rakuraiwielder/status/1360941852103348227,0,[],"['talk', 'made', 'realis', 'well', 'shinobu', 'would', 'fit', 'pomefior', 'lol', 'basic', 'like', 'vil', 'come', 'dorm', 'tradit', 'poison', 'masteri']",talking about this just made me realised how well shinobu would fit into pomefiore lol. she's basically like vil when it comes to the dorm tradition of poison mastery too
2,1360867478763499527,1360867478763499527,2021-02-14,16:24:25,1619325942,mothershipsg,Mothership.sg,,"[JUST IN] Covid-19 update in S'pore on Feb. 14:  NEW CASES: 14  * Community cases: 0 * Dorm cases: 0 * Imported cases: 14  Total cases: 59,800 #COVID19",en,[],[],[],0,5,15,['covid19'],https://twitter.com/MothershipSG/status/1360867478763499527,0,[],"['updat', 'new', 'case', 'commun', 'case', 'dorm', 'case', 'import', 'case', 'total', 'case']","[JUST IN] Covid-19 update in S'pore on Feb. 14:  NEW CASES: 14  * Community cases: 0 * Dorm cases: 0 * Imported cases: 14  Total cases: 59,800 #COVID19"
4,1360779934344482818,1360779934344482818,2021-02-14,10:36:33,1176871118788890624,nnjlaa_,naj,,dorm 11!!!!,en,[],[],[],0,0,0,[],https://twitter.com/nnjlaa_/status/1360779934344482818,0,[],['dorm'],dorm 11!!!!
5,1360623427409727490,1360623427409727490,2021-02-14,00:14:38,1018404036406472704,syafiqahfuad_,^,,it is just me looking around their dorm so clean and neat 😍✨,en,[],[],[],1,1,6,[],https://twitter.com/syafiqahfuad_/status/1360623427409727490,0,[],"['look', 'around', 'dorm', 'clean', 'neat']",it is just me looking around their dorm so clean and neat :smiling_face_with_heart-eyes::sparkles:
6,1360621618544844808,1360611436200796162,2021-02-14,00:07:27,1046730063356411906,littleidiary,📝🕛memories | little i diary 🌨 IZ*ONE DREAM,,@aienbest it's faster to install on kkura's pc than to walk back to her dorm to pick up the laptop (same logic as Yuri borrowing Minju's clothes when the dorm is just upstairs lol),en,[],[],[],0,1,14,[],https://twitter.com/littleidiary/status/1360621618544844808,0,"[{'screen_name': 'aienbest', 'name': 'Red Bean Matcha Tea', 'id': '34544126'}]","['faster', 'instal', 'kkura', 'pc', 'walk', 'back', 'dorm', 'pick', 'laptop', 'logic', 'yuri', 'borrow', 'minju', 'cloth', 'dorm', 'upstair', 'lol']",@aienbest it's faster to install on kkura's pc than to walk back to her dorm to pick up the laptop (same logic as Yuri borrowing Minju's clothes when the dorm is just upstairs lol)
7,1360578003881713670,1360578003881713670,2021-02-13,21:14:09,480965843,nanahoshiren,ling @ work hell,,Gotten permission from Lofter mutual to post their Mr Nothing/Sesa art here~   https://t.co/V8MrrYVtJf  The one who initiated the pairing due to same VA and colours as Aomine and Kagami from Kuroko no Basuke. And this screenshot in the dorm.  https://t.co/QEwqH4VRWQ,en,[],['https://ziyuanaziyuan.lofter.com/post/1d73aa29_1cb7de57a'],"['https://pbs.twimg.com/media/EuG-A-lUYAgKWYu.jpg', 'https://pbs.twimg.com/media/EuG-CXVUcAYfvo9.jpg']",0,1,7,[],https://twitter.com/nanahoshiren/status/1360578003881713670,1,[],"['gotten', 'permiss', 'lofter', 'mutual', 'post', 'mr', 'art', 'one', 'initi', 'pair', 'due', 'va', 'colour', 'aomin', 'kagami', 'kuroko', 'basuk', 'screenshot', 'dorm']",Gotten permission from Lofter mutual to post their Mr Nothing/Sesa art here~   https://t.co/V8MrrYVtJf  The one who initiated the pairing due to same VA and colours as Aomine and Kagami from Kuroko no Basuke. And this screenshot in the dorm.  https://t.co/QEwqH4VRWQ
13,1360488911395409920,1360488911395409920,2021-02-13,15:20:07,1619325942,mothershipsg,Mothership.sg,,"[JUST IN] Covid-19 update in S'pore on Feb. 13:  NEW CASES: 9  * Community cases: 0 * Dorm cases: 0 * Imported cases: 9  Total cases: 59,786 #COVID19",en,[],[],[],1,5,16,['covid19'],https://twitter.com/MothershipSG/status/1360488911395409920,0,[],"['updat', 'new', 'case', 'commun', 'case', 'dorm', 'case', 'import', 'case', 'total', 'case']","[JUST IN] Covid-19 update in S'pore on Feb. 13:  NEW CASES: 9  * Community cases: 0 * Dorm cases: 0 * Imported cases: 9  Total cases: 59,786 #COVID19"
15,1360200705194119175,1360200705194119175,2021-02-12,20:14:54,999476791474507776,ieesiveon,keiyan,,dc dorm reality show when,en,[],[],[],0,0,0,[],https://twitter.com/Ieesiveon/status/1360200705194119175,0,[],"['dc', 'dorm', 'realiti', 'show']",dc dorm reality show when
