,id,date,time,tweet,hashtags,num_words
0,1309269795934744576,2020-09-25,07:13:39,@travelfish The impact the effective response is evident in yesterdays’s #COVID19 update  New cases: 15 - Imported: 5  - Cases in community: 0  - Cases residing in foreign worker dormitories 10.                                      https://t.co/BYxwlzV01c,['covid19'],23
1,1274151754083389446,2020-06-20,09:27:05,"...its reputation has been damaged by a large-scale #outbreak within foreign-worker dormitories, which has prompted economically damaging #lockdown measures.","['outbreak', 'lockdown']",15
2,1262459978532532224,2020-05-19,03:08:08,"@TishaCM @bmw2430 And regarding their foreign worker dormitories, they have recognised long before how wrong their living condition was. That’s why they have set up some strategies to mass test them and set up temporary places where they could stay once infected. Again, I am not defending SG",[],47
3,1259018715217051651,2020-05-09,15:13:47,"And again: ""...the vast majority of whom are Work Permit holders residing in foreign worker dormitories. Nine cases are Singaporeans/ Permanent Residents.""",[],22
4,1253686681124757504,2020-04-24,22:06:11,"@biannagolodryga Though important to note that nearly all cases are centralized in foreign worker dormitories. Community spread elsewhere on the island is under control. But yes, it’s hot &amp; sticky and cases are still growing",[],34
5,1253589603124051969,2020-04-24,15:40:26,"“The vast majority of the new cases are work permit holders residing in foreign worker dormitories, the Ministry of Health (MOH) said in its preliminary release of figures.  Thirteen of the cases are Singaporeans or permanent residents.”  it’s going down! slowly but surely!",[],44
6,1252503939540344835,2020-04-21,15:46:24,"JUST IN: Singapore has 1,111 new COVID-19 cases, the vast majority of whom are work permit holders living in foreign worker dormitories.   https://t.co/dBougQaNYK",[],21
7,1252382747714187266,2020-04-21,07:44:49,Why PAP refuses to heed advice on foreign worker dormitories  https://t.co/Q1auI65maC failure to listen to the grounds show the arrogance of PAP ministers. These are higheat paid ministers in the world. Sack them come next GE!,[],35
8,1252294771504148480,2020-04-21,01:55:14,"Singapore: 75% of total cases linked to foreign worker dormitories, 3 new clusters identified.  https://t.co/KFouNZA7hx",[],12
9,1251727164640161792,2020-04-19,12:19:46,"@biancoresearch Factually incorrect. Spike in cases is restricted to foreign worker dormitories. Partly due to 100% testing carried out there. Cases are mild. Yesterday, new cases in the general population less than 30. Total fatalities since crisis began: 11",[],35
10,1250052586415116289,2020-04-14,21:25:36,"COVID-19: All foreign worker dormitories to have medical teams of doctors and nurses from hospitals, polyclinics  https://t.co/JLllGZ1y5K",[],16
11,1249848568896081920,2020-04-14,07:54:54,"@tomfgoodwin Well, numbers do keep increasing but it's largely contained outside of foreign worker dormitories largely due to contact tracing.  Extreme social distancing measures weren't out in place til last Tues/Weds. Masks only made mandatory a couple days ago for markets, malls,",[],40
12,1248397371865628672,2020-04-10,07:48:22,"Record 287 new Covid-19 cases in S'pore, links found between Mustafa Centre and clusters in foreign worker dormitories #CoronavirusOutbreak #Singapore  https://t.co/eT4AKxDmhB","['coronavirusoutbreak', 'singapore']",16
13,1247882195810676737,2020-04-08,21:41:14,"Singapore confirms 142 new coronavirus cases in biggest daily jump, 40 linked to foreign worker dormitories",[],14
14,1247587355520667649,2020-04-08,02:09:39,"106 new Covid-19 cases in Singapore, 39 linked to known clusters at foreign worker dormitories  https://t.co/VypO2Aveb4",[],13
15,1246839096976130052,2020-04-06,00:36:20,"Record 120 new coronavirus cases in Singapore, 2 foreign worker dormitories gazetted as isolation areas. Over 20,000 people isolated in single cluster. Total cases 1309+ in Singapore. #coronavirus #covidsg  https://t.co/NRyXdghmwT","['coronavirus', 'covidsg']",23
