,id,date,time,tweet,hashtags,num_words
0,1360778455747465219,2021-02-14,10:30:40,"🇸🇬 has implemented a system whereby all foreign workers especially staying at the dorms are being tested every fortnightly.  If 🇲🇾 is not going to study how 🇸🇬 is implementing it, I'm afraid infection rate will not come down.    https://t.co/NwEERZCtDi",[],35
1,1360603696292192267,2021-02-13,22:56:14,@Muahahaziq makes me wonder why do we call folks from India/Bangladesh 'foreign workers' while folks from other countries 'expats' yknw,[],20
2,1360592019081502735,2021-02-13,22:09:50,"JUST IN: Eight of the new cases are foreign domestic workers, while one is a work pass holder from Russia  https://t.co/Ix2gSRAxn8 #COVID19 #Singapore","['covid19', 'singapore']",20
3,1360590612433494019,2021-02-13,22:04:15,8 of the 9 new #COVID19 cases reported in Singapore today are foreign domestic workers  https://t.co/LFdh5hEH3r  https://t.co/2GMAWUkwes,['covid19'],12
4,1359976641011675136,2021-02-12,05:24:33,"KL offering free shots for foreign workers, undocumented migrants  https://t.co/MgKIf8cQaP",[],9
5,1359865607320072197,2021-02-11,22:03:20,“A silver lining to this pandemic is that it has accelerated the improvement of the living conditions of the foreign workers” is truly a terrible closing line for this episode. We shouldn’t have to wait for a catastrophe to learn to treat people with respect.,[],46
7,1359435702157643776,2021-02-10,17:35:03,Move to house foreign workers in Malaysia hotels draws criticism -  https://t.co/GVajaljKkM  https://t.co/awKPcs8MFf,[],10
8,1359393421517942786,2021-02-10,14:47:02,Time running out for Indian workers trapped since glacier disaster  https://t.co/GdHIQSV9jY,[],10
9,1359063754395197441,2021-02-09,16:57:03,Kidnapped Chinese workers freed in Nigeria: Police  https://t.co/cwlWtSStWr,[],7
10,1359048018142498821,2021-02-09,15:54:32,Amazon workers begin voting in landmark US union push  https://t.co/7WEPRPRVtg,[],9
11,1358960056134475776,2021-02-09,10:05:00,"Saving jobs in Budget 2021: What and whose #jobs to save? Low-income workers, PMETs, gig economy workers, foreign labour?  https://t.co/zKbWkFjGUR",['jobs'],16
13,1358579433037205504,2021-02-08,08:52:32,France's latest Covid-19 measure: Letting workers eat at their desks  https://t.co/D4F1GZbZNj,[],9
14,1358434425281781760,2021-02-07,23:16:20,We treat our foreign workers as subhuman and wonder why we can't be a kinder society.,[],15
15,1358334968183726080,2021-02-07,16:41:07,@FatinNabihahR Yep sis betul apa you cakap. Telus is the right word! And yes free masks were given to all citizens and foreign workers as well. If I am not mistaken dah 4 kali dapat. 😀,[],33
16,1355889976773275648,2021-01-31,22:45:36,They should allow me to donate my Singapore Rediscover Vouchers to foreign workers!!,[],13
18,1347807074617499649,2021-01-09,15:27:02,"Respect this foreigners , they were the ones building all buildings from cocncrete . Raining also they keep going on with their job. 👍🏽👍🏽 #foreignworkers  #hustling  https://t.co/gLcXMiXRQ6","['foreignworkers', 'hustling']",21
