,id,date,time,tweet,hashtags,num_words
0,1364623117058854913,2021-02-25,01:07:59,‘We have to do better’ to detect abuse of foreign domestic workers: Josephine Teo   https://t.co/05zhCLpWHE  https://t.co/6kQPBzTWHm,[],14
1,1364589423812247553,2021-02-24,22:54:06,Case of Myanmar maid who was abused and killed 'appalling': Josephine Teo  https://t.co/MVF9FX9Ui6,[],12
2,1364582219780554752,2021-02-24,22:25:28,Myanmar maid Piang Ngaih Don’s suffering and death should never have happened: Josephine Teo  https://t.co/BK6RnnrgA3,[],15
3,1364578209166024705,2021-02-24,22:09:32,Case of Myanmar maid who was abused and killed 'appalling': Josephine Teo  https://t.co/TduqkRew5m,[],12
4,1364212186567090177,2021-02-23,21:55:05,Ministry of Manpower (@MOM_sg) and Josephine Teo should be on trial for their condoning of employer abuse through lax supervision and lack of regulation of working conditions. Teo will undoubtedly use as her excuse that she never heard any complaints!  https://t.co/sAlMJ0npUO,[],39
5,1362741489575497734,2021-02-19,20:31:04,"Career centres helped 25,000 S'poreans and PRs find jobs in 2020: Josephine Teo  https://t.co/ieZxAvLt1t",[],10
6,1357888686625484803,2021-02-06,11:07:45,It is the smallest studio apt I have ever X&amp;@_#+ in! Flipped both his legs up in the air (from his sofa) and the right 1 hit the kitchen cabinet ..  Josephine Teo approved session,[],33
7,1301346288911314945,2020-09-03,10:28:27,I beginning to like #ministersg  #josephineteo she is a tough lady. Is definitely not easy during this difficult time. We should appreciate our MP’s contribution for our people our nation #TogetherStronger #onenationonesingapore,"['ministersg', 'josephineteo', 'togetherstronger', 'onenationonesingapore']",29
8,1301013824242241537,2020-09-02,12:27:22,Parliament: Josephine Teo spars with opposition MPs in debate on PMET jobs  https://t.co/6vx19nUm2d locals 36k in 5 yes n FTs up 45k in 5 yrs @ 9k yearly what a joke. FTs create jobs for themselves more. Please resign someone is not performing inside MOM.,[],38
10,1281660111274913793,2020-07-11,02:42:37,"everytime i see josephine teo, i always get reminded of the uncle who told her off ‘no use la’ lol",[],20
11,1281653155789287424,2020-07-11,02:14:58,"#CNA just said Josephine Teo did ""really well."" No, not with someone like Lim Tean getting even 30-odd %. #GE2020","['cna', 'ge2020']",17
12,1280513376528064512,2020-07-07,22:45:54,"If there’s one MP that’s got to go, it’s Josephine Teo! Can’t stand the sight of her! She’s so fake and every time she opens her mouth it’s full of rubbish!",[],37
13,1279732274703945728,2020-07-05,19:02:05,Turns on Channel 5 because Jurong GRC’s constituency speeches are today  Josephine Teo is the first to pop up  #boo,['boo'],19
14,1277472442097610752,2020-06-29,13:22:19,"Manpower Minister Josephine Teo moves over to Jalan Besar GRC to lead the PAP team, following Dr Yacob Ibrahim and Dr Lily Neo’s retirement from politics. Mrs Teo was previously with Bishan-Toa Payoh GRC. Newbie Wan Rizal joins Denise Phua and Heng Chee How. #GE2020  https://t.co/7TCFzy4ONM",['ge2020'],44
15,1257527242067832832,2020-05-05,12:27:12,Walau this Josephine Teo shuddup la.,[],6
16,1250120882523013120,2020-04-15,01:56:59,"Minister Josephine Teo: Protect our migrant workers from Covid-19 - Sign the Petition!  https://t.co/cTbrAJS085 via @Change — SG is already taking some action, I hope it takes more",[],24
17,1240836408732012544,2020-03-20,11:03:48,"Minister Josephine Teo sharing Post Budget @ Employment &amp; Employability Institute, e2i  https://t.co/8Vr0PmBvTP",[],9
19,1239896383156637697,2020-03-17,20:48:28,Excellent “interviewee” MONEY FM 89.3 and Primetime talked to Minister for Manpower Josephine Teo about fair opportunities for career progression - tackling mid-career transitions and the importance of upskilling.…  https://t.co/05UCVu7pwy,[],26
20,1234751722855096320,2020-03-03,16:05:25,"Freelancers to get triple boost: Help with healthcare, retirement savings and training, says Josephine Teo  https://t.co/lLL40C45Gg  Download the TODAY app at  https://t.co/CHQ84vbO47",[],20
21,1213336903086329857,2020-01-04,13:50:35,"Did MoM just call itself a liar? | ""SDP calls for Josephine Teo to retract correction directions, apologise""  https://t.co/mPITZCQYKc #pofma #owngoal #allyourresearch","['pofma', 'owngoal', 'allyourresearch']",17
