,id,date,time,tweet,hashtags,num_words
0,1364212186567090177,2021-02-23,21:55:05,Ministry of Manpower (@MOM_sg) and Josephine Teo should be on trial for their condoning of employer abuse through lax supervision and lack of regulation of working conditions. Teo will undoubtedly use as her excuse that she never heard any complaints!  https://t.co/sAlMJ0npUO,[],39
1,1362346360670937088,2021-02-18,18:20:58,Singapore – The Ministry of Manpower (MOM) is investigating 15 work pass holders whose work pass applications include educational qualifications from a university recently exposed for having sold fake degrees.   https://t.co/n1SBWewOXo  https://t.co/dCnjYq833S,[],28
2,1362076893516685313,2021-02-18,00:30:12,Ministry of Manpower investigating work pass holders who declared qualifications from Indian private university that sold fake degrees  https://t.co/CAMhfx6ywT,[],18
3,1352486451557109760,2021-01-22,13:21:12,I'm at Ministry of Manpower (MOM HQ) in Singapore  https://t.co/C76fHGBas6,[],8
5,1260786170247577600,2020-05-14,12:17:01,"@SRR_MSEcon @stealer_tweet @Jessica_Fav @joshsternberg @itstheannmarie @scottlucas If you feel unfairly terminated, you can report it to the Ministry of Manpower. They will punish the company by removing certain privileges etc.  It seems crazy that you can fire people without notice where you are??",[],37
6,1258254928297984002,2020-05-07,12:38:46,Happy Vesak Day! (3+ am 7th May) What is happening in Singapore in this wee hour of the morning??!! Fellow Singaporeans are out here making a difference. Working with Singapore Ministry of Manpower to identify the…  https://t.co/rxldrCGioL,[],34
11,1251757765464334338,2020-04-19,14:21:22,"@thesatbir In India yes for sure! Come to singapore and see the rights Ministry of Manpower gives them! It's mind blowing! I have a new found genuine respect for all the helpers, maids in India. Cannot believe they are not only underpaid but abused too as no law is in place to protect them!",[],52
12,1249186529039220737,2020-04-12,12:04:11,This is so bullshit that I will hunt down an article by the Ministry of Manpower to cite so I can put that word into an academic paper. Things are getting a bit out of hand honestly.,[],37
13,1245738972090777600,2020-04-02,23:44:50,"People might actually call MOM or MOH (Ministry of Manpower/Health) to complain and there’d be consequences. They realised this, got scared, so eventually announced that every Thursdays will be WFH until the situation stabilises. Tangina kasi, parang ayaw daw talaga nila magpa",[],44
15,1239804737374941184,2020-03-17,14:44:18,Msian worker accommodation  Affected By Lockdown in Malaysia   https://t.co/yyN3zwHPp6  Please contact:  Ministry of Manpower   Form:  https://t.co/QHqTFcfwzh   https://t.co/YegWgVhRr7    https://t.co/thiDivGhVx  https://t.co/j6A6Y0f3xb,[],14
16,1239461272048898048,2020-03-16,15:59:29,Did you know that the Gender Pay Gap in Singapore stands at 16.3% according to SG’s own Ministry of Manpower. The @wef estimates at 72.4% for Singapore. Recognizing that the problem goes some way towards addressing it. My interview with @CGTNOfficial  https://t.co/GRtAbaDj7j  https://t.co/3hrV97Oedp,[],38
