,id,date,time,tweet,hashtags,num_words
0,1364724629219123201,2021-02-25,07:51:21,"Mom , you always in my heart ❤️",[],6
1,1364724545551179778,2021-02-25,07:51:01,@GifsAnime_ When you forgot to clean up the house after knowing mom is about to get home,[],16
2,1364724127009939456,2021-02-25,07:49:21,*👩‍👦HBD My World 🌎 Love You Mom❤️🎂😘*  https://t.co/nhRjfC9bzb,[],6
3,1364716137519415303,2021-02-25,07:17:37,#RT @cafemom: Mom Says a Stranger Randomly Punched Her Sleeping Toddler in the Face &amp; Nobody Helped  https://t.co/lar06ac8Yj,['rt'],14
5,1364710349979545601,2021-02-25,06:54:37,"@U4EUH_ Hello! I’m Norlin, Singapore Army mom. JK-biased but very much OT7. I followed you. ✌🏼💜",[],13
6,1364681240851353601,2021-02-25,04:58:57,Son desperately pleading polices not to take his mom away  #WhatsHappeningInMyanmar  #HearTheVoiceOfMyanmar  #ASEANRespectOurVotes,"['whatshappeninginmyanmar', 'hearthevoiceofmyanmar', 'aseanrespectourvotes']",10
9,1364632809072132102,2021-02-25,01:46:29,@hannayuri_twt The courageous child’s words - “Don’t touch my mom!” “My mom is a good person.” “You all aren’t trustworthy!” are ringing in my head. We must win this fight against the unjust no matter what! #WhatsHappeningInMyanmar,['whatshappeninginmyanmar'],37
10,1364630952094273537,2021-02-25,01:39:07,"The military coup again invaded civilian’s house without any warrant and detain the wife in Dawei. In this video, you can hear the young boy crying and shouting to the police not to hurt or take his mom away. FREEDOM FOR PRESS #Feb24Coup #WhatsHappeningInMyanmar","['feb24coup', 'whatshappeninginmyanmar']",43
11,1364630801879494667,2021-02-25,01:38:31,Little boy cried “ Don’t touch my mom. Don’t catch her. My mom doesn’t do any bad thing. She is a good mom.I don’t trust all of you.  A boy shouted screamingly while his mom was seized by a group of police.  #WhatsHappeningInMyanmar #HearTheVoiceOfMyanmar  https://t.co/8VzXZP3L38,"['whatshappeninginmyanmar', 'hearthevoiceofmyanmar']",46
12,1364627531530264576,2021-02-25,01:25:31,"I look different in my room mirror, bathroom mirror, mom's room mirror, back camera, front camera, side mirror, back mirrors, mall transparent mirrors, reflection in water...   Idk how my face actually look like. Which to believe? This world is a lie. Help.",[],41
14,1364621152757239812,2021-02-25,01:00:10,The child is begging and cryin not to detain his mom💔The wife of a former army officer reveal she stand for democracy on Facebook and was violently arrested by police. #WhatsHappeningInMyanmar #WeWantJustice #Feb24Coup,"['whatshappeninginmyanmar', 'wewantjustice', 'feb24coup']",31
15,1364616332520476679,2021-02-25,00:41:01,Okay but my mom rickrolling me was the highlight of my day :D,[],12
16,1364616246650527747,2021-02-25,00:40:41,How could they do that in front of a child who was begging them not to arrest his mom. Devils with no heart. Hope karma will find them soon. Eng subbed vid also included in the thread.  FREEDOM FROM PRESS   #WhatsHappeningInMyanmar  #Feb24Coup,"['whatshappeninginmyanmar', 'feb24coup']",40
18,1364607596531904515,2021-02-25,00:06:18,"This can give a HUGE TRAUMA to the little kid. Myanmar military &amp; police have NO humanity at all. In video, the little kid is crying and begging not to arrest his mom. It's really heartbreaking.  #CrimesAgainstHumanity  #WhatsHappeningInMyanmar  #Feb24Coup","['crimesagainsthumanity', 'whatshappeninginmyanmar', 'feb24coup']",34
