,id,date,time,tweet,hashtags,num_words
0,1364723609642565634,2021-02-25,07:47:18,"The Department of Education (DepEd) in a statement on Wednesday said President Rodrigo Duterte makes the final decisions on education policies, including the postponement of face-to-face classes.   https://t.co/kmW34twcak",[],26
1,1364682696790663168,2021-02-25,05:04:44,cnt believe i actually beg someone to stay face to face ..,[],11
2,1364567440789704707,2021-02-24,21:26:44,Mernel Event Official Notice on their website:   “Mernel 2021 First Face-to-face Fansign Event” 🌊🌊🌊  @konnect_danielk #강다니엘 #KANGDANIEL  https://t.co/FtK7tUyGX4,"['강다니엘', 'kangdaniel']",11
3,1364564129986400256,2021-02-24,21:13:35,"About 1.5mth after my first day on the job, I finally got to meet colleagues face to face!! BIG HUGS!  Feels so oddly good!  Also, I’m seeing the benefits of shorter sprints and pivots at work. New to me, so it was a struggle to adjust. Whew. 😅😅",[],48
5,1364440953780494339,2021-02-24,13:04:08,(TRANS)  MINA “TWICE IN WONDERLAND TEASER”  Q: What present do you want to give to ONCE?  Mina: All of us having the chance to meet face-to-face with ONCE... I want to give that as a present!  https://t.co/Wjf6RJPoup,[],35
6,1364438449651032064,2021-02-24,12:54:11,Are they dating in Thailand instead? Why are they so serious to meet face to face ?,[],16
7,1364437857146822656,2021-02-24,12:51:49,@sorcy79au Haha. I knw what you mean. Just sometime words might be interpret differently by different ppl. Even when my friend talk to my face to face. We also try to point it out with a manner thag all of us feel comfortable with,[],43
8,1364394526731767809,2021-02-24,09:59:39,Very nice to give a face to face (behind a mask) talk at NUS today. Felt a bit strange having an audience.  https://t.co/UvBHpWgLLK,[],22
9,1364369314275463174,2021-02-24,08:19:27,One thing that I also noticed: Face-to-face classes are still not being allowed but children who are not wearing any face covering are freely playing on the streets of their barangays. Barangay and other local government officials just ignore them like as if they do not care.,[],46
10,1364208562705063936,2021-02-23,21:40:41,what do you do when you realise that you're slowly outgrowing  people in your life? do you just slowly go away? or tell them face to face? or lessen your conversations with them? or just be there for them til you both are on the same page again?,[],47
12,1364089285033385984,2021-02-23,13:46:43,"@treydayway @konfusionk Monitors are complete bastards. Went face to face with one is a swimming pool once. The staple diet of crocs though, who are even bigger bastards.",[],26
13,1364047218718638085,2021-02-23,10:59:34,"makes use of his experience to produce a hit manga series titled ""34"" and later gets married to his girlfriend Natsumi (Takahata); however, a series of murders mirroring his manga start surfacing and he comes face-to-face with the murderer Morozumi (Fukase);",[],39
16,1363794063908958208,2021-02-22,18:13:37,President Rodrigo Duterte thumbed down the proposal of the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF-EID) to resume  face-to-face classes in the country.   https://t.co/xJsA4MwKxZ,[],24
17,1363753698472517642,2021-02-22,15:33:13,Bibo guro ning art-app if face to face lol 🤪,[],8
