,id,date,time,tweet,hashtags,num_words
0,1344104771498569728,2020-12-30,10:15:24,"With all the safe entry sessions in Singapore, how big is the data storage per day?",[],16
1,1343873725272244226,2020-12-29,18:57:18,"Scanned a TT only SafeEntry QR code. Told the staff I can't scan it, here's my token. Staff said oops. They can't scan too. Come on in.  Isit mandatory TT coming soon?",[],29
2,1343436646935654407,2020-12-28,14:00:31,"Food is in the pantry Singapore is a safe country In your heart, I want to do a SafeEntry 💘 @ MBS Skypark Observation Deck  https://t.co/NFJJnZ6agu",[],23
3,1341757277234102273,2020-12-23,22:47:18,Just got home after a long day of SafeEntry work. Too tired plus something didn't turn out smoothly by the time I ended work. And I got home and somehow got dragged into my mum's unreasonable fight with my sis. Emotionally distressed... I need time to slowly process everything 😨,[],47
4,1339126664983314432,2020-12-16,16:34:11,"Lol just saw a Chinese from China arrive and tried entering jewel only to get rejected entry by the safe entry guy. Feel bad tho, the girl was asking so nicely but the guy don’t understand Chinese so he just getting annoyed. Would’ve helped but I’m lazy..",[],50
5,1337998161369997314,2020-12-13,13:49:55,@he_koh @mrbrown Great idea. I’m baffled that TT penetration is so low when Smartphone penetration in Singapore is so high. Are people still using SafeEntry on SingPass??,[],26
7,1337038552417193984,2020-12-10,22:16:46,It is a tradition of mine since 10 years ago to take a pic with the Taka Christmas 🎄 becos they make the best 🎄 every year. This year there wasn’t any tree but instead replaced with marking stickers and safe entry gantry. A little disappointed but I shall forward to the next.  https://t.co/eu5PVxWfwk,[],51
8,1336839300294430720,2020-12-10,09:05:01,About 6 officers manning the only #SafeEntry desk into the wet market.  https://t.co/N1vUHZcjD2,['safeentry'],10
9,1336102403939057686,2020-12-08,08:16:51,Hot damn I've been taking Singapore's SafeEntry QR Codes for granted,[],9
10,1333338030212575233,2020-11-30,17:12:13,"So do squirrels, birds and other tree dwellers have to Safe Entry themselves in for every tree they visit? 😂 @ Membina Court  https://t.co/4MBZ5a3iWt",[],21
11,1332590273646321664,2020-11-28,15:40:54,"""New SafeEntry Gateway device to make #TraceTogether check-ins more convenient""   https://t.co/Y5rCRq4B30",['tracetogether'],8
12,1332575663182602240,2020-11-28,14:42:50,"SafeEntry Gateway is designed and built in-house by the Smart Nation and Digital Government Group.  It's currently on trial at Downtown East until the end of the year, so if you happen to be there, do give it a go!  https://t.co/qpmmDfGfLr",[],38
13,1332574628837953536,2020-11-28,14:38:44,"This device, called the SafeEntry Gateway, aims to make TraceTogether check-ins as quick and easy as using an EZ-Link card.   That means no more waiting in line to scan a QR code or your IC when you're entering a shopping mall or supermarket (especially during peak hours)!  https://t.co/kn0F5hZgVm",[],44
14,1332293125331587072,2020-11-27,20:00:08,And I hope the #SafeEntry Admins are counting visitors to VivoCity and Harbour Front Center as a single mall,['safeentry'],18
