,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_text,demojize_text
0,1341790981817974787,1341729238819323906,2020-12-24,01:01:13,97009642,nubu515,NUBU@マレーシア～🇲🇾💋☀️,,@mobile_ameryu I forgot. Watching Home Stay without notice FB 😅😅,en,[],[],[],0,0,0,[],https://twitter.com/nubu515/status/1341790981817974787,0,[],"['forgot', 'watch', 'home', 'stay', 'without', 'notic', 'fb']",@mobile_ameryu I forgot. Watching Home Stay without notice FB :grinning_face_with_sweat::grinning_face_with_sweat:
1,1337328549766696961,1337285701558095872,2020-12-11,17:29:07,965338389644914688,9plus11,charpyqe,,"@C0MRAD3NlC Stay home notice, basically if you came back from overseas you gotta stay home for 2 weeks",en,[],[],[],1,0,1,[],https://twitter.com/9plus11/status/1337328549766696961,0,[],"['stay', 'home', 'notic', 'basic', 'came', 'back', 'oversea', 'got', 'ta', 'stay', 'home', 'week']","@C0MRAD3NlC Stay home notice, basically if you came back from overseas you gotta stay home for 2 weeks"
2,1332548309496586240,1332543881913708544,2020-11-28,12:54:09,816398136847597569,sarcasticlibra8,Kris-T,,@razamataz63 Maybe see if #Days announces anything this weekend. But the cast is on break anyway right now so they just may extend the break to coincide with the new stricter stay home notice,en,[],[],[],0,0,1,['days'],https://twitter.com/SarcasticLibra8/status/1332548309496586240,0,"[{'screen_name': 'razamataz63', 'name': '⏳Kelly⌛️', 'id': '1083922352'}]","['mayb', 'see', 'announc', 'anyth', 'weekend', 'cast', 'break', 'anyway', 'right', 'may', 'extend', 'break', 'coincid', 'new', 'stricter', 'stay', 'home', 'notic']",@razamataz63 Maybe see if #Days announces anything this weekend. But the cast is on break anyway right now so they just may extend the break to coincide with the new stricter stay home notice
3,1329782325543018497,1329782325543018497,2020-11-20,21:43:07,266481056,margrietvonno,NLambasSingapore,,Sinterklaas has finished his Stay At Home Notice at the Dutch residence in Singapore. Together with my Belgian colleague I had the privilege of sharing our first pepernoten of 2020. Sint and his Pieten are back even in our Covid-19 year.  https://t.co/fVGKiTT2Pv,en,[],[],['https://pbs.twimg.com/media/EnRV-T9VQAcWiPC.jpg'],1,0,36,[],https://twitter.com/MargrietVonno/status/1329782325543018497,1,[],"['sinterklaa', 'finish', 'stay', 'home', 'notic', 'dutch', 'resid', 'singapor', 'togeth', 'belgian', 'colleagu', 'privileg', 'share', 'first', 'pepernoten', 'sint', 'pieten', 'back', 'even', 'year']",Sinterklaas has finished his Stay At Home Notice at the Dutch residence in Singapore. Together with my Belgian colleague I had the privilege of sharing our first pepernoten of 2020. Sint and his Pieten are back even in our Covid-19 year.  https://t.co/fVGKiTT2Pv
4,1316387412822560769,1316387412822560769,2020-10-14,22:36:31,2173945244,hyewonii_,Hyewon Hwang,,Today is Day-12 of my stay home notice at JWmarriott. MOH called me and said I am issued with quarantine order because there was a positive case on my flight from Seoul. They transferred me to government facility and here I’m with a tracking wristband at Sofitel. What a day😭,en,[],[],[],5,0,14,[],https://twitter.com/hyewonii_/status/1316387412822560769,0,[],"['today', 'stay', 'home', 'notic', 'jwmarriott', 'moh', 'call', 'said', 'issu', 'quarantin', 'order', 'posit', 'case', 'flight', 'seoul', 'transfer', 'govern', 'facil', 'track', 'wristband', 'sofitel', 'day']",Today is Day-12 of my stay home notice at JWmarriott. MOH called me and said I am issued with quarantine order because there was a positive case on my flight from Seoul. They transferred me to government facility and here I’m with a tracking wristband at Sofitel. What a day:loudly_crying_face:
5,1311338056977248257,1311337855017345024,2020-10-01,00:12:10,1482348127,mferrisn,M.Faris.N,,@QweenSativaa Destination: 14 day stay home notice.,en,[],[],[],0,0,0,[],https://twitter.com/MFerrisN/status/1311338056977248257,0,"[{'screen_name': 'QweenSativaa', 'name': '♦La Tosca 💀', 'id': '50233120'}]","['destin', 'day', 'stay', 'home', 'notic']",@QweenSativaa Destination: 14 day stay home notice.
6,1303524205242187776,1303523787070083072,2020-09-09,10:42:43,38179153,rezaprabowo,Reza Prabowo,,"She got a 5 days stay home notice, can only go out to go to the doctor. The fine for breaking it is up to $10,000.",en,[],[],[],2,1,0,[],https://twitter.com/rezaprabowo/status/1303524205242187776,0,[],"['got', 'day', 'stay', 'home', 'notic', 'go', 'go', 'doctor', 'fine', 'break']","She got a 5 days stay home notice, can only go out to go to the doctor. The fine for breaking it is up to $10,000."
7,1294471170239078400,1294471170239078400,2020-08-15,11:09:11,65908133,fliesfry,MessyGal,,"Notice I only eat late fast food dinner when I came home from my work place. 🤔  It’s a sign, healthy living equates to stay away from office!  P.s. am I pointing middle finger here? Anyway try this latest floss flavour. Quite good for me who am always so-so with floss.  #kfc  https://t.co/GFEz4BvYOG",en,[],[],['https://pbs.twimg.com/media/Efbio4yU0AIdHc1.jpg'],0,0,0,['kfc'],https://twitter.com/FliesFry/status/1294471170239078400,1,[],"['notic', 'eat', 'late', 'fast', 'food', 'dinner', 'came', 'home', 'work', 'place', 'sign', 'healthi', 'live', 'equat', 'stay', 'away', 'offic', 'point', 'middl', 'finger', 'anyway', 'tri', 'latest', 'floss', 'flavour', 'quit', 'good', 'alway', 'floss']","Notice I only eat late fast food dinner when I came home from my work place. :thinking_face:  It’s a sign, healthy living equates to stay away from office!  P.s. am I pointing middle finger here? Anyway try this latest floss flavour. Quite good for me who am always so-so with floss.  #kfc  https://t.co/GFEz4BvYOG"
8,1293558322289770496,1293558322289770496,2020-08-12,22:41:51,172733155,alvin_lee228,Alvin,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}",🍪 I’ve ended my Stay Home Notice today and I couldn’t have gotten through it without these delicious Earl Grey Infused Cookies from coffee.crisis. Each one comes with a chocolate surprise in the middle.⠀ ⠀ 🍫All you…  https://t.co/NHnoLduomi,en,[],['https://www.instagram.com/p/CDywFChDqyL/?igshid=nut0kthenb8f'],[],0,0,0,[],https://twitter.com/alvin_lee228/status/1293558322289770496,0,[],"['end', 'stay', 'home', 'notic', 'today', 'gotten', 'without', 'delici', 'earl', 'grey', 'infus', 'cooki', 'one', 'come', 'chocol', 'surpris', 'middl']",:cookie: I’ve ended my Stay Home Notice today and I couldn’t have gotten through it without these delicious Earl Grey Infused Cookies from coffee.crisis. Each one comes with a chocolate surprise in the middle.⠀ ⠀ :chocolate_bar:All you…  https://t.co/NHnoLduomi
12,1284185879431360512,1284185879431360512,2020-07-18,01:59:07,908615605875499009,cherylgohcna,Cheryl Goh,,"#COVID__19 : From 19 Jul, travellers entering Singapore from Australia’s Victoria state, Japan and Hong will have to serve their 14-day Stay Home Notice at a government facility. Singaporeans advised not to travel for the time being.  https://t.co/LSPDwF13Cg",en,[],[],[],1,2,8,['covid__19'],https://twitter.com/CherylGohCNA/status/1284185879431360512,1,[],"['jul', 'travel', 'enter', 'singapor', 'australia', 'victoria', 'state', 'japan', 'hong', 'serv', 'stay', 'home', 'notic', 'govern', 'facil', 'singaporean', 'advis', 'travel', 'time']","#COVID__19 : From 19 Jul, travellers entering Singapore from Australia’s Victoria state, Japan and Hong will have to serve their 14-day Stay Home Notice at a government facility. Singaporeans advised not to travel for the time being.  https://t.co/LSPDwF13Cg"
