,id,date,time,tweet,hashtags,num_words
0,1341790981817974787,2020-12-24,01:01:13,@mobile_ameryu I forgot. Watching Home Stay without notice FB 😅😅,[],8
1,1337328549766696961,2020-12-11,17:29:07,"@C0MRAD3NlC Stay home notice, basically if you came back from overseas you gotta stay home for 2 weeks",[],16
2,1332548309496586240,2020-11-28,12:54:09,@razamataz63 Maybe see if #Days announces anything this weekend. But the cast is on break anyway right now so they just may extend the break to coincide with the new stricter stay home notice,['days'],32
3,1329782325543018497,2020-11-20,21:43:07,Sinterklaas has finished his Stay At Home Notice at the Dutch residence in Singapore. Together with my Belgian colleague I had the privilege of sharing our first pepernoten of 2020. Sint and his Pieten are back even in our Covid-19 year.  https://t.co/fVGKiTT2Pv,[],40
4,1316387412822560769,2020-10-14,22:36:31,Today is Day-12 of my stay home notice at JWmarriott. MOH called me and said I am issued with quarantine order because there was a positive case on my flight from Seoul. They transferred me to government facility and here I’m with a tracking wristband at Sofitel. What a day😭,[],51
5,1311338056977248257,2020-10-01,00:12:10,@QweenSativaa Destination: 14 day stay home notice.,[],5
6,1303524205242187776,2020-09-09,10:42:43,"She got a 5 days stay home notice, can only go out to go to the doctor. The fine for breaking it is up to $10,000.",[],24
7,1294471170239078400,2020-08-15,11:09:11,"Notice I only eat late fast food dinner when I came home from my work place. 🤔  It’s a sign, healthy living equates to stay away from office!  P.s. am I pointing middle finger here? Anyway try this latest floss flavour. Quite good for me who am always so-so with floss.  #kfc  https://t.co/GFEz4BvYOG",['kfc'],51
8,1293558322289770496,2020-08-12,22:41:51,🍪 I’ve ended my Stay Home Notice today and I couldn’t have gotten through it without these delicious Earl Grey Infused Cookies from coffee.crisis. Each one comes with a chocolate surprise in the middle.⠀ ⠀ 🍫All you…  https://t.co/NHnoLduomi,[],36
12,1284185879431360512,2020-07-18,01:59:07,"#COVID__19 : From 19 Jul, travellers entering Singapore from Australia’s Victoria state, Japan and Hong will have to serve their 14-day Stay Home Notice at a government facility. Singaporeans advised not to travel for the time being.  https://t.co/LSPDwF13Cg",['covid__19'],35
13,1277448814324903936,2020-06-29,11:48:25,Cam sial kene stay at home notice,[],7
14,1275649830673661953,2020-06-24,12:39:54,New term - SHRO (stay home restriction order) is different from SHN (Stay Home Notice),[],14
15,1274731423371411456,2020-06-21,23:50:29,"After 3 months’ stay at home notice, today we got hanging out. But I didn't feel so excited. After all, I am so familiar with this city, nothing new. Nothing unexpected happened, everything is the same, nothing changed.",[],36
22,1267113971917574144,2020-05-31,23:21:27,@KumarDk75710 @PMOIndia @MEAIndia @DrSJaishankar @MOS_MEA @harshvshringla @IndianDiplomacy @airindiain @PIB_India @DDNewslive @JawedAshraf5 All cleared at temperature screenings.  They were in quarantine like conditions in Singapore since 7 April. None of those in stay home notice or under observation are on passenger lists .🙏,[],29
23,1264779814726184960,2020-05-25,12:46:20,"_EoSHNo Pasta_ (End of Stay-Home Notice Pasta) . Since the onset of COVID-19 cases and the circuit breaker started in Singapore, I have been disciplined to restrict myself from going elsewhere that is not…  https://t.co/ElpQKGmrcQ",[],31
24,1262687685010878465,2020-05-19,18:12:58,Out in the real world... After 28 days of Stay Home Notice.. #StayHome #StaySafe.. #SGUnited  https://t.co/udcfJMkc2Z,"['stayhome', 'staysafe', 'sgunited']",11
25,1262687005198057472,2020-05-19,18:10:16,"Coming out for the first time, after a 28 days of Stay Home Notice... #SGUnited #Singapore  https://t.co/zMaqjDb3Sc","['sgunited', 'singapore']",13
26,1261670742120259585,2020-05-16,22:52:00,"Finding Nemo architecture !!! I start to notice, stay at home really affects our health, I guess.. my on and off giddiness is back - I do need morning exposure every morning. During Ramadan, I only run in the evening.. #runningjournal  https://t.co/7NN3CXzHMJ",['runningjournal'],38
27,1261285374090817545,2020-05-15,21:20:41,"@hizlittlepinky actually, allowed naman kami lumabas but not for too long.. only to buy essential stuff, exercise or go to work..   unless you’re under stay-home notice..",[],25
28,1260872061594918912,2020-05-14,17:58:20,"hola from singapura! just checked into the luxury rasasentosa on sentosa island, my ""home"" for the next 14 days in compliance with the island republic's stay home notice (shn) during this trying period, all paid for…  https://t.co/A05SZBJtpt",[],34
29,1260095475178287105,2020-05-12,14:32:27,Serving stay home notice with a Chef flatmate is really ❤️  https://t.co/yUH7uGAF8s,[],10
30,1259442323227676672,2020-05-10,19:17:03,21 days into Stay Home Notice....8 days to go,[],8
32,1258061337441296384,2020-05-06,23:49:31,"#year2020  . . . When you finish complaining about the lockdown, stay at home notice, getting bored at home...remember...we are part of the history... . . . When the world united as one to fight together...and the…  https://t.co/awR9LsctJK",['year2020'],33
33,1256479232248754176,2020-05-02,15:02:47,"I haven't been studying Japanese for these past few months due to being busy with work stuff and other things, so now since Singapore's so called ""circuit breaker"" was extended until June, then my ""stay home notice""…  https://t.co/nSAr4Zbix1",[],35
35,1252799147603714053,2020-04-22,11:19:27,@jenniferludt @TomBossert you don’t need to ask anyone for permission unless you have been issued a Stay at Home Notice SHN. Hear you re: US,[],24
36,1252049552787378177,2020-04-20,09:40:49,"Strict 14 days stay home notice for all employees under construction “sector” across the country. Even going to market is not allowed, okay I’ll be locked up until next month right after my birthday. 🤦🏻‍♂️   Pero mas okay na yon atleast safe. 👌🏻",[],41
37,1251699662668496898,2020-04-19,10:30:29,@jamesplloyd And announced all placed on stay at home notice now   https://t.co/4ATWxREp9l,[],10
38,1251371809603280897,2020-04-18,12:47:43,"After nine days of asking for salt and getting tiny individual packets, my Stay Home Notice hotel finally decided to give me this and I just want to say I hope we both learned something today  https://t.co/JqC6VRslB3",[],36
39,1251050595231784962,2020-04-17,15:31:19,My housemates keeps on feeding me since the first day of Circuit Breaker 😭 I need to repay their kindness but I can't go out due to my 14days stay home notice argh!,[],30
40,1249588930581676033,2020-04-13,14:43:11,@hzqhadrna Stay home notice. Tapi aku kene kat Hotel.,[],8
42,1247700238661349381,2020-04-08,09:38:12,Sister helping me celebrate the end of my Stay Home Notice - which leads on into the month long shutdown on this island.  https://t.co/wfuTYWKHAC,[],22
43,1246349561477513221,2020-04-04,16:11:06,"@renzyfrenzy Yes! Naka stay home notice ako required by gov’t. Lemon water muna and I’m also drinking meds given by the doctor! Thanks, Renzy!!",[],25
44,1246127375999553537,2020-04-04,01:28:13,"[MARCH 31, 2020] ""As currently that I'm aware of the COVID-19 is getting worsened. I'm home the whole day. And I'm terrified to notice that, how hard of their lives can survive? It's not just that. We must all stay…  https://t.co/BBYmE0QEt5",[],34
45,1246024332310016002,2020-04-03,18:38:45,"Today, I was coughing so my boss sent me home and told me to go to the doctor because the gov’t spot checks companies. I went to the doctor and he told me my throat is red so he has to issue me an MC (sick leave) for 5 days. And it’s a Stay-At-Home Notice which means I can’t,",[],60
46,1244771951119192065,2020-03-31,07:42:14,That concludes our 14-day #StayHome Notice. 42 SMS location checks and ~10 video interviews. @MOM_sg doing an amazing job of keeping us safe in #Singapore. 🙏🏼#Coronavirus #Covid_19 @leehsienloong #Leadership 🇸🇬  https://t.co/j10j9UTOA8,"['stayhome', 'singapore', 'coronavirus', 'covid_19', 'leadership']",20
47,1244261575529238529,2020-03-29,21:54:11,"While serving my 14 Day Stay-Home Notice (SHN), i did something awesome with a glass mug and some oil. . Stay Safe and Safe Distancing ya big chungus !! .  All pictures inspired by @7theraYT northborders…  https://t.co/jJxIKq9z8U",[],30
49,1244246428483895298,2020-03-29,20:54:00,Just listen and obey for everyone’s safety.... ICA cancels Singaporean's passport for breaching stay-home notice  https://t.co/a07eDpYCYJ,[],14
50,1244179425047932929,2020-03-29,16:27:45,ICA cancels Singaporean's passport for breaching stay-home notice  https://t.co/MrBWl2oVMp,[],6
51,1243708060331151360,2020-03-28,09:14:43,Coronavirus: Man who allegedly breached stay-home notice for bak kut teh likely to be charged  https://t.co/Wbn4XYOP97 yes charged the irresponsible guy with fine and jail time. A lot of Singaporeans are not taking the threat seriously enough,[],35
53,1243061661151318016,2020-03-26,14:26:09,"SG monopoly version should replace Jail with Stay Home Notice.  You land on chance space and pick up chance card that says, ""You landed in Singapore and been served a Stay Home Notice. Go Home! Do not pick up Bak Kut Teh!",[],42
54,1242770963290361856,2020-03-25,19:11:01,"I know many of my friends are back from overseas and are currently being quarantined at the moment, and there are also many in other states that are being issued a stay-home notice. ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Please act responsibly…  https://t.co/2h3zZldgWi",[],35
55,1242112362976407552,2020-03-23,23:33:59,Cb on birthday kenna stay home notice 😂,[],7
