,id,date,time,tweet,hashtags,num_words
0,1344506441495760897,2020-12-31,12:51:30,"""The risk of #TraceTogether and similar apps is that they normalise a new form of personal data collection ... in which more and more of our personal information is captured, aggregated, and traded for profit by corporations and governments.""   https://t.co/Ckh6Nq0Ype",['tracetogether'],37
1,1344220683262447623,2020-12-30,17:55:59,To a safer 2021! #tracetogethertoken #tracetogether @ Joo Chiat Community Centre  https://t.co/y2ZX5pBbqM,"['tracetogethertoken', 'tracetogether']",7
2,1342462832277766151,2020-12-25,21:30:55,I’ve actually never seen this version around in Singapore before so this was a surprise find because I almost didn’t want to come out today 🤣  Koya also happened to be around today because I’ve appointed him as my official TraceTogether token protector 🐸,[],45
3,1341991852526825472,2020-12-24,14:19:25,Got my #tracetogethertoken today.  get yours as soon as possible  #covid19 #contacttracing #tracetogether #pandemic #singapore #covid_19 @ Singapore  https://t.co/vD6SHm44w6,"['tracetogethertoken', 'covid19', 'contacttracing', 'tracetogether', 'pandemic', 'singapore', 'covid_19']",10
4,1341627925334900737,2020-12-23,14:13:18,It’s insane how fast the TraceTogether app drains my battery 🤦‍♂️,[],11
6,1340221143060422659,2020-12-19,17:03:15,TraceTogether Token Collection:  I just collected TraceTogether Token for myself and for my parents at Nanyang CC on 19 December 2020.  #Convid19 #SGUnited @ Nanyang Constituency  https://t.co/xcIkynfCkU,"['convid19', 'sgunited']",21
7,1339904702238978049,2020-12-18,20:05:49,Trace Together App does not deplete the battery level. It is energy efficient as it only occupy 1% of the battery usage in 24 hours on an iPhone 11 running on background.,[],29
8,1339145638102007808,2020-12-16,17:49:34,They now have they ability to technically force use TraceTogether when checking in to a biz premise.,[],17
9,1339106565526151168,2020-12-16,15:14:19,@Kongduino How shall we enforce #TraceTogether on Wealthy Travelers 🤔,['tracetogether'],7
10,1338792957130932224,2020-12-15,18:28:09,Mandatory TraceTogether check-in pushed back from Dec to early next year  https://t.co/SS8apqHwv3,[],10
11,1338739895288750080,2020-12-15,14:57:18,"If you are already using your Trace Together app, there is no need to collect the token.   More details at  https://t.co/Xb1jXcSVRC",[],20
12,1338666307386974213,2020-12-15,10:04:53,Building #TraceTogether: How a modest team made a big impact   https://t.co/bCnTcwtrOo,['tracetogether'],9
13,1338277886080425986,2020-12-14,08:21:26,#TraceTogether adoption up to more than 60% as #Privacy concerns wane; users still bothered about Battery Drain   https://t.co/3O2ucQQZzd,"['tracetogether', 'privacy']",14
14,1338096433799417857,2020-12-13,20:20:25,Even allah wants us to use the trace together app and token  https://t.co/KIJwK9HGws,[],12
16,1336106166871461888,2020-12-08,08:31:48,I’m tired of this buggy checkout interaction with @GovTechSG #tracetogether I check out but it still says I’m there ... 🤦‍♂️  https://t.co/asqpQppggm,['tracetogether'],19
18,1335910116428718081,2020-12-07,19:32:46,TraceTogether programme wins international award for innovative use of tech   https://t.co/UCR8N8aAM4,[],10
19,1335771195619246080,2020-12-07,10:20:45,@ZackDFuzzle There are 2 options: SingPass and TraceTogether. But think best to use TraceTogether. It’ll soon be the mandatory app if I’m not wrong,[],24
20,1335769590836592640,2020-12-07,10:14:22,"""#Bluetooth (Earbuds) connectivity issues due to #TraceTogether""   https://t.co/S1v4ZBd8i4","['bluetooth', 'tracetogether']",5
21,1335543909045288962,2020-12-06,19:17:35,We will not be able to avoid using Trace Together if Singapore want to enter into Phase 3 of reopening. You need to be ready with the token or using the app. #COVIDー19,['covidー19'],31
23,1335430779220996096,2020-12-06,11:48:03,Collecting the Trace Together Tokens for my family. This is going to be my backup in case it drain the smart phone battery. (@ Woodlands Galaxy Community Club in Singapore)  https://t.co/SULpDj56g3,[],29
24,1335046014831509504,2020-12-05,10:19:08,M1 users experienced a disruption last nite.  No wonder I could not use my TraceTogether app!,[],15
25,1333717103216496640,2020-12-01,18:18:31,"Things you get when your government is committed to ending this freaking Pandemic:  1. TraceTogether Token for Contact Tracing (Aside from this, may App din pag di mo nadala) 2. 2pcs Free Reusable Mask (Take note, Pang limang beses na to na nagbigay sila ng libreng mask.) #NaolSG  https://t.co/PoBrntIETp",['naolsg'],44
26,1332599308772802560,2020-11-28,16:16:48,"@FrankMankel Yep, soon it will be mandatory to use #TraceTogether (app or dongle) to enter malls, cinemas and schools in Singapore",['tracetogether'],19
27,1332590273646321664,2020-11-28,15:40:54,"""New SafeEntry Gateway device to make #TraceTogether check-ins more convenient""   https://t.co/Y5rCRq4B30",['tracetogether'],8
28,1332575237871869953,2020-11-28,14:41:09,"The device works by detecting Bluetooth signals from token and app users.   Simply bring your TraceTogether token, or your phone (with the TT app open and Bluetooth on) near the device to check in. Once you see a green light and hear a beep, you're good to go!  https://t.co/DCuswvyYA7",[],47
29,1332574628837953536,2020-11-28,14:38:44,"This device, called the SafeEntry Gateway, aims to make TraceTogether check-ins as quick and easy as using an EZ-Link card.   That means no more waiting in line to scan a QR code or your IC when you're entering a shopping mall or supermarket (especially during peak hours)!  https://t.co/kn0F5hZgVm",[],44
30,1332191793509584896,2020-11-27,13:17:29,"😇Have ya collected your #TraceTogether Token yet?  If you do! You are in luck! Knowing that some might collect a more squarish version of the token,  https://t.co/jAG3l9PTN0 has made a new pattern for you!  Swipe the images to see the patterns. 1/  https://t.co/EsZAp0RZ88",['tracetogether'],39
31,1331232826516254722,2020-11-24,21:46:53,"Spent the whole day roaming around 🇸🇬 with Singapore’s Trace Together app installed. It’s recorded interactions with over 4k Bluetooth IDs today, pretty cool!  https://t.co/OXzzHV5ir4",[],24
