,id,date,time,tweet,hashtags,num_words
0,1360887950540562435,2021-02-14,17:45:46,"@allrite Singapore us very effective contact tracing, and everyone’s used to it. No one gives a shit about covid, it doesn’t hardly come up in conversation any more. That’s where we all need to get to!",[],38
1,1360770816506429441,2021-02-14,10:00:19,"@fmtoday Najib &amp; Lawyer disagree? Contact tracing is very very impt,..",[],9
2,1360474789375270914,2021-02-13,14:24:00,"Pandemic news of shame format: Patient was sick but did not seek medical treatment.   Pandemic news of shame format [upgraded]: Patient was sick, did not seek medical treatment AND did not bring contact tracing token along.  Wait till the gahmen make new law force you bring out.",[],47
3,1360451934612688899,2021-02-13,12:53:11,"“MOH noted that both stall owner's wife and 33-year-old son do not use the TraceTogether app, and while they both have TraceTogether tokens, they did not carry their tokens with them.”  Eh...then collect for what??!!   It’d be a lot easier for contact tracing if they did.",[],46
4,1360417988780773376,2021-02-13,10:38:18,"Speaking of assholes, the newest cluster of cases consists of an entire family who did not use the contact tracing app and token. It's not just ""forgetting to use it"", it's a conscious decision!  And they got their just desserts.",[],38
5,1360227165003018240,2021-02-12,22:00:02,Studies show that 32% of consumers are very concerned about the individual PII (Personally Identifiable Information) collection through contact tracing apps. What else do people fear when staying safe? Read more on  https://t.co/NaXoFe9xSv #contacttracing  https://t.co/e8e26W75vJ,['contacttracing'],31
6,1360170614703616002,2021-02-12,18:15:19,"While cases of #COVID-19 within our community remain low and more activities resume, here’s why contact tracing is still crucial in combating the spread of COVID-19 and keeping our community safe!   #TechForPublicGood #GovTechSG  https://t.co/sMbwkJJls3","['covid', 'techforpublicgood', 'govtechsg']",31
7,1360137731733610497,2021-02-12,16:04:40,Covid-Alert (Canada contact-tracing app) via /r/privacy  https://t.co/CBp2A0W6rh,[],5
8,1360101096425852931,2021-02-12,13:39:05,To centralise or not to centralise contact tracing: Ada Lovelace Institu...  https://t.co/T2d1ZNBCS8 via @YouTube,[],12
9,1359999638951002117,2021-02-12,06:55:56,"The QC CESU has immediately conducted contact tracing and testing in an area in Barangay Commonwealth where a man from Liloan, Cebu, quarantined for the Covid-19 in an apartment with another individual, later tested positive for UK variant of the virus.   https://t.co/eJUrCBHwY2",[],41
