,id,date,time,tweet,hashtags,num_words
2,1364561103125028865,2021-02-24,21:01:33,@gigadgets_ @erikfinman if this kid got a dr octopus suit! maybe he'll be spidey's ally. who is an opposite side of the evil Dr Ock,[],21
9,1363495688974127106,2021-02-21,22:27:59,I just added a new item to my Ko-fi Shop!  https://t.co/Yh6OrZbHiw,[],9
12,1363402387390533633,2021-02-21,16:17:14,@hyouga617 can i see some more misty?,[],6
13,1363361523574337537,2021-02-21,13:34:51,@woory_tama Roll chan is so kawaii!! i just hope maggy is here to penetrate roll chan,[],15
17,1363007859273859076,2021-02-20,14:09:31,@woory_tama SEXY HOT! Cause i'm waiting for Maggy to pop something out of her anus soon!,[],14
18,1362956153315942400,2021-02-20,10:44:04,@Sliph77 ann needs to have an urethral insertion,[],7
22,1295781743438503941,2020-08-19,01:56:56,"Almost 8 years ago, gillmanbarracks opened to much fanfare for the visual art community in #Singapore. I made this oversized (it’s 10 meters tall!) #billboard as a commission from #EugeneTan, the second (the first…  https://t.co/dThk43Nm4Q","['singapore', 'billboard', 'eugenetan']",30
23,1281646806296694784,2020-07-11,01:49:45,Nobody:   Eugene Tan: he was my LaW sChOOL clAsSmAte,[],9
24,1281642628983820288,2020-07-11,01:33:09,@zisheerin @sudhirtv @ChannelNewsAsia But I’m enjoying the coverage. Dawn and Steve being their usual charismatic selves. And Eugene Tan mailing the analysis.,[],20
25,1281625346312265728,2020-07-11,00:24:28,Eugene Tan said we’re in a crisis more like u want to cry sis,[],15
26,1281603003418505216,2020-07-10,22:55:41,I really want to stay up all night to watch the votes get counted (I probably will because of a 5am journal club) but I worry that overexposure to Eugene Tan will cause my eyes to permanently roll to the back of my skull. #GE2020,['ge2020'],43
27,1264235846426738688,2020-05-24,00:44:48,"A friend and colleague Patricia Chen writes about improving education in Singapore, drawing on her research in the psychology of learning.  @jj_eugene_tan   https://t.co/j4fxkQwIYb",[],21
28,1260028474183446528,2020-05-12,10:06:13,"Being online is PRIME TIME! Watch us on FACEBOOK LIVE, Friday May 15 at 10:30 am as we talk to Singapore’s🇸🇬 SEO King Eugene Tan about the Digital Marketing advantage for Architects and Interior Designers!   RARE…  https://t.co/VjLrRI3FBl",[],35
